S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2929572.0,Mansi Agrawal,INR,"7,760,112.35",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,2025_EICCL_113322_2,Bid Identification No-SE-RandB-SNG-01 OF 2025-26,"Construction of Kerala Style Roof Shed on 5th Floor Block-C AND D of Hospital Building , Govt. Medical College AND Hospital Sundargarh for the year 2024.25.",Technical,Evaluation Sheet,Swagatika Naik,02-Jun-2025 07:53 PM,technical_539160.pdf,SEDAOAEEAE,Internal,SEDAOAEEAE,Swagatika Naik,12-Aug-2025 07:39 PM,finsummary_539160.pdf (332.20 KB),SEDAOAEEAE,Internal,SEDAOAEEAE,Swagatika Naik,02-Jun-2025 08:00 PM,04-Jun-2025 10:00 AM,techsummary_539160.pdf (353.65 KB),Finance,work order copy,Swagatika Naik,12-Aug-2025 07:35 PM,finance_539160.pdf,BOQ Comparative Chart,12-Aug-2025,"INR 7,760,112.35",180.0,Swagatika Naik,12-Aug-2025 07:43 PM,kerlasheet.pdf (332.00 KB),Work order copy,1,2928606,DEEPAK SAHOO,22-May-2025 01:39 PM,Rejected-AOC,Accepted,12-Aug-2025 07:43 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD ,Licence ,PAN,GSTIN, Affidavit, Schedule-A,Machinery etc.",1.0,ICICI BANK,"91,285",Yes,percentage,1.0%,Nil,Nil,"Construction of Kerala Style Roof Shed on 5th Floor Block-C AND D of Hospital Building , Govt. Medical College AND Hospital Sundargarh for the year 2024.25.","Construction of Kerala Style Roof Shed on 5th Floor Block-C AND D of Hospital Building , Govt. Medical College AND Hospital Sundargarh for the year 2024.25.",Please refer Tender documents. ,NA ,"91,28,470",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sundargarh,770001.0,NA ,NA ,NA ,"O/O the SE R AND B DIVISION, SUNDARGARH",No ,No,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,Bid Identification No-SE-RandB-SNG-01 OF 2025-26,2025_EICCL_113322_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"SE R AND B DIVISION, SUNDARGARH","O/O the SE R AND B DIVISION, SUNDARGARH",13-May-2025 10:00 AM,26-May-2025 11:00 AM,13-May-2025 10:00 AM,23-May-2025 05:00 PM,13-May-2025 10:00 AM ,23-May-2025 05:00 PM ,13-May-2025 10:00 AM,23-May-2025 05:00 PM,04-Jun-2025 10:00 AM,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2926468,JNANENDRA KUMAR SWAIN,20-May-2025 04:52 PM,Rejected-AOC,Accepted,12-Aug-2025 07:43 PM,AOC,,,.pdf,Other documents as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2930231,KIRTIMEGHA PARIJA,23-May-2025 04:16 PM,Rejected-AOC,Accepted,12-Aug-2025 07:43 PM,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2930263,LIZA CHOUDHARY,23-May-2025 04:47 PM,Rejected-Technical,EMD exemption Affidavit not Submitted .,02-Jun-2025 08:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2930210,MANAS RANJAN SAMANTRAY,23-May-2025 04:13 PM,Rejected-AOC,Accepted,12-Aug-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2929572,Mansi Agrawal,23-May-2025 10:59 AM,Accepted-AOC,Accepted 1st lowest,12-Aug-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2928297,MAZIV INFRA PRIVATE LIMITED,22-May-2025 11:59 AM,Rejected-AOC,Accepted,12-Aug-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2930178,SAHIL KUMAR RAY,23-May-2025 03:56 PM,Rejected-Technical,EMD exemption Affidavit not Submitted .,02-Jun-2025 08:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2930073,SOMANATH SAHU,23-May-2025 03:01 PM,Rejected-Technical,Schedule- A Affidavit not submitted,02-Jun-2025 08:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2928359,SUBHALAGNA CONSTRUCTION,22-May-2025 12:14 PM,Rejected-AOC,Accepted,12-Aug-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
