Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"EXECUTIVE OFFICER, PURI MUNICIPALITY",VIP ROAD,1.0,Fee/PreQual/Technical/Finance,.pdf,"REGISTRATION CERTIFICATE, GST, PAN, EPF OR UNDERTAKING FOR EPF AND AFFIDAVIT,ANY OTHER, AS PER DTCN",1,ICICI BANK,"8,484",Yes,fixed,,Nil,Nil,"4,720",0.0,Nil,Nil,No,04-Mar-2025 03:00 PM,25-Mar-2025 11:00 AM,04-Mar-2025 03:00 PM,24-Mar-2025 05:00 PM,NA ,NA ,04-Mar-2025 03:00 PM,24-Mar-2025 05:00 PM,Construction Of Gym Room At Muduli Jaga Ward 03,CIVIL,Please refer Tender documents. ,NA ,"8,48,343",Civil Works - Others,NA ,Tender,120.0,90.0,PURI MUNICIPALITY,752001.0,NA ,NA ,NA ,OFFICE CHAMBER OF THE EXECUTIVE OFFICER,No ,No,Municipal Bodies||Puri Municipality,P.M. 04/24-25,2025_ORULB_111180_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,07-Aug-2025,"INR 848,343.49",90.0,Jayanta Kumar Maitra,07-Aug-2025 06:19 PM,PM04.pdf (7741.00 KB),1,2867196,RAKESH PATHAL,24-Mar-2025 04:33 PM,Accepted-AOC,DECIDED BY TENDER COMMITTEE,07-Aug-2025 06:19 PM,ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,07-Aug-2025 06:15 PM,techsummary_531644.pdf (7741.43 KB),Municipal Bodies||Puri Municipality,2025_ORULB_111180_9,P.M. 04/24-25,Construction Of Gym Room At Muduli Jaga Ward 03,ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,07-Aug-2025 06:17 PM,finsummary_531644.pdf (7741.43 KB),Finance,"02 nos of Bidders participated for the project and submitted Documents, Hence accepted for evaluation.",Jayanta Kumar Maitra,26-Mar-2025 12:15 PM,finance_531644.pdf,BOQ Comparative Chart,1.0,2867196.0,RAKESH PATHAL,INR,"848,343.49",AOC
,,,,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2867228,SOUMYA RANJAN DAS,24-Mar-2025 04:43 PM,Rejected-Finance,DECIDED BY TENDER COMMITTEE,07-Aug-2025 06:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
