Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
SE Kanupur Reh. C and B Division Basudevpur,O/o SE Kanupur Reh. C and B Division Basudevpur,02-May-2025 10:00 AM,14-May-2025 11:00 AM,02-May-2025 10:00 AM,13-May-2025 05:00 PM,NA ,NA ,02-May-2025 10:00 AM,13-May-2025 05:00 PM,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"27,600",Yes,fixed,,Nil,Nil,Power supply to village Electrification of Dhaladihi Mandir Sahi Hamlet of village Sankarpur and beneficiaries at sankarpur new Colony for the DPs of village Dhobakuchuda at sankarpur of KIP,Power supply to village Electrification of Dhaladihi Mandir Sahi Hamlet of village Sankarpur and beneficiaries at sankarpur new Colony for the DPs of village Dhobakuchuda at sankarpur of KIP,please refer tender documents  ,NA ,"27,53,631",Electrical Works,NA ,Tender,90.0,180.0,SE Kanupur Reh. C and B Division Basudevpur,758047.0,NA ,NA ,NA ,O/o SE Kanupur Reh. C and B Division Basudevpur,No ,No,Kanupur Irrigation Project||CCE-Kanupur||Kanupur R C AND B,SE KRC AND BD-03/2025-26,2025_KPRIP_113042_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GSTIN,EMD,NRC,Affidavit,Paper cost,Labour undertaking and other documents as per DTCN",AOC,1,2916393,AYUSH POWER INFRASTRUCTURE,13-May-2025 03:51 PM,Rejected-AOC,2nd lowest successful bidder,07-Aug-2025 07:16 PM,07-Aug-2025,"INR 2,340,862",180.0,Ajay Kumar Nayak,07-Aug-2025 07:16 PM,workorderelectrical.pdf (548.00 KB),Superintending Engineer Kanupur Rehabilitation camps and Building Division Basudevpur,Internal,,Ajay Kumar Nayak,06-Aug-2025 05:26 PM,techsummary_538207.pdf (1390.47 KB),Superintending Engineer Kanupur Rehabilitation camps and Building Division Basudevpur,Internal,,Ajay Kumar Nayak,06-Aug-2025 05:52 PM,finsummary_538207.pdf (1390.47 KB),Kanupur Irrigation Project||CCE-Kanupur||Kanupur R C AND B,2025_KPRIP_113042_1,SE KRC AND BD-03/2025-26,Power supply to village Electrification of Dhaladihi Mandir Sahi Hamlet of village Sankarpur and beneficiaries at sankarpur new Colony for the DPs of village Dhobakuchuda at sankarpur of KIP,1.0,2914934.0,SITARAM INFRA AND ENERGY PVT LTD,INR,"2,340,862",Finance,All the technical and financial bids of 05 (Five) nos of bidder are downloaded successfully and taken into further evaluation.,Ajay Kumar Nayak,14-May-2025 12:07 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,AOC,2,2913864,M/S D.S. ASSOCIATES,12-May-2025 06:07 PM,Rejected-Technical,Doesnot satisfy the required qualifying criteria.,06-Aug-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2916066,NARAYAN MAHANTA,13-May-2025 02:41 PM,Rejected-AOC,4th lowest successful bidder,07-Aug-2025 07:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2914492,PHASE AND CONTROL,13-May-2025 06:30 AM,Rejected-AOC,3rd lowest successful bidder,07-Aug-2025 07:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2914934,SITARAM INFRA AND ENERGY PVT LTD,13-May-2025 09:43 AM,Accepted-AOC,1st lowest successful bidder,07-Aug-2025 07:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
