EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"21,500",Yes,fixed,,Nil,Nil,"S.E., Berhampur Irr. Divn., Berhampur","S.E., Berhampur Irr. Divn., Courtpeta, Berhampur",03-Jun-2025 10:00 AM,13-Jun-2025 11:00 AM,03-Jun-2025 10:00 AM,12-Jun-2025 05:30 PM,03-Jun-2025 10:00 AM ,10-Jun-2025 05:30 PM ,03-Jun-2025 10:00 AM,12-Jun-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD, Registration Certificate, GSTIN, PAN, Other documents as per DTCN",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,Providing cement concrete lining of Musudipalm minor from RD 1299.00m to 1500.00m of 11th distributary of Rushikulya Irrigation System.,Construction of CC lining,Please refer Tender documents. ,NA ,"21,19,000",Civil Works - Others,NA ,Tender,90.0,180.0,Berhampur,760004.0,NA ,NA ,NA ,"O/o S.E., Berhampur Irr. Divn., Berhampur",No ,No,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Berhampur Irrigation Divn Berhampur",e-BEID-01/2025-26,2025_CEBMB_114100_47,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Nalin Pattanaik,Internal,,CHANDINI KUMARI BASANTY,28-Jun-2025 11:44 AM,finsummary_541978.pdf (59.14 KB),Nalin Pattanaik,Internal,,CHANDINI KUMARI BASANTY,25-Jun-2025 01:03 PM,techsummary_541978.pdf (59.14 KB),1.0,2950132.0,G Kamaraju Reddy,INR,"1,801,248","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Berhampur Irrigation Divn Berhampur",2025_CEBMB_114100_47,e-BEID-01/2025-26,Providing cement concrete lining of Musudipalm minor from RD 1299.00m to 1500.00m of 11th distributary of Rushikulya Irrigation System.,1,2963406,ARAPALLI KAJAL,12-Jun-2025 12:10 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:59 PM,15-Aug-2025,"INR 1,801,248",180.0,Nalin Kumar Patnaik,16-Aug-2025 12:59 PM,AOC_47.pdf (492.00 KB),Award to the Lottery Winner.,Finance,Ten bids downloaded Successfully.,Sucharita Panda,13-Jun-2025 04:45 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2960733,DEBASIS KUMAR SAHU,12-Jun-2025 04:44 AM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2950132,G Kamaraju Reddy,08-Jun-2025 08:48 PM,Accepted-AOC,Lottery Winner,16-Aug-2025 12:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2962465,Hrusikes Panda,11-Jun-2025 08:30 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2958151,KANHU CHARAN SETHY,09-Jun-2025 04:42 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2963422,M Krishna Murty Reddy,12-Jun-2025 12:32 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2958361,N.Susanta Reddy,10-Jun-2025 11:52 AM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2960499,PRASANNA KUMAR PADHI,11-Jun-2025 11:18 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2958269,R SUNIL REDDY,09-Jun-2025 05:50 PM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2960685,SAGARIKA SAHU,12-Jun-2025 09:46 AM,Rejected-AOC,Lottery Looser,16-Aug-2025 12:59 PM,,,,,,,,,,,,,,AOC
