S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2969698.0,SMRUTI RANJAN BAL,INR,"24,342,664",Odisha Tourism Devl. Corp.,2025_OTDC_114341_1,BP I/09/2025-26 Dt.30.05.2025,"Repair and Renovation of 1st Floor (Left Side) at Paryatan Bhawan, Bhubaneswar.",S.K. Behera,Internal,"L. Sahoo, S. Naik, A.S. Swain, S.K. Jena",Sunil Kumar Behera,10-Jul-2025 06:22 PM,10-Jul-2025 06:25 PM,techsummary_542752.pdf (2905.85 KB),1.0,Tender Revocation,"Repair and Renovation of 1st Floor (Left Side) at Paryatan Bhawan, Bhubaneswar.",10-Jul-2025 05:52 PM,Revoked.PDF ,342.07,Technical Opening,01-Aug-2025,"INR 24,342,664",270.0,Sunil Kumar Behera,01-Aug-2025 08:12 PM,AOC.pdf (675.00 KB),WORK ORDER,S.K. Behera,Internal,"S. NAIK, A. S. SWAIN, S. JENA",Sunil Kumar Behera,01-Aug-2025 07:20 PM,finsummary_542752.pdf (703.82 KB),1,2965741,ARYA PRAKASH CHAMPATIRAY,13-Jun-2025 03:42 PM,Rejected-Finance,UNSUCESSFUL BIDDER in Transparent Lottery Sysytem,01-Aug-2025 07:20 PM,Technical,Technical Bid Proceeding,Sunil Kumar Behera,10-Jul-2025 06:12 PM,technical_542752.pdf,Finance,Financial Proceedings,Sunil Kumar Behera,01-Aug-2025 07:15 PM,finance_542752.pdf,BOQ Comparative Chart,AOC,"Superintending Engineer, O.T.D.C Ltd","Superintending Engineer, O.T.D.C Ltd Lewis road Bhubaneswar",10-Jun-2025 04:05 PM,17-Jun-2025 11:30 AM,10-Jun-2025 04:05 PM,16-Jun-2025 05:00 PM,NA ,NA ,10-Jun-2025 04:05 PM,16-Jun-2025 05:00 PM,10-Jul-2025 06:25 PM,Odisha Tourism Devl. Corp.,BP I/09/2025-26 Dt.30.05.2025,2025_OTDC_114341_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidavit, GST,work experience","Repair and Renovation of 1st Floor (Left Side) at Paryatan Bhawan, Bhubaneswar.","Repair and Renovation of 1st Floor (Left Side) at Paryatan Bhawan, Bhubaneswar.",As per DTCN ,NA ,"2,42,67,000",Civil Works - Others,NA ,Tender,90.0,270.0,"Paryatan Bhawan, Bhubaneswar.",751014.0,NA ,NA ,NA ,"Superintending Engineer, O.T.D.C Ltd Lewis road",No ,No,"10,000","1,800",Nil,Nil,No,"2,42,670",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2968775,ASHOK KUMAR DASH,16-Jun-2025 01:18 PM,Rejected-Finance,UNSUCESSFUL BIDDER in Transparent Lottery Sysytem,01-Aug-2025 07:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2965300,Ms GOLDEN WOOD PECKER,16-Jun-2025 12:14 PM,Rejected-Finance,UNSUCESSFUL BIDDER in Transparent Lottery Sysytem,01-Aug-2025 07:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2968092,M/S SILICON INTERIORS,16-Jun-2025 02:38 PM,Rejected-Finance,UNSUCESSFUL BIDDER in Transparent Lottery Sysytem,01-Aug-2025 07:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2966102,PRASANA KUMAR SAHOO,13-Jun-2025 07:07 PM,Rejected-Finance,UNSUCESSFUL BIDDER in Transparent Lottery Sysytem,01-Aug-2025 07:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2968424,RAJESH KUMAR PARIDA,16-Jun-2025 12:07 PM,Rejected-Technical,Not fulfilled eligibility criteria,10-Jul-2025 06:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2967546,SANDEEP NAYAK,15-Jun-2025 02:19 PM,Rejected-Finance,UNSUCESSFUL BIDDER in Transparent Lottery Sysytem,01-Aug-2025 07:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2967513,SISIR KUMAR NAYAK,15-Jun-2025 01:58 PM,Rejected-Finance,UNSUCESSFUL BIDDER in Transparent Lottery Sysytem,01-Aug-2025 07:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2969698,SMRUTI RANJAN BAL,16-Jun-2025 04:57 PM,Accepted-AOC,SUCESSFUL BIDDER,01-Aug-2025 08:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2965775,SMRUTI RANJAN CHAMPATIRAY,13-Jun-2025 03:55 PM,Rejected-AOC,UNSUCESSFUL BIDDER,01-Aug-2025 08:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
