Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN AND OTHERS DOCUMENTS,Construction of Road from Tuna Das house to DudhustiPradhan house at Mathasahi in W. No - 6 NAC Polasara,Construction of Road from Tuna Das house to DudhustiPradhan house at Mathasahi in W. No - 6 NAC Polasara,Please refer Tender documents. ,NA ,"4,80,354",Civil Works - Others,NA ,Tender,90.0,90.0,NAC AREA POLASARA,761105.0,NA ,NA ,NA ,OFFICE OF EXECUTIVE OFFICER NAC POLASARA,No ,No,Executive officer NAC Polasara,NOTIFIED AREA COUNCIL POLASARA MAIN ROAD NEAR BUS STAND POLASARA,11-Apr-2025 11:00 AM,30-Apr-2025 11:00 AM,11-Apr-2025 11:00 AM,25-Apr-2025 05:30 PM,NA ,NA ,11-Apr-2025 11:00 AM,25-Apr-2025 05:30 PM,"2,360",0.0,Nil,Nil,No,"4,804",Yes,fixed,,Nil,Nil,1,ICICI BANK,Municipal Bodies||Polasara NAC,NAC/PLS-01/2025-26,2025_ORULB_112336_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,CHAIRPERSON,Internal,"Tahasildar, Executive Officer, Municipal Engineer, Assistant Engineer, Junior Engineer, Accountant",Kailash Chandra Jena,11-Jun-2025 11:18 AM,finsummary_535984.pdf (2110.11 KB),CHAIRPERSON,Internal,"Tahasildar, Executive Officer, Municipal Engineer, Assistant Engineer, Junior Engineer, Accountant",Kailash Chandra Jena,11-Jun-2025 11:14 AM,techsummary_535984.pdf (2110.11 KB),19-Jun-2025,"INR 480,307.16",90.0,Kailash Chandra Jena,17-Aug-2025 07:34 PM,22aoc.pdf (628.00 KB),1,2894681,MINAKSHI LENKA,25-Apr-2025 01:43 PM,Rejected-AOC,highest bidder,17-Aug-2025 07:34 PM,Municipal Bodies||Polasara NAC,2025_ORULB_112336_22,NAC/PLS-01/2025-26,Construction of Road from Tuna Das house to DudhustiPradhan house at Mathasahi in W. No - 6 NAC Polasara,1.0,2894616.0,Santosh Kumar Sethi,INR,"480,307",Finance,attached,Kailash Chandra Jena,11-Jun-2025 11:11 AM,finance_535984.pdf,BOQ Comparative Chart,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2894616,Santosh Kumar Sethi,25-Apr-2025 01:13 PM,Accepted-AOC,lowest bidder,17-Aug-2025 07:34 PM,,,,,,,,,,,,,,,,AOC
