Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
18-Aug-2025,"INR 1,350,646",120.0,Raikan Besra,18-Aug-2025 01:40 PM,WOSAP2P21.pdf (750.00 KB),Contract Awarded,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2025_SCDBH_109446_21,e-Procurement Notice No.2/2024-25,(21) Improvement to Khorasahi Sub-Minor from Rd.300M. to 450M including slope protection work,1.0,2789159.0,SUBHASHIS CHANDRA NAYAK,INR,"1,350,646",1,2788140,Ajit Kumar Bhoi,30-Jan-2025 08:45 AM,Rejected-Technical,Did not won the lottery,18-Aug-2025 01:33 PM,Finance,Uploaded documents of all the participated bidders have been downloaded successfully.,Raikan Besra,18-Aug-2025 01:29 PM,,BOQ Comparative Chart,"SE, Salandi Canal Division",Internal,"SE and DAO, Office of the SE, Salandi Canal Division, Bhadrak",Raikan Besra,18-Aug-2025 01:38 PM,finsummary_525898.pdf (749.76 KB),"SE, Salandi Canal Division",Internal,"SE and DAO, Office of the SE, Salandi Canal Division, Bhadrak",Raikan Besra,18-Aug-2025 01:33 PM,techsummary_525898.pdf (749.76 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate, Affidavit, NRC, undertakings, any other documents as per DTCN.",(21) Improvement to Khorasahi Sub-Minor from Rd.300M. to 450M including slope protection work,Canal improvement,Please refer Tender documents. ,NA ,"15,88,808",Civil Works - Canal,NA ,Tender,90.0,120.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o S.E, Salandi Canal Division, Bhadrak",No ,No,"6,000",Nil,Nil,No,"15,900",Yes,fixed,,Nil,Nil,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.2/2024-25,2025_SCDBH_109446_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"O/o S.E, Salandi Canal Division, Bhadrak",1.0,ICICI BANK,16-Jan-2025 02:00 PM,01-Feb-2025 11:00 AM,16-Jan-2025 02:00 PM,31-Jan-2025 05:00 PM,16-Jan-2025 02:00 PM ,22-Jan-2025 05:00 PM ,16-Jan-2025 02:00 PM,31-Jan-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,2,2785782,ALOK KUMAR SETHI,30-Jan-2025 10:10 PM,Rejected-Technical,Did not won the lottery,18-Aug-2025 01:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,2790407,BISHNU CHARAN MOHAPATRA,30-Jan-2025 08:23 PM,Rejected-Technical,Did not won the lottery,18-Aug-2025 01:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2782498,DEBASHIS MOHAPATRA,28-Jan-2025 06:05 AM,Rejected-Technical,Did not won the lottery,18-Aug-2025 01:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2776115,Jagat Ballav Das,25-Jan-2025 02:54 PM,Rejected-Technical,Did not won the lottery,18-Aug-2025 01:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2788344,JAYASHREE ROUT,31-Jan-2025 07:08 AM,Rejected-Technical,Did not won the lottery,18-Aug-2025 01:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2790904,Ratikanta Mallick,31-Jan-2025 11:23 AM,Rejected-Technical,Did not won the lottery,18-Aug-2025 01:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2788356,Sarat Kumar Das,31-Jan-2025 07:21 AM,Rejected-Technical,Did not won the lottery,18-Aug-2025 01:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2789612,SIDDHARTHA BARIK,31-Jan-2025 10:41 AM,Rejected-Technical,Did not won the lottery,18-Aug-2025 01:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2783165,SRIKANTA DAS,28-Jan-2025 12:35 PM,Rejected-Technical,Did not won the lottery,18-Aug-2025 01:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,2789159,SUBHASHIS CHANDRA NAYAK,31-Jan-2025 09:51 AM,Accepted-AOC,Won the lottery,18-Aug-2025 01:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,2790734,TRUPTIMAYEE SWAIN,31-Jan-2025 04:54 AM,Rejected-Technical,Did not won the lottery,18-Aug-2025 01:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
