Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
08-Aug-2025,"INR 905,411",90.0,Raghunath Swain,08-Aug-2025 12:49 PM,38.PDF (139.00 KB),1.0,2965974.0,SIMASINI MOHANTY,INR,"905,411","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2025_CELBB_114118_38,SEPRD-04/2025-26,Desilting to Daya West Branch Canal from RD 21.200 Km. to 34.850 Km.,1,2968270,ABINASH PATRA,16-Jun-2025 11:43 AM,Rejected-Technical,not selected through lottery,28-Jul-2025 04:49 PM,Finance,ADMITTED,Kirti Kasturika,17-Jun-2025 01:50 PM,,BOQ Comparative Chart,"SE Prachi Division, Bhubaneswar",Internal,,Swosti Elora Pattnaik,28-Jul-2025 04:54 PM,finsummary_542091.pdf (108.52 KB),"SE Prachi Division, Bhubaneswar",Internal,,Swosti Elora Pattnaik,28-Jul-2025 04:49 PM,techsummary_542091.pdf (108.52 KB),AOC,"10,700",Yes,fixed,,Nil,Nil,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",SEPRD-04/2025-26,2025_CELBB_114118_38,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN","6,000",0.0,Nil,Nil,No,Superintending Engineer prachi division,"Superintending Engineer Prachi Division, Bhubaneswar",Desilting to Daya West Branch Canal from RD 21.200 Km. to 34.850 Km.,maintenance work,Please refer Tender documents. ,NA ,"10,65,064",Civil Works - Canal,NA ,Tender,90.0,NA ,Bhubaneswar,754004.0,NA ,NA ,NA ,SE PRACHI DIVISION,No ,No,05-Jun-2025 10:00 AM,17-Jun-2025 11:00 AM,05-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,NA ,NA ,05-Jun-2025 10:00 AM,16-Jun-2025 05:30 PM,AOC
,,,,,,,,,,,,,,,2,2969479,BENU DHAR PANI,16-Jun-2025 03:51 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 04:49 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2964431,CHANDAN KUMAR JENA,14-Jun-2025 04:59 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 04:49 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2966740,HARAPRIYA MOHAPATRA,14-Jun-2025 02:56 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 04:49 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2969821,JAYASHREE BHUYAN,16-Jun-2025 05:28 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 04:49 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2965451,JINIA BEHERA,13-Jun-2025 12:58 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 04:49 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2969562,PRASANNA KUMAR NAYAK,16-Jun-2025 04:11 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 04:49 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2966077,RAMESH CHANDRA DAS,13-Jun-2025 06:49 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 04:49 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2966862,SAMIRA RANJAN PATRA,14-Jun-2025 06:39 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 04:49 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2965648,SBL CONSTRUCTION,13-Jun-2025 02:44 PM,Rejected-Technical,not selected through lottery,28-Jul-2025 04:49 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
