Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",08-Jan-2025 02:00 PM,21-Jan-2025 11:00 AM,08-Jan-2025 02:00 PM,20-Jan-2025 05:00 PM,08-Jan-2025 02:00 PM ,18-Jan-2025 05:00 PM ,08-Jan-2025 02:00 PM,20-Jan-2025 05:00 PM,01-May-2025 09:00 AM,Construction of Road from Gudvela to Biramunda Road in the district of Bolangir under MMSY-Improvement to Existing RD Roads for the year 2024-25,Construction of Road from Gudvela to Biramunda Road in the district of Bolangir under MMSY-Improvement to Existing RD Roads for the year 2024-25,Please refer Tender documents. ,NA ,"9,81,88,000",Civil Works - Roads,NA ,Tender,90.0,365.0,Bolangir,767001.0,NA ,NA ,NA ,"O/o C.C.E, R.W.Circle, Bolangir",No ,No,1.0,3rd Corrigendum,Other,,1.0,ICICI BANK,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,BLGR-Online-06/2024-25,2025_CERWI_109196_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Chief Construction Engineer, R.W.Circle, Bolangir","O/o the Chief Construction Engineer, R.W.Circle, Bolangir","10,000",0.0,Nil,Nil,No,"9,81,880",Yes,percentage,1.0%,Nil,Nil,AOC,Technical,32 nos of bids download,Anupama Bishi,21-Jan-2025 06:22 PM,technical_524642.pdf,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2025_CERWI_109196_3,BLGR-Online-06/2024-25,Construction of Road from Gudvela to Biramunda Road in the district of Bolangir under MMSY-Improvement to Existing RD Roads for the year 2024-25,S Mahali,Internal,,Rajendra Majhi,01-Aug-2025 06:09 PM,finsummary_524642.pdf (114.36 KB),1.0,2764826.0,SHREE BISWAKARMA INFRA,INR,"83,469,510.472",1,2766628,ANKUSH PRASAD HOTA,20-Jan-2025 04:17 PM,Rejected-Technical,Insufficient Bid Capacity,23-Apr-2025 06:44 PM,01-Aug-2025,"INR 98,187,872.57",365.0,Rajendra Majhi,01-Aug-2025 06:13 PM,boqcomparativechart.pdf (114.00 KB),Success in lottery system,S Mahali,Internal,,Sukadev Mahali,23-Apr-2025 06:44 PM,01-May-2025 09:00 AM,techsummary_524642.pdf (824.53 KB),Finance,31 nos of bids download,Sukadev Mahali,01-May-2025 12:31 PM,finance_524642.pdf,BOQ Comparative Chart,AOC
,,.pdf,"Annual Turn Over, Similar Nature of Work and others documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2765313,ANUP BUILDERS,20-Jan-2025 10:28 AM,Rejected-Finance,Unsuccess in lottery systemUnsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2766443,ARNS INFRAPROJECTS PRIVATE LIMITED,20-Jan-2025 03:59 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2749956,ATUL KUMAR JAIN,14-Jan-2025 07:33 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2750977,BIJAY KUMAR AGRAWAL,15-Jan-2025 02:15 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2763507,B. K. Construction Co.,18-Jan-2025 04:14 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2765770,DEMANTI AGRAWAL,20-Jan-2025 11:57 AM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2764803,ER. MOHIT KUMAR JAIN,19-Jan-2025 06:25 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2764696,GIRIDHARI LAL AGRAWAL,19-Jan-2025 04:49 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2758894,Haresh Kumar Agrawal,19-Jan-2025 08:40 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,11,2766435,JAYAKUMARI PADHAN,20-Jan-2025 03:04 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,12,2764569,KL INFRABUILD PVT. LTD.,19-Jan-2025 02:58 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,13,2766422,LAL MOHAN PANDA,20-Jan-2025 03:17 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,14,2754236,MISHRA INFRA PROJECTS,16-Jan-2025 10:47 AM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,15,2764695,MITTAL INFRAPROJECTS,19-Jan-2025 04:54 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,16,2766535,MS GLOBAL CONSTRUCTION,20-Jan-2025 03:20 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
