Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
22-May-2025 11:00 AM,04-Jun-2025 09:00 AM,22-May-2025 11:00 AM,03-Jun-2025 05:00 PM,NA ,NA ,22-May-2025 11:00 AM,03-Jun-2025 05:00 PM,"16,950",Yes,fixed,,Nil,Nil,1.0,CHANGE IN BOQ,Other,,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,Municipal Bodies||Dhenkanal Municipality,DKL MPLTY/01 /2025-26,2025_ORULB_113687_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer,Dhenkanal Municipality,Constn. of Drain at Talabanaia in ward no. 04,As per Tender document,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,120.0,45.0,Dhenkanal Municipality,759001.0,NA ,NA ,NA ,Dhenkanal Municipality,No ,No,AOC,Municipal Bodies||Dhenkanal Municipality,2025_ORULB_113687_2,DKL MPLTY/01 /2025-26,Constn. of Drain at Talabanaia in ward no. 04,CHAIRPERSON,Internal,"JE,AEE,ME,EO",Rasmita Mishra,06-Aug-2025 05:12 PM,finsummary_540572.pdf (49.49 KB),Finance,L1 Bidder will finalised after scrutiny of all documents,Rasmita Mishra,30-Jul-2025 01:22 PM,,BOQ Comparative Chart,1.0,2943954.0,SHREEKANTA PARIDA,INR,"1,695,228",06-Aug-2025,"INR 1,695,228",45.0,Rasmita Mishra,06-Aug-2025 05:27 PM,AOC2.pdf (157.00 KB),1,2949779,Balabhadra Nayak,03-Jun-2025 12:56 PM,Rejected-Finance,unsuccessful in lottery,06-Aug-2025 05:12 PM,CHAIRPERSON,Internal,"EO,AEE,ME,JE",Rasmita Mishra,02-Aug-2025 06:06 PM,techsummary_540572.pdf (49.49 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2946179,Bishal Pattnaik,01-Jun-2025 11:05 AM,Rejected-Finance,unsuccessful in lottery,06-Aug-2025 05:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2944342,BISWAJIT MANSINGH,30-May-2025 10:27 PM,Rejected-Finance,unsuccessful in lottery,06-Aug-2025 05:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2949200,CHITTARANJAN SAHOO,02-Jun-2025 07:07 PM,Rejected-Finance,unsuccessful in lottery,06-Aug-2025 05:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2949328,Debi Sankar Sharma,02-Jun-2025 08:43 PM,Rejected-Finance,unsuccessful in lottery,06-Aug-2025 05:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2949881,DILLIP KUMAR JENA,03-Jun-2025 02:04 PM,Rejected-Finance,unsuccessful in lottery,06-Aug-2025 05:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2947294,JYOTIRANJAN DAS,01-Jun-2025 08:45 PM,Rejected-Finance,unsuccessful in lottery,06-Aug-2025 05:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2944310,M/s RUPSA CONSTRUCTIONS,02-Jun-2025 12:26 PM,Rejected-Finance,unsuccessful in lottery,06-Aug-2025 05:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2949214,Pradyumna Mohanty,02-Jun-2025 07:45 PM,Rejected-Finance,unsuccessful in lottery,06-Aug-2025 05:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2949173,Prafulla Kumar Mohanty,02-Jun-2025 06:54 PM,Rejected-Finance,unsuccessful in lottery,06-Aug-2025 05:12 PM,,,,,,,AOC
