Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"ACE, Mechanical Circle, Berhampur","O/o ACE, Mechanical Circle, Berhampur","10,600",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"6,000",0.0,Nil,Nil,No,05-May-2025 10:00 AM,20-May-2025 12:00 PM,05-May-2025 10:00 AM,19-May-2025 05:30 PM,05-May-2025 10:00 AM ,19-May-2025 05:30 PM ,05-May-2025 10:00 AM,19-May-2025 05:30 PM,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,ACE/MCB/MDB-02/2025-26,2025_CEMWR_113108_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Supply,Fabrication and Erection and Painting of 04 no of Scouring sluice Gates of Jogilungnalla Check Dam in Gumma Block Under Superintending Engineer,MI Division,Gajapati.","Supply,Fabrication and Erection and Painting of 04 no of Scouring sluice Gates of Jogilungnalla Check Dam in Gumma Block Under Superintending Engineer,MI Division,Gajapati.",Please refer tender details. ,NA ,"10,57,348",Mechanical Works,HYDRO-MECHANICAL GATE ,Tender,90.0,60.0,Jogilungnalla Check Dam in Gumma Block,761207.0,NA ,NA ,NA ,"O/o ACE, Mechanical Circle, Berhampur",No ,No,AOC,KK behera,Internal,,KISHORE KUMAR BEHERA,18-Aug-2025 06:27 PM,finsummary_538434.pdf (647.44 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,2025_CEMWR_113108_1,ACE/MCB/MDB-02/2025-26,"Supply,Fabrication and Erection and Painting of 04 no of Scouring sluice Gates of Jogilungnalla Check Dam in Gumma Block Under Superintending Engineer,MI Division,Gajapati.",1.0,2925029.0,ORIFEB INDUSTRIES,INR,"898,852.13",Finance,Summary,KISHORE KUMAR BEHERA,24-Jun-2025 02:08 PM,finance_538434.pdf,BOQ Comparative Chart,18-Aug-2025,"INR 1,057,348.7",60.0,KISHORE KUMAR BEHERA,18-Aug-2025 06:32 PM,AOC.pdf (1373.00 KB),1,2925085,ABHISEKH ENTERPRISERS,19-May-2025 02:51 PM,Rejected-Finance,Looser in transparent lottery process.,18-Aug-2025 06:27 PM,KK behera,Internal,,KISHORE KUMAR BEHERA,18-Aug-2025 06:21 PM,techsummary_538434.pdf (3222.69 KB),AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"RC,GST,PAN,ESI,EPF, and all other documents as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2918318,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",14-May-2025 10:57 PM,Rejected-Finance,Looser in transparent lottery process.,18-Aug-2025 06:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2909883,BANASHREE BHUYAN,17-May-2025 08:30 PM,Rejected-Finance,Looser in transparent lottery process.,18-Aug-2025 06:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2909896,LAXMIDHRA BHUYAN,17-May-2025 08:22 PM,Rejected-Finance,Looser in transparent lottery process.,18-Aug-2025 06:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2910171,M/S Abirvab Steel Product,17-May-2025 01:22 PM,Rejected-Finance,Looser in transparent lottery process.,18-Aug-2025 06:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2910214,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,18-May-2025 11:37 AM,Rejected-Finance,Looser in transparent lottery process.,18-Aug-2025 06:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2910220,M/S Ashreebad Fabricators,19-May-2025 04:20 PM,Rejected-Finance,Looser in transparent lottery process.,18-Aug-2025 06:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2910248,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,18-May-2025 01:55 PM,Rejected-Finance,Looser in transparent lottery process.,18-Aug-2025 06:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2924310,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,19-May-2025 11:15 AM,Rejected-Finance,Looser in transparent lottery process.,18-Aug-2025 06:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2923179,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",17-May-2025 09:53 PM,Rejected-Finance,Looser in transparent lottery process.,18-Aug-2025 06:27 PM,,,,,,,AOC
