S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,1.0,REVISED DTCN,Technical Bid,,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_52,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Constn. of paver block road and Drain from tukuna house to Babuli house in W.N-23,Constn. of paver block road and Drain from tukuna house to Babuli house in W.N-23,Please refer Tender documents. ,NA ,"6,35,593",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,356",Yes,percentage,1.0%,Nil,Nil,"Executive Officer, Balasore Municipality",Balasore Municipality Office,AOC,EO ME CP AE AEE,Internal,,Pranabananda Sahu,18-Aug-2025 04:59 PM,finsummary_533178.pdf (430.37 KB),EO ME CP AE AEE,Internal,,Pranabananda Sahu,18-Aug-2025 01:11 PM,techsummary_533178.pdf (430.37 KB),1.0,2869282.0,GOURAV KUMAR SAHU,INR,"635,593",Municipal Bodies||Balasore Municipality,2025_ORULB_111643_52,BM_06_2024_25,Constn. of paver block road and Drain from tukuna house to Babuli house in W.N-23,1,2869282,GOURAV KUMAR SAHU,26-Mar-2025 02:34 PM,Accepted-AOC,WO,18-Aug-2025 05:00 PM,18-Aug-2025,"INR 635,593",60.0,Pranabananda Sahu,18-Aug-2025 05:00 PM,WO0652.pdf (541.00 KB),Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 03:21 PM,,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2868646,Hari Mallik,25-Mar-2025 11:41 PM,Rejected-Technical,L2,18-Aug-2025 01:11 PM,,,,,,,,,,,,,AOC
