S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,05-Apr-2025 03:00 PM,19-Apr-2025 10:00 AM,05-Apr-2025 03:00 PM,17-Apr-2025 05:00 PM,NA ,NA ,05-Apr-2025 03:00 PM,17-Apr-2025 05:00 PM,"EXECUTIVE OFFICER, DHARMAGARH NAC",DHARMAGARH NAC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate,PAN, GST, paper cost ,EMD, tender fee and other document as per DTCN","1,271",Yes,fixed,,Nil,Nil,Municipal Bodies||Dharmagarh NAC,DHM/01/2025-26,2025_ORULB_112223_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,600.0,0.0,Nil,Nil,No,CASTING OF COVER SLAB OVER OPEN DRAIN IN DIFFERENT WARD OF WRAD NO-03,CASTING OF COVER SLAB OVER OPEN DRAIN IN DIFFERENT WARD OF WRAD NO-03,Please refer Tender documents. ,NA ,"1,27,119",Civil Works - Others,NA ,Tender,60.0,60.0,DHARMAGARH NAC,766015.0,NA ,NA ,NA ,DHARMAGARH NAC,No ,No,AOC,11-Aug-2025,"INR 127,119.26",60.0,Pramod Kumar Khillo,10-Aug-2025 05:31 PM,PROCEEDING.pdf (635.00 KB),1,2887319,PARESWAR PRADHANI,17-Apr-2025 03:18 PM,Rejected-Technical,BY THE TENDER COMMITTEE,10-Aug-2025 05:25 PM,ASHOK KUMAR MOHANTY,Internal,"Rajib Lochan podh,Birsingh Biroli,Pramod Kumar Khillo",Pramod Kumar Khillo,10-Aug-2025 05:25 PM,techsummary_535424.pdf (634.88 KB),ASHOK KUMAR MOHANTY,Internal,"Rajib Lochan podh,Birsingh Biroli,Pramod Kumar Khillo",Pramod Kumar Khillo,10-Aug-2025 05:28 PM,finsummary_535424.pdf (634.88 KB),Municipal Bodies||Dharmagarh NAC,2025_ORULB_112223_3,DHM/01/2025-26,CASTING OF COVER SLAB OVER OPEN DRAIN IN DIFFERENT WARD OF WRAD NO-03,1.0,2887272.0,ROSAN PRADHAN,INR,"127,119.26",Finance,proceeding,Pramod Kumar Khillo,07-Aug-2025 11:52 AM,finance_535424.pdf,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2887272,ROSAN PRADHAN,17-Apr-2025 01:55 PM,Accepted-AOC,BY THE TENDER COMMITTEE,10-Aug-2025 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
