Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"10,000",0.0,Nil,Nil,No,24-Jun-2025 06:00 PM,15-Jul-2025 11:00 AM,24-Jun-2025 06:00 PM,14-Jul-2025 05:30 PM,NA ,NA ,24-Jun-2025 06:00 PM,14-Jul-2025 05:30 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,ST and SC Development Deptt||ITDA Rairangpur,TCN02/2025-26,2025_STSCD_114749_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Project Administrator, ITDA, Rairangpur","At-Ward No-03, Mandir Sahi, PO/PS-Rairangpur, Dist-Mayurbhanj","57,442",Yes,percentage,1.0%,Nil,Nil,Upgradation of PSH Building at Bhandan School under Kusumi Block.,Upgradation of PSH Building at Bhandan School under Kusumi Block.,As per tender documents. ,NA ,"57,44,183",Civil Works - Buildings,NA ,Tender,90.0,180.0,Bhandan,757050.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,AOC,JogaranjanNayak,Mixed,AmarNathSubudhiAEEstimatroGulsandevMarkamAEEManojkumarBindhaniJEArupanandaParamanikPEJnanendraKumarSamalADWOPrakashRanjanDuttaSOSureshKumarMajhiSRA,Jogaranjan Nayak,21-Aug-2025 11:31 AM,techsummary_544105.pdf (532.97 KB),Jogaranjannayak,Mixed,AmarNathSubudhiAEEstimatroGulsandevMarkamAEEManojkumarBindhaniJEArupanandaParamanikPEJnanendraKumarSamalADWOPrakashRanjanDuttaSOSureshKumarMajhiSRA,Jogaranjan Nayak,21-Aug-2025 11:37 AM,finsummary_544105.pdf (532.97 KB),Finance,Accepted this tender Work SI.No. 13 of Bid Identification No. 02/2025-26 due to more than one bidders are participating. Evaluation or scrutinization is to be taken up after opening of technical bid with all criteria,Jogaranjan Nayak,21-Aug-2025 11:26 AM,finance_544105.pdf,BOQ Comparative Chart,21-Aug-2025,"INR 4,883,129.97",180.0,Jogaranjan Nayak,21-Aug-2025 11:43 AM,AOCdetails02202526.pdf (2883.00 KB),"Rajesh Ku Tarai B Class SC Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingly",1.0,2999064.0,RAJESH KUMAR TARAI,INR,"4,883,129.97",ST and SC Development Deptt||ITDA Rairangpur,2025_STSCD_114749_13,TCN02/2025-26,Upgradation of PSH Building at Bhandan School under Kusumi Block.,1,2998148,Amit kumar sahu,13-Jul-2025 06:51 PM,Rejected-AOC,L1,21-Aug-2025 11:44 AM,AOC
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2998272,CHANDRA SHEKHAR MOHAKUD,13-Jul-2025 08:07 PM,Rejected-AOC,L1,21-Aug-2025 11:44 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2999220,DAMAN MAJHI,14-Jul-2025 04:02 PM,Rejected-AOC,L1,21-Aug-2025 11:44 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2995873,DEEPAK KUMAR MOHANTY,14-Jul-2025 11:16 AM,Rejected-AOC,L1,21-Aug-2025 11:44 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2997311,HIMANSU NARAYAN BARIK,12-Jul-2025 04:13 PM,Rejected-AOC,L1,21-Aug-2025 11:44 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2999343,MALAYA KUMAR MAHANTA,14-Jul-2025 05:14 PM,Rejected-AOC,L2,21-Aug-2025 11:44 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2999064,RAJESH KUMAR TARAI,14-Jul-2025 02:30 PM,Accepted-AOC,Lottery Winner L1,21-Aug-2025 11:44 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2997085,TULASHI RAJAK,12-Jul-2025 12:14 PM,Rejected-AOC,L1,21-Aug-2025 11:44 AM,AOC
