Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"2,000",0.0,Nil,Nil,No,02-Jun-2025 11:00 AM,16-Jun-2025 11:00 AM,02-Jun-2025 11:00 AM,13-Jun-2025 05:30 PM,02-Jun-2025 11:00 AM ,10-Jun-2025 05:30 PM ,02-Jun-2025 11:00 AM,13-Jun-2025 05:30 PM,"Superintending Engineer., Nimapara Irr Divn.","Office of the Superintending Engineer Nimapara Irrigation Division, Nimapara Dist- Puri","2,900",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",e-Procurement Notice No.- 01 of 2025-26,2025_CELBB_113941_60,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"NID-60- Improvement to Puran Distributray R.D. 0.00Km. to 1.709Km., Barijanga Distributary RD. 1.600Km. to 7.800Km., Singiri minor RD. 0.00Km. to 0.500Km. and Panikata minor RD. 0.00Km. to 0.800Km.","Improvement to Puran Distributray R.D. 0.00Km. to 1.709Km., Barijanga Distributary RD. 1.600Km. to 7.800Km., Singiri minor RD. 0.00Km. to 0.500Km. and Panikata minor RD. 0.00Km. to 0.800Km.",Please refer Tender Documents ,NA ,"2,82,685",Civil Works - Canal,Canal ,Tender,90.0,120.0,Nimapara,752106.0,NA ,NA ,NA ,"S.E., Nimapara Irr Divn. Nimapara",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN PAN Contractor R.C Affidavits Undertakings and any other document as per SBD/DTCN,AOC,"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",Baikuntha Dalai,27-Jul-2025 02:06 PM,finsummary_541723.pdf (3046.59 KB),"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",Baikuntha Dalai,27-Jul-2025 02:00 PM,techsummary_541723.pdf (23.95 KB),12-Aug-2025,"INR 240,311",120.0,Baikuntha Dalai,12-Aug-2025 07:28 PM,NID60.pdf (1059.00 KB),"L1 bid of Sri NIRANJAN MISHRA selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.",1,2965718,ASHOK KUMAR SENAPATY,13-Jun-2025 03:24 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 02:06 PM,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",2025_CELBB_113941_60,e-Procurement Notice No.- 01 of 2025-26,"NID-60- Improvement to Puran Distributray R.D. 0.00Km. to 1.709Km., Barijanga Distributary RD. 1.600Km. to 7.800Km., Singiri minor RD. 0.00Km. to 0.500Km. and Panikata minor RD. 0.00Km. to 0.800Km.",1.0,2957917.0,NIRANJAN MISHRA,INR,"240,311",Finance,All the bids are downloaded successfully.,Sangram Keshari Mohanty,25-Jun-2025 04:43 PM,finance_541723.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,2,2964966,DD Enterprisers,13-Jun-2025 01:10 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 02:06 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2957656,DIPTI RANJAN JENA,09-Jun-2025 01:29 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 02:06 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2961889,HEMANTA KUMAR MOHANTY,12-Jun-2025 10:38 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 02:06 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2965164,JAY MAHADEV CONSTRUCTION,13-Jun-2025 01:47 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 02:06 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2961891,JITUNA SAHOO,11-Jun-2025 05:15 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 02:06 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2965852,JYOTIRMAI PATRA,13-Jun-2025 04:29 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 02:06 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2965894,KABI CHANDRA SETHI,13-Jun-2025 04:51 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 02:06 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2956528,KRUSHNA CHANDRA SWAIN,11-Jun-2025 12:40 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 02:06 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2954262,LAXMIPRIYA PARIDA,11-Jun-2025 05:03 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 02:06 PM,,,,,,,,,,,,,,,,AOC
