S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",Rourkela Municipal Corporation,MC/RMC/21/2025,2025_RMC_112950_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, EMD, GST, Affidavit, PAN, Paper cost and other Documents as per DTCN","6,000",Nil,Nil,No,30-Apr-2025 06:00 PM,12-May-2025 11:00 AM,30-Apr-2025 06:00 PM,10-May-2025 05:00 PM,NA ,NA ,30-Apr-2025 06:00 PM,10-May-2025 05:00 PM,1.0,Due Date Extended for tenders closing on 07-05-2025.,Admin Corrigendum Date Extend,,"11,180",Yes,fixed,,Nil,Nil,"Replacement of Defective Flood lights Interior and Exterior and other Electrical accessories at BPIS, Rourkela.",Electrical,Please refer Tender documents. ,NA ,"11,18,000",Electrical Works,NA ,Tender,90.0,30.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,AOC,1,2910864,ECO ELECTRIC POWER SOLUTIONS,10-May-2025 01:18 AM,Rejected-Technical,By The Tender Committee,08-Aug-2025 01:01 PM,Commissioner,External,"Audit Officer, Superintending Engineer, Joint Commissioner",Birendra Nanda,08-Aug-2025 01:01 PM,techsummary_538022.pdf (550.63 KB),Finance,EMD refund,Birendra Nanda,08-Aug-2025 12:52 PM,finance_538022.pdf,BOQ Comparative Chart,1.0,2906866.0,M/S GANGA ELECTRIC,INR,"950,569",08-Aug-2025,"INR 950,569",30.0,Birendra Nanda,08-Aug-2025 01:18 PM,BID21.pdf (551.00 KB),Awarded to Ganga Electric,Commissioner,External,"Audit Officer, Superintending Engineer, Joint Commissioner",Birendra Nanda,08-Aug-2025 01:10 PM,finsummary_538022.pdf (550.63 KB),Rourkela Municipal Corporation,2025_RMC_112950_2,MC/RMC/21/2025,"Replacement of Defective Flood lights Interior and Exterior and other Electrical accessories at BPIS, Rourkela.",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2905002,EDITION INTERNATIONAL,04-May-2025 01:00 PM,Rejected-Technical,By The Tender Committee,08-Aug-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2910320,ELECTRO POWER ENGG WORKS,09-May-2025 01:01 PM,Rejected-Technical,By The Tender Committee,08-Aug-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2906794,JBS ENTERPRISES,05-May-2025 08:18 PM,Rejected-Technical,By The Tender Committee,08-Aug-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2906866,M/S GANGA ELECTRIC,05-May-2025 09:59 PM,Accepted-AOC,By The Tender Committee,08-Aug-2025 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2905740,M/s.TULSHI ENTERPRISES,06-May-2025 05:43 PM,Rejected-Technical,By The Tender Committee,08-Aug-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2905012,NARAYANI CONSTRUCTION,04-May-2025 01:21 PM,Rejected-Technical,By The Tender Committee,08-Aug-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2904987,RAKESH PATTANAYAK,04-May-2025 12:37 PM,Rejected-Technical,By The Tender Committee,08-Aug-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2904150,R.S. ENTERPRISE,04-May-2025 09:45 AM,Rejected-Technical,By The Tender Committee,08-Aug-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2911357,saraswati telesolutions,10-May-2025 04:32 PM,Rejected-Technical,By The Tender Committee,08-Aug-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
