Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"11,800",0.0,Nil,Nil,No,19-Jun-2025 06:55 PM,07-Jul-2025 10:30 AM,19-Jun-2025 06:55 PM,05-Jul-2025 05:00 PM,NA ,NA ,19-Jun-2025 06:55 PM,05-Jul-2025 05:00 PM,29-Jul-2025 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","Construction of Atal Bus Stand(ABS) at Khariar Road Under Khariar Road Block, Nuapada.",Building Work,Please refer Tender documents. ,NA ,"27,36,22,925",Civil Works - Buildings,NA ,Tender,90.0,540.0,Nuapada,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,ICICI BANK,1.0,PLAN AND ELEVATION,Other,,"27,36,200",Yes,fixed,,Nil,Nil,Orissa State Police Housing and Welfare Corporation Ltd,06/OPHWC/2025-26,2025_OSPHW_114584_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,11 Nos. of bidder have been participated,Bikram Keshari Malla,07-Jul-2025 03:21 PM,,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_114584_1,06/OPHWC/2025-26,"Construction of Atal Bus Stand(ABS) at Khariar Road Under Khariar Road Block, Nuapada.",AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,22-Aug-2025 05:20 PM,finsummary_543503.pdf (387.41 KB),1.0,2986781.0,DIVERSIFIED ENERGY SOLUTIONS PRIVATE LIMITED,INR,"232,606,848.36",22-Aug-2025,"INR 232,606,848.36",540.0,Bikram Keshari Malla,22-Aug-2025 05:24 PM,WORKORDERT.pdf (502.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 20.08.2025,1,2986950,APEX CONSTRUCTION,05-Jul-2025 04:06 PM,Rejected-Finance,DUE TO L4 BIDDER,22-Aug-2025 05:20 PM,AS PER TC MINUTES,Internal,AS PER TC MINUTES,Srikanta Samal,28-Jul-2025 03:52 PM,29-Jul-2025 10:30 AM,techsummary_543503.pdf (237.35 KB),Finance,financial bid opened,Srikanta Samal,29-Jul-2025 11:50 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2989937,AVR INFRATECH PVT LTD,05-Jul-2025 02:20 PM,Rejected-Finance,DUE TO L4 BIDDER,22-Aug-2025 05:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2983705,BKM CONSTRUCTION PVT.LTD,02-Jul-2025 02:06 PM,Rejected-Finance,DUE TO L2 BIDDER,22-Aug-2025 05:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2986781,DIVERSIFIED ENERGY SOLUTIONS PRIVATE LIMITED,04-Jul-2025 04:49 PM,Accepted-AOC,QUALIFIED BIDDER,22-Aug-2025 05:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2990019,M/s Lalitendu Satpathy,05-Jul-2025 01:39 PM,Rejected-Finance,DUE TO L3 BIDDER,22-Aug-2025 05:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2988546,M/S S.KUMARS ASSOCIATES,04-Jul-2025 05:19 PM,Rejected-Technical,Non submission of adequate turn over as per DTCN Cl. No. 12 and 110(j).,28-Jul-2025 03:52 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2989383,R K BUILDER,05-Jul-2025 01:19 PM,Rejected-Finance,DUE TO L4 BIDDER,22-Aug-2025 05:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2987283,SAI SMRUTI INFRASTRUCTURE PVT. LTD.,03-Jul-2025 09:47 PM,Rejected-Finance,DUE TO L4 BIDDER,22-Aug-2025 05:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2985410,Shree Balaji Engicons Limited,05-Jul-2025 01:29 PM,Rejected-Finance,DUE TO L5 BIDDER,22-Aug-2025 05:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2987989,SHREEMAN AND AMAN INFRA PRIVATE LIMITED,05-Jul-2025 01:44 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,28-Jul-2025 03:52 PM,,,,,,,,,,,,,,AOC
