Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Improvement of Paver Road from Gandaram Behera Res. to Sahu Res.W.No.6,Paver Road work,Please refer Tender Documents  ,NA ,"7,70,000",Civil Works - Roads,NA ,Tender,180.0,60.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,"7,700",Yes,percentage,1.0%,Nil,Nil,"4,000",0.0,Nil,Nil,No,07-Sep-2023 09:00 AM,25-Sep-2023 11:00 AM,07-Sep-2023 09:00 AM,22-Sep-2023 05:00 PM,NA ,NA ,07-Sep-2023 09:00 AM,22-Sep-2023 05:00 PM,Municipal Bodies||Balangir Municipality,BLGR MPTY/07(01-125)/2023-24,2023_ORULB_93864_58,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,1.0,1st CORRIGENDUM,Date,,AOC,04-Aug-2025,"INR 643,712.71",60.0,Rojalisa Rout,04-Aug-2025 08:48 PM,wo58.pdf (647.00 KB),Sri Shiba Prasad Behera Selected as L1 for the Work Improvement of Paver Road from Gandaram Behera Res. to Sahu Res.W.No.6,1,2252915,SHIBA PRASAD BEHERA,13-Sep-2023 04:30 PM,Accepted-AOC,L1,04-Aug-2025 08:48 PM,"Lika Sahu,Chairperson, Balangir Municipality",Internal,"Chairperson , Executive Officer, Municipal Engineer,Asst. Engineer, Junior Engineer, Balangir Municipality",Biswambhar Mishra,19-Oct-2023 08:39 AM,techsummary_459237.pdf (90.69 KB),Municipal Bodies||Balangir Municipality,2023_ORULB_93864_58,BLGR MPTY/07(01-125)/2023-24,Improvement of Paver Road from Gandaram Behera Res. to Sahu Res.W.No.6,"Lika Sahu,Chairperson",Internal,"Chairperson, Executive Officer, Municipal Engineer, Junior Engineer",Rojalisa Rout,04-Aug-2025 08:44 PM,finsummary_459237.pdf (554.95 KB),Finance,2 Nos. of bidders have participated,Biswambhar Mishra,03-Oct-2023 03:12 PM,,BOQ Comparative Chart,1.0,2252915.0,SHIBA PRASAD BEHERA,INR,"643,712.71",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",,,,,AOC,,,,,,,,2,2263587,SRI KAMBU NAG,20-Sep-2023 10:36 PM,Rejected-AOC,L2,04-Aug-2025 08:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
