Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Mechanical gate work,"Replacement of 01 no. Emergency gate and 01 no. Service Gate(Well) of Left HR and 01 no.Right HR Gate of KrushnaSagar MIP in Ghosani block under MI Division,Gajapati,Paralakhemundi for the year 2024-25",Please refer Tender Documents ,NA ,"6,02,491",Mechanical Works,NA ,Tender,90.0,NA ,"Parlakhemundi,gajapati",761200.0,NA ,NA ,NA ,"O/O THE SE,MECHANICAL DIVISION,BERHAMPUR",No ,No,"6,100",Yes,fixed,,Nil,Nil,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,SE-MDB -02(A)/2025-26,2025_CEMWR_114104_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,SUPERINTENDING ENGINEER,"O/O THE SE,MECHANICAL DIVISION,BERHAMPUR-760007",1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN,PAN,RC,AFFIDAVITS AND ANY OTHER DOCUMENTS AS PER DTCN",1.0,ICICI BANK,02-Jun-2025 11:00 AM,12-Jun-2025 12:00 PM,02-Jun-2025 11:00 AM,11-Jun-2025 05:30 PM,02-Jun-2025 11:00 AM ,09-Jun-2025 05:30 PM ,02-Jun-2025 11:00 AM,11-Jun-2025 05:30 PM,AOC,1,2954761,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",07-Jun-2025 01:05 PM,Rejected-Finance,LOOSER IN THE TRANSPARENT LOTTERY PROCESS.,19-Jun-2025 12:54 PM,15-Jul-2025,"INR 602,490.7",90.0,SANJAYA KUMAR NAYAK,18-Aug-2025 04:05 PM,aoc.pdf (1493.00 KB),superintending engineer,Internal,,SANJAYA KUMAR NAYAK,19-Jun-2025 12:42 PM,techsummary_541852.pdf (566.97 KB),superintending engineer,Internal,,SANJAYA KUMAR NAYAK,19-Jun-2025 12:54 PM,finsummary_541852.pdf (813.53 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,2025_CEMWR_114104_1,SE-MDB -02(A)/2025-26,Mechanical gate work,1.0,2948011.0,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,INR,"512,177.35",Finance,Bid opened on dated 12.06.2025.It is found that 14 number bidders participated and all quoted 14.99 percent less.,SANJAYA KUMAR NAYAK,12-Jun-2025 06:41 PM,finance_541852.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,2,2953107,M/S Abirvab Steel Product,11-Jun-2025 12:42 PM,Rejected-Finance,LOOSER IN THE TRANSPARENT LOTTERY PROCESS.,19-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2948043,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,10-Jun-2025 06:10 PM,Rejected-Finance,LOOSER IN THE TRANSPARENT LOTTERY PROCESS.,19-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2953925,M/S Ashreebad Fabricators,11-Jun-2025 10:30 AM,Rejected-Finance,LOOSER IN THE TRANSPARENT LOTTERY PROCESS.,19-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2948011,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,10-Jun-2025 06:04 PM,Accepted-AOC,winner,18-Aug-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2961247,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,11-Jun-2025 04:39 PM,Rejected-Finance,LOOSER IN THE TRANSPARENT LOTTERY PROCESS.,19-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2957023,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,09-Jun-2025 09:16 PM,Rejected-Finance,LOOSER IN THE TRANSPARENT LOTTERY PROCESS.,19-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2955067,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",09-Jun-2025 09:28 PM,Rejected-Finance,LOOSER IN THE TRANSPARENT LOTTERY PROCESS.,19-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2951949,M/s Pati Enterprises,08-Jun-2025 09:03 PM,Rejected-Finance,LOOSER IN THE TRANSPARENT LOTTERY PROCESS.,19-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2952823,M/S SAIKRUPA ENTERPRISERS (PROP.UMESH CHANDRA SWAIN),11-Jun-2025 09:26 AM,Rejected-Finance,LOOSER IN THE TRANSPARENT LOTTERY PROCESS.,19-Jun-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
