Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Housing and Urban Development Department||State Urban Development Agency,006/ SUDA,2025_HUDD_113127_1,Yes,Open Tender,Lump-sum,Services,2.0,No,No,Both(Online/Offline),No,No,No,"5,000",SUDA,Bhubaneswar,No,RFP_for_PMU_H_and_UD_Dept,RFP_for_consultancy_Service_for_Program_Management_Unit_in_H_and_UD_Department_Odisha,Please refer Tender documents. ,NA ,,Consultancy Services,NA ,Tender,120.0,1095.0,SUDA_Bhubaneswar,751014.0,Virtual Mode at SUDA ,Virtual Mode ,13-May-2025 12:00 PM ,ONLINE,No ,No,05-May-2025 03:00 PM,09-Jun-2025 04:00 PM,05-May-2025 03:00 PM,09-Jun-2025 11:00 AM,06-May-2025 11:00 AM ,12-May-2025 03:00 PM ,29-May-2025 11:00 AM,09-Jun-2025 11:00 AM,26-Jun-2025 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,RFP_for_consultancy_Service_for_Program_Management_Unit_in_H_and_UD_Department_Odisha,1.0,ICICI BANK,Administrative Officer SUDA,PLOT_NO_172_VIVEKANANDA_MARG_NEAR_BHUBANESWAR_MUNICIPAL_CORPORATION_OFFICE_BHUBANESWAR_751014,1.0,Date_Corrigendum,Date,,"5,00,000",No,fixed,,SUDA,Bhubaneswar,AOC,Director_Municipal_Administration,Internal,,Rasanta Kumar Naik,25-Jun-2025 05:58 PM,26-Jun-2025 12:30 PM,techsummary_538491.pdf (455.87 KB),1.0,2950169.0,IPE Global Limited,INR,"25,440,000",Housing and Urban Development Department||State Urban Development Agency,2025_HUDD_113127_1,006/ SUDA,RFP_for_PMU_H_and_UD_Dept,Finance,Tender Opened,Rasanta Kumar Naik,26-Jun-2025 12:57 PM,,BOQ Comparative Chart,Technical,Technical bid Opened,Rajendra Kumar Ray Mohapatra,09-Jun-2025 04:15 PM,,1,2940673,Centre for Environment and Development,07-Jun-2025 09:17 PM,Rejected-AOC,Rejected,06-Aug-2025 10:54 AM,Director Municipal Administration,Internal,,Rasanta Kumar Naik,04-Aug-2025 04:37 PM,finsummary_538491.pdf (218.59 KB),05-Aug-2025,"INR 25,440,000",720.0,Rasanta Kumar Naik,06-Aug-2025 10:54 AM,PgMU.pdf (105.00 KB),LOA,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,RFP_for_consultancy_Service_for_Program_Management_Unit_in_H_and_UD_Department_Odisha,2.0,ICICI NEFT/RTGS,,,2.0,Technical_Corrigendum,Technical Bid,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2950169,IPE Global Limited,08-Jun-2025 08:47 PM,Accepted-AOC,Accepted,06-Aug-2025 10:54 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2954235,mars planning & engineering services pvt ltd,08-Jun-2025 07:17 PM,Rejected-AOC,Rejected,06-Aug-2025 10:54 AM,,,,,,,,,,,,,,AOC
