S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Date,Date,,1.0,ICICI BANK,"3,47,335",Yes,percentage,1.0%,Nil,Nil,13-Dec-2024 10:00 AM,30-Dec-2024 04:15 PM,13-Dec-2024 10:00 AM,30-Dec-2024 04:00 PM,NA ,NA ,13-Dec-2024 10:00 AM,30-Dec-2024 04:00 PM,"Construction of Multi colour Interlocking Paver Block road from NH-55 towards Railway Station via Kurumtikira, Salesingh and Rangia Tikira in WNo 11 and 2","Construction of Multi colour Interlocking Paver Block road from NH-55 towards Railway Station via Kurumtikira, Salesingh and Rangia Tikira in WNo 11 and 2",Please refer Tender documents. ,NA ,"3,47,33,536",Civil Works - Roads,NA ,Tender,90.0,90.0,Rairakhol,768106.0,NA ,NA ,NA ,"NAC, Redhakhol",No ,No,Municipal Bodies||Redhakhol NAC,RDL NAC-3/2024-25,2024_ORULB_108238_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"10,000",0.0,Nil,Nil,No,"Executive Officer, NAC, Redhakhol","Executive Officer, NAC, Redhakhol",AOC,Municipal Bodies||Redhakhol NAC,2024_ORULB_108238_2,RDL NAC-3/2024-25,"Construction of Multi colour Interlocking Paver Block road from NH-55 towards Railway Station via Kurumtikira, Salesingh and Rangia Tikira in WNo 11 and 2",Sibaram Sahoo,Internal,"Chairperson, EO, ME, JE",Biranchi Dharua,04-Mar-2025 03:19 PM,finsummary_520347.pdf (524.23 KB),Finance,10 bidder participated and accepted for technical evaluation,Biranchi Dharua,30-Dec-2024 05:55 PM,,BOQ Comparative Chart,1.0,2714351.0,GIRIDHARI LAL AGRAWAL,INR,0.0,25-Mar-2025,INR 0,90.0,Sanjeeb Toppo,26-Aug-2025 07:47 PM,o.pdf (193.00 KB),1,2717139,AKASH AGRAWAL,30-Dec-2024 02:30 PM,Rejected-Finance,L2,04-Mar-2025 03:19 PM,Sibaram Sahoo,Internal,"Chairperson, EO,ME,JE",Biranchi Dharua,10-Feb-2025 04:44 PM,techsummary_520347.pdf (483.74 KB),AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2713293,ANIL KUMAR HOTA,27-Dec-2024 06:33 PM,Rejected-Finance,L2,04-Mar-2025 03:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2716569,brajesh kumar biswal,30-Dec-2024 11:57 AM,Rejected-Finance,L2,04-Mar-2025 03:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2716011,DHANESWAR SAHU,29-Dec-2024 07:35 PM,Rejected-Finance,L2,04-Mar-2025 03:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2714351,GIRIDHARI LAL AGRAWAL,28-Dec-2024 10:59 AM,Accepted-AOC,1,26-Aug-2025 07:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2714903,MAHENDRA SAHOO,28-Dec-2024 04:01 PM,Rejected-Finance,L2,04-Mar-2025 03:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2711084,"M/S SHIBAJI CONSTRUCTION, PROP. KHAGESWAR BEHERA",30-Dec-2024 11:21 AM,Rejected-Finance,L2,04-Mar-2025 03:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2714855,PANKAJ KUMAR AGRAWALLA,28-Dec-2024 02:46 PM,Rejected-Finance,L2,04-Mar-2025 03:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2717122,ROHIT KUMAR SHARMA,30-Dec-2024 02:18 PM,Rejected-Finance,L2,04-Mar-2025 03:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2717354,SATYA PRAKASH AGRAWAL,30-Dec-2024 03:37 PM,Rejected-Finance,L2,04-Mar-2025 03:19 PM,,,,,,,AOC
