Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
21-Aug-2025,"INR 1,440,296",30.0,Bulu Sethy,21-Aug-2025 03:38 PM,29.pdf (1435.00 KB),1.0,2693446.0,SMT. ABHILIPSA RATH,INR,"1,440,296",Municipal Bodies||Rayagada Municipality,2024_ORULB_107719_29,RGDA-MUN-03/2024-25,Improvement of road with factory made CC interlocking paver block from Smt.Bidyabati house towards Chanti house (NakulBosoiGodown side road in w.no-08,1,2693919,ANAM NAIK,12-Dec-2024 04:28 PM,Rejected-Finance,Not qualified in lottery system,21-Aug-2025 03:34 PM,Finance,All bids are admitted,Bulu Sethy,10-Mar-2025 11:56 PM,finance_518711.pdf,BOQ Comparative Chart,"Chairperson, Rayagada Muncipality",Internal,,Bulu Sethy,21-Aug-2025 03:34 PM,finsummary_518711.pdf (521.78 KB),"Chairperson, Rayagada Muncipality",Internal,,Bulu Sethy,21-Aug-2025 03:26 PM,techsummary_518711.pdf (521.78 KB),AOC,"Executive officer, Rayagada Municipality","Executive officer, Rayagada Municipality",Improvement of road with factory made CC interlocking paver block from Smt.Bidyabati house towards Chanti house (NakulBosoiGodown side road in w.no-08,Improvement of road with factory made CC interlocking paver block from Smt.Bidyabati house towards Chanti house (NakulBosoiGodown side road in w.no-08,Please refer Tender documents. ,NA ,"16,94,266",Civil Works - Roads,NA ,Tender,90.0,30.0,Rayagada,765001.0,NA ,NA ,NA ,Rayagada Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,As per DTCN,1.0,ICICI BANK,Municipal Bodies||Rayagada Municipality,RGDA-MUN-03/2024-25,2024_ORULB_107719_29,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,942",Yes,fixed,,Nil,Nil,30-Nov-2024 11:30 AM,17-Dec-2024 11:30 AM,30-Nov-2024 11:30 AM,16-Dec-2024 05:30 PM,30-Nov-2024 11:30 AM ,15-Dec-2024 05:30 PM ,30-Nov-2024 11:30 AM,16-Dec-2024 05:30 PM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,2698464,ANJAN SABAT,16-Dec-2024 01:46 PM,Rejected-Finance,Not qualified in lottery system,21-Aug-2025 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2695564,JYOSTNA RANI SAHANI,13-Dec-2024 09:01 PM,Rejected-Finance,Not qualified in lottery system,21-Aug-2025 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2695666,KARNI SAPNA,14-Dec-2024 10:02 AM,Rejected-Finance,Not qualified in lottery system,21-Aug-2025 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2697577,krishna ch panda,16-Dec-2024 08:16 AM,Rejected-Finance,Not qualified in lottery system,21-Aug-2025 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2695447,Mohan Behera,13-Dec-2024 06:33 PM,Rejected-Finance,Not qualified in lottery system,21-Aug-2025 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2697180,NANDA KISHOR PRASAD CHOURASIA,15-Dec-2024 08:26 PM,Rejected-Finance,Not qualified in lottery system,21-Aug-2025 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2696355,PRATAP CHANDRA SWAIN,14-Dec-2024 09:19 PM,Rejected-Finance,Not qualified in lottery system,21-Aug-2025 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2697219,RAINA KADRAKA,16-Dec-2024 11:01 AM,Rejected-Finance,Not qualified in lottery system,21-Aug-2025 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2697642,RASMITA SAHUKAR,16-Dec-2024 10:15 AM,Rejected-Finance,Not qualified in lottery system,21-Aug-2025 03:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
