Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Total 11 bidders accepted,Saraseebala Behera,15-Feb-2025 01:37 PM,,BOQ Comparative Chart,1.0,2814395.0,Niranjan Barik,INR,"428,852",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_110261_7,SE/BDK-II/TCN-12/2024-25,"Construction of Compound Wall, Cow catcher ,Approach at SC Radhabalavpur Road for the year 2024-25",Executive Engineer,Internal,,Lambodar Naik,16-Aug-2025 03:55 PM,finsummary_528853.pdf (408.85 KB),Executive Engineer,Internal,,Lambodar Naik,16-Aug-2025 03:52 PM,techsummary_528853.pdf (462.28 KB),16-Aug-2025,"INR 428,852",30.0,Lambodar Naik,16-Aug-2025 04:00 PM,fin7.pdf (409.00 KB),1,2809893,GANGADHAR SAMAL,11-Feb-2025 01:26 PM,Rejected-AOC,rejected,16-Aug-2025 04:00 PM,AOC,"Construction of Compound Wall, Cow catcher ,Approach at SC Radhabalavpur Road for the year 2024-25","Construction of Compound Wall, Cow catcher ,Approach at SC Radhabalavpur Road for the year 2024-25",Please refer Tender documents. ,NA ,"5,04,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,06-Feb-2025 04:00 PM,14-Feb-2025 11:00 AM,06-Feb-2025 04:00 PM,13-Feb-2025 05:00 PM,06-Feb-2025 04:00 PM ,12-Feb-2025 03:00 PM ,06-Feb-2025 04:00 PM,13-Feb-2025 05:00 PM,"5,040",Yes,percentage,1.0%,Nil,Nil,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD, CONTRACTOR REGISTRATION CERTIFICATE, PAN, GSTIN, AFFIDAVIT, ETC",1.0,ICICI BANK,"O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-12/2024-25,2025_CERWI_110261_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2810984,Kalandi Charan Sahu,11-Feb-2025 07:27 PM,Rejected-AOC,rejected,16-Aug-2025 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2808349,Kamala Kanta Das,11-Feb-2025 01:28 PM,Rejected-AOC,rejected,16-Aug-2025 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2809350,Lipak Kumar Muduli,11-Feb-2025 10:59 AM,Rejected-AOC,rejected,16-Aug-2025 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2814395,Niranjan Barik,13-Feb-2025 01:13 PM,Accepted-AOC,selected through transparent lottery system,16-Aug-2025 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2804203,PITAMBER NAYAK,11-Feb-2025 05:40 PM,Rejected-AOC,rejected,16-Aug-2025 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2811809,Rabindra Kumar Chand,12-Feb-2025 02:21 AM,Rejected-AOC,rejected,16-Aug-2025 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2810858,Ramachandra Barik,11-Feb-2025 07:00 PM,Rejected-AOC,rejected,16-Aug-2025 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2810804,RANJITA DASH,11-Feb-2025 07:02 PM,Rejected-AOC,rejected,16-Aug-2025 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2813466,Ratikanta Mallick,12-Feb-2025 03:49 PM,Rejected-AOC,rejected,16-Aug-2025 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
