EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"24,95,000",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit",EIC-CIVIL,CE-ROADS-II-09/2024-25,2024_EICCL_105808_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Improvement such as widening and strengthening of Hirma Panchayat Samiti to Badmal Hanuman Mandir (SH-10) road via Hirma, Bintkapada,Mausimandir,Badmal, Gountiapada from 0/000 km to 10/536 km in the district of Jharsuguda under State Plan","Improvement such as widening and strengthening of Hirma Panchayat Samiti to Badmal Hanuman Mandir (SH-10) road via Hirma, Bintkapada,Mausimandir,Badmal, Gountiapada from 0/000 km to 10/536 km in the district of Jharsuguda under State Plan",Please refer Tender documents. ,NA ,"24,95,32,821",Civil Works - Roads,NA ,Tender,90.0,390.0,Jharsuguda,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,1.0,ICICI BANK,21-Oct-2024 10:30 AM,07-Nov-2024 11:30 AM,21-Oct-2024 10:30 AM,06-Nov-2024 05:30 PM,NA ,NA ,21-Oct-2024 10:30 AM,06-Nov-2024 05:30 PM,02-Jan-2025 11:45 AM,"Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar.",AOC,Technical,Opening,Lipsa Mallick,07-Nov-2024 01:29 PM,,CE Roads-I Odisha,Internal,,Pradipta Kumar Nayak,16-Aug-2025 05:07 PM,finsummary_510354.pdf (1943.30 KB),Finance,Finance opening,Pradipta Kumar Nayak,02-Jan-2025 01:30 PM,,BOQ Comparative Chart,EIC Civil cum Roads,Internal,,Pradipta Kumar Nayak,01-Jan-2025 01:43 PM,02-Jan-2025 11:45 AM,techsummary_510354.pdf (278.71 KB),16-Aug-2025,"INR 212,127,851",390.0,Pradipta Kumar Nayak,16-Aug-2025 05:11 PM,Hirma_Panchayat.pdf (1943.00 KB),11P1 of 2025-26,1.0,2622502.0,Shree Balaji Engicons Limited,INR,"212,127,851",EIC-CIVIL,2024_EICCL_105808_10,CE-ROADS-II-09/2024-25,"Improvement such as widening and strengthening of Hirma Panchayat Samiti to Badmal Hanuman Mandir (SH-10) road via Hirma, Bintkapada,Mausimandir,Badmal, Gountiapada from 0/000 km to 10/536 km in the district of Jharsuguda under State Plan",1,2621506,BMS PROJECTS,06-Nov-2024 02:19 PM,Rejected-Technical,Disqualified,01-Jan-2025 01:43 PM,AOC
,,,,,,,,,,,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2617525,M S INFRAENGINEERS PVT. LTD.,06-Nov-2024 02:35 PM,Rejected-AOC,L2 bidder,16-Aug-2025 05:11 PM,AOC
,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2623421,R K ASSOCIATES,06-Nov-2024 01:02 PM,Rejected-Finance,Other than L1 and L2 bidder,16-Aug-2025 05:07 PM,AOC
,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2622502,Shree Balaji Engicons Limited,06-Nov-2024 10:47 AM,Accepted-AOC,L1 bidder,16-Aug-2025 05:11 PM,AOC
