S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,Executive Officer,Dhenkanal Municipality,22-May-2025 11:00 AM,04-Jun-2025 09:00 AM,22-May-2025 11:00 AM,03-Jun-2025 05:00 PM,NA ,NA ,22-May-2025 11:00 AM,03-Jun-2025 05:00 PM,"16,950",Yes,fixed,,Nil,Nil,Constn. Drain back side of Bikhyata Bara and Gopinath Garden Lane in ward no. 11,As per Tender document,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,120.0,45.0,Dhenkanal Municipality,759001.0,NA ,NA ,NA ,Dhenkanal Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"6,000",0.0,Nil,Nil,No,1.0,CHANGE IN BOQ,Other,,Municipal Bodies||Dhenkanal Municipality,DKL MPLTY/01 /2025-26,2025_ORULB_113687_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,CHAIRPERSON,Internal,"EO,AEE,ME,JE",Rasmita Mishra,04-Aug-2025 12:56 PM,finsummary_540586.pdf (49.49 KB),Municipal Bodies||Dhenkanal Municipality,2025_ORULB_113687_6,DKL MPLTY/01 /2025-26,Constn. Drain back side of Bikhyata Bara and Gopinath Garden Lane in ward no. 11,1.0,2949793.0,SANJAYA KUMAR BEHERA,INR,"1,667,988",Finance,L1 Bidder will finalised after scrutiny of all documents,Rasmita Mishra,02-Aug-2025 04:51 PM,,BOQ Comparative Chart,1,2949823,M/s RUPSA CONSTRUCTIONS,03-Jun-2025 01:22 PM,Rejected-Finance,2ND LOWEST BIDDER,04-Aug-2025 12:56 PM,04-Aug-2025,"INR 1,667,988",45.0,Rasmita Mishra,04-Aug-2025 01:21 PM,AOC6.pdf (190.00 KB),CHAIRPERSON,Internal,"EO,JE,ME,AEE",Rasmita Mishra,02-Aug-2025 05:06 PM,techsummary_540586.pdf (49.49 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2949793,SANJAYA KUMAR BEHERA,03-Jun-2025 01:11 PM,Accepted-AOC,LOWEST BIDDER,04-Aug-2025 01:21 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2944026,SHREEKANTA PARIDA,30-May-2025 06:48 PM,Rejected-Finance,2ND LOWEST BIDDER,04-Aug-2025 12:56 PM,,,,,,,,,,,,,AOC
