Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Municipal Bodies||Balangir Municipality,2024_ORULB_102384_95,BLGRMPTY/14(01-133)/2023-24,"Constrution Anganwadi Kendra at Indiara Nagar and Gupteswar Nagar,W.No.18",1.0,2483459.0,SUJIT KUMAR KHUAS,INR,"720,431.09",1,2483661,RAJENDRA PUROHIT,21-Mar-2024 01:27 PM,Rejected-AOC,L2,02-Aug-2025 08:31 PM,02-Aug-2025,"INR 720,431.09",90.0,Rojalisa Rout,02-Aug-2025 08:30 PM,wo95.pdf (606.00 KB),"Sri Sujit Kumar Khuas selected as L1 for Constrution Anganwadi Kendra at Indiara Nagar and Gupteswar Nagar,W.No.18",Finance,2 Nos. of bidders have participated,Rojalisa Rout,21-Jun-2024 06:38 PM,,BOQ Comparative Chart,"Lika Sahu , Chairperson",Internal,"Chairperson, Executive Officer, Municipal Engineer, Junior Engineer",Rojalisa Rout,02-Aug-2025 08:26 PM,finsummary_499090.pdf (495.89 KB),"Lika Sahu , Chairperson",Internal,"Chairperson, Executive Officer, Municipal Engineer, Junior Engineer",Rojalisa Rout,02-Aug-2025 08:23 PM,techsummary_499090.pdf (495.89 KB),AOC,"4,000",0.0,Nil,Nil,No,1,ICICI BANK,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",Municipal Bodies||Balangir Municipality,BLGRMPTY/14(01-133)/2023-24,2024_ORULB_102384_95,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Constrution Anganwadi Kendra at Indiara Nagar and Gupteswar Nagar,W.No.18",Building work,Please refer Tender Documents  ,NA ,"8,00,000",Civil Works - Buildings,NA ,Tender,180.0,90.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,13-Mar-2024 09:00 AM,22-Mar-2024 11:00 AM,13-Mar-2024 09:00 AM,21-Mar-2024 05:00 PM,NA ,NA ,13-Mar-2024 09:00 AM,21-Mar-2024 05:00 PM,"8,000",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,2,2483459,SUJIT KUMAR KHUAS,21-Mar-2024 12:12 PM,Accepted-AOC,L1,02-Aug-2025 08:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",,,,,,,,,,,,,,,AOC
