EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"5,00,000",Yes,fixed,,General Manager Bhubaneswar Smart City Limited,Bhubaneswar,1,Fee/PreQual/Technical,.pdf,"Tender Cost, Bid Security , PAN, GSTIN, RC and Affidavits","11,800",BSCL,Bhubaneswar,No,19-May-2025 05:00 PM,05-Jun-2025 11:30 AM,19-May-2025 05:00 PM,02-Jun-2025 05:00 PM,NA ,NA ,19-May-2025 05:00 PM,02-Jun-2025 05:00 PM,06-Jun-2025 12:30 PM,General Manager BSCL,ICOMC Tower Bhoi Nagar Unit-9 Bhubaneswar- 751022,1.0,DD - Demand Draft,Procurement of Desktops- Laptops- Printer and Peripherals for Unified Call Centre 1929 of Bhubaneswar Smart City Limited,Procurement of Desktops- Laptops- Printer and Peripherals for Unified Call Centre 1929 of Bhubaneswar Smart City Limited,Pl refer RFP DTCN  ,NA ,"1,20,00,000",Miscellaneous Goods,Computer-Peripherials ,Tender,120.0,15.0,Bhubaneswar,751022.0,O.O.Bhubaneswar Smart City Limited BBSR ,ICOMC Tower Bhoi Nagar Unit-9 Bhubaneswar- 751022 ,26-May-2025 11:30 AM ,O.O.Bhubaneswar Smart City Limited BBSR,No ,No,Bhubaneswar Smart City Limited,E-Tender Bid Identification No.547/BSCL/2025-26,2025_BSCL_113567_1,Yes,Open Tender,Item Wise,Goods,2.0,No,No,Offline,No,No,No,1.0,1st Corrigendum to TCN 547 of 2025-26,Technical Bid,,AOC,Sri Purandar Nanda General Manager,Internal,Sri Madan Singh - CFO Sri Sanjeev Kumar Das-Manager Tech Sri Amitabh Mohanty-Manager-O and M,Purandar Nanda,06-Jun-2025 07:48 PM,finsummary_539929.pdf (250.20 KB),02-Aug-2025,"INR 11,485,962",15.0,Sanjeev Kumar Das,14-Aug-2025 02:10 PM,956.pdf (298.00 KB),Workorder Issued,Finance,GLOBX SYSTEM AND NETWORK PVT. LTD. has been considered as L1 Bidder.,Purandar Nanda,06-Jun-2025 07:20 PM,finance_539929.pdf,BOQ Comparative Chart,Technical,Two numbers of Bid received online . However four numbers of bids were received on offline mode. 01 - Perfect Computer 02 - Axis Technologies the above two numbers of bid rejected due to non-availability online bids as per RFP.,Sanjeev Kumar Das,05-Jun-2025 07:52 PM,technical_539929.pdf,1,2948561,GLOBX SYSTEM AND NETWORK PVT. LTD.,02-Jun-2025 01:46 PM,Accepted-AOC,Quoted Lowest Price,14-Aug-2025 02:10 PM,Bhubaneswar Smart City Limited,2025_BSCL_113567_1,E-Tender Bid Identification No.547/BSCL/2025-26,Procurement of Desktops- Laptops- Printer and Peripherals for Unified Call Centre 1929 of Bhubaneswar Smart City Limited,1.0,2948561.0,GLOBX SYSTEM AND NETWORK PVT. LTD.,INR,"11,485,962",Sri Purandar Nanda General Manager,Internal,Sri Madan Singh-CFO Sri Sanjeev Das-Manager Tech Sri Amitabh Mohanty-Manager,Sanjeev Kumar Das,05-Jun-2025 07:56 PM,06-Jun-2025 12:30 PM,techsummary_539929.pdf (351.59 KB),AOC
,,,,,,2,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2940106,POWERTECH ENTERPRISES,02-Jun-2025 02:24 PM,Rejected-Finance,Disqualified due to high price bid,06-Jun-2025 07:48 PM,,,,,,,,,,,,,,,,,AOC
