Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTN, PAN,RC,NRC, Affidavit and other documents as per DTCN",Divisional Officer,"RURAL WORKS DIVISION, JAJPUR","40,000",Yes,fixed,,Nil,Nil,10-Jul-2025 04:00 PM,17-Jul-2025 11:30 AM,10-Jul-2025 04:00 PM,16-Jul-2025 05:00 PM,10-Jul-2025 04:00 PM ,15-Jul-2025 01:00 PM ,10-Jul-2025 04:00 PM,16-Jul-2025 05:00 PM,"Construction of New Multi purpose Center Building (MPC) at Sukinda, Jajpur-I under PM-Janman Scheme in the District of Jajpur for the year 2025-26","Construction of New Multi purpose Center Building (MPC) at Sukinda, Jajpur-I under PM-Janman Scheme in the District of Jajpur for the year 2025-26",NA ,NA ,"39,42,290",Civil Works - Buildings,NA ,Tender,90.0,90.0,Jajpur,755007.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, JAJPUR",No ,No,CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION I JAJPUR,Tender Online 03 JJPT OF 2025-26,2025_CERWI_115400_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION I JAJPUR,2025_CERWI_115400_1,Tender Online 03 JJPT OF 2025-26,"Construction of New Multi purpose Center Building (MPC) at Sukinda, Jajpur-I under PM-Janman Scheme in the District of Jajpur for the year 2025-26",EE,Internal,"EE,DAO,ESTIMATOR",Swarna Prava Jena,14-Aug-2025 02:09 PM,finsummary_545657.pdf (512.15 KB),Finance,10 Nos. Bidders,Swarna Prava Jena,17-Jul-2025 12:35 PM,,BOQ Comparative Chart,1.0,3001172.0,JHARANA SAHOO,INR,"3,351,340.651",1,3000284,ARUNA JENA,16-Jul-2025 09:55 AM,Rejected-Technical,Disqualifay,14-Aug-2025 02:03 PM,14-Aug-2025,"INR 3,351,340.651",90.0,Swarna Prava Jena,14-Aug-2025 02:14 PM,mpc.pdf (512.00 KB),Award of Contract,EE,Internal,"EE,DAO,ESTIMATOR",Swarna Prava Jena,14-Aug-2025 02:03 PM,techsummary_545657.pdf (512.15 KB),AOC
,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2,3001172,JHARANA SAHOO,16-Jul-2025 04:10 PM,Accepted-AOC,Accepted,14-Aug-2025 02:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2998946,MANAS RANJAN JENA,14-Jul-2025 01:58 PM,Rejected-AOC,Rejected,14-Aug-2025 02:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3001243,NILADRI BIHARI SAHOO,16-Jul-2025 04:46 PM,Rejected-AOC,Rejected,14-Aug-2025 02:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3000335,NIRAKAR PUHAN,15-Jul-2025 08:19 PM,Rejected-AOC,Rejected,14-Aug-2025 02:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2999518,RAHUL DEV NAYAK,14-Jul-2025 08:08 PM,Rejected-AOC,Rejected,14-Aug-2025 02:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3001104,RASHMITA PRADHAN,16-Jul-2025 03:39 PM,Rejected-AOC,Rejected,14-Aug-2025 02:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3000266,SUBHENDU KUMAR PATI,15-Jul-2025 07:12 PM,Rejected-Technical,Disqualifay,14-Aug-2025 02:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3000930,SUDARSINEE NAYAK,16-Jul-2025 01:37 PM,Rejected-AOC,Rejected,14-Aug-2025 02:15 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3000810,SWASTIK SAMAL,16-Jul-2025 12:37 PM,Rejected-AOC,Rejected,14-Aug-2025 02:15 PM,,,,,,,,,,,,,,AOC
