Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Improvement to head work of Khajuribandha MIP at S.Routapur in Gosani Block of Gajapati District under Imp. To Tank and MIPs Scheme 2024-25,Improvement to head work of Khajuribandha MIP at S.Routapur in Gosani Block of Gajapati District under Imp. To Tank and MIPs Scheme 2024-25,Please refer Tender documents ,NA ,"16,27,324",Civil Works - Others,NA ,Tender,60.0,120.0,Gosani,761200.0,NA ,NA ,NA ,"O/o Superintending Engineer,M.I.Division,Gajapati",No ,No,1.0,Due Date Extended for tenders closing on 06-05-2025.,Admin Corrigendum Date Extend,,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",MIDGJP-01/2025-26,2025_CEMIB_112864_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,28-Apr-2025 01:00 PM,12-May-2025 11:00 AM,28-Apr-2025 01:00 PM,10-May-2025 05:30 PM,28-Apr-2025 01:00 PM ,06-May-2025 05:30 PM ,28-Apr-2025 01:00 PM,10-May-2025 05:30 PM,"16,300",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD (Online) RC, PAN, active GSTN, affidavit other documents and forms as per DTCN",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,SUPERINTENDING ENGINEER,"O/o Superintending Engineer,M.I.Division,Gajapati",AOC,07-Aug-2025,"INR 1,627,324.35",120.0,Simachala Satapathy,07-Aug-2025 05:50 PM,AOC3.pdf (1319.00 KB),1,2905184,BEJJIPARAPU SATISH,04-May-2025 05:50 PM,Rejected-AOC,Un successfully,07-Aug-2025 05:50 PM,simachala satapathy,Internal,,Simachala Satapathy,07-Aug-2025 03:46 PM,techsummary_537815.pdf (20.81 KB),"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",2025_CEMIB_112864_3,MIDGJP-01/2025-26,Improvement to head work of Khajuribandha MIP at S.Routapur in Gosani Block of Gajapati District under Imp. To Tank and MIPs Scheme 2024-25,simachala satapathy,Internal,,Simachala Satapathy,07-Aug-2025 04:34 PM,finsummary_537815.pdf (41.69 KB),Finance,18 nos are bidder participated in this tender,Simachala Satapathy,07-Aug-2025 08:50 AM,,BOQ Comparative Chart,1.0,2906929.0,SEPANI JOGA RAO,INR,"1,383,388.43",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,AOC,,,,,,,2,2902646,Bijaya Kumar Pradhan,01-May-2025 08:16 PM,Rejected-AOC,Un successfully,07-Aug-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2904943,BINNALA VIJAYA BABU,04-May-2025 12:07 PM,Rejected-AOC,Un successfully,07-Aug-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2906771,GUTTAPALLI HIMAGIRI,05-May-2025 07:56 PM,Rejected-AOC,Un successfully,07-Aug-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2905414,HUTTASAN APPATO,05-May-2025 10:00 PM,Rejected-AOC,Un successfully,07-Aug-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2907124,JANKA SUDHAKARA RAO,06-May-2025 05:27 PM,Rejected-AOC,Un successfully,07-Aug-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2907223,NARASINGHO APPATTO,06-May-2025 05:06 PM,Rejected-AOC,Un successfully,07-Aug-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2905465,NILANDI SWAIN,05-May-2025 10:33 PM,Rejected-AOC,Un successfully,07-Aug-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2906558,PASIRLA JAYA RAM,05-May-2025 05:09 PM,Rejected-AOC,Un successfully,07-Aug-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2905563,PRASANTA KUMAR JENA,05-May-2025 08:46 PM,Rejected-AOC,Un successfully,07-Aug-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
