Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Document of all the bidders downloaded,Sisira Kumar Das,20-Jun-2025 04:22 PM,,BOQ Comparative Chart,1.0,2954124.0,SWARNALATA BEURIA,INR,"1,603,984.73",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jaraka Irr Div Jaraka,2025_JIRR_113929_21,JKID-01 OF 2025-26,21-Improvement to Mayapada Mirzapur TRE near Matiapada Smasan,"Superintending Engineer, Jaraka Irrigation Division, Jaraka",Internal,"S.E., Jaraka Irrigation Division, Jaraka, DAO, Jaraka Irrigation Division, Jaraka AEE(Estimator), Jaraka Irrigation Division, Jaraka",Suman Satabdi Behera,03-Jul-2025 12:49 PM,finsummary_541422.pdf (3840.49 KB),"Superintending Engineer, Jaraka Irrigation Division, Jaraka",Internal,"S.E., Jaraka Irrigation Division, Jaraka, DAO, Jaraka Irrigation Division, Jaraka AEE(Estimator), Jaraka Irrigation Division, Jaraka",Sisira Kumar Das,26-Jun-2025 12:42 PM,techsummary_541422.pdf (3841.76 KB),1,2957658,ASHOK DALAI,09-Jun-2025 01:40 PM,Rejected-Finance,Other than L1,03-Jul-2025 12:49 PM,16-Aug-2025,"INR 1,603,984.73",90.0,Sisira Kumar Das,22-Aug-2025 05:34 PM,21.pdf (5553.00 KB),The work has been awarded to Swarnalata Beuria,AOC,21-Improvement to Mayapada Mirzapur TRE near Matiapada Smasan,Improvement to Mayapada Mirzapur TRE near Matiapada Smasan( Earth work and Concrete work ),Please refer Tender documents. ,NA ,"18,86,819",Civil Works - Others,NA ,Tender,90.0,90.0,Jaraka,755050.0,NA ,NA ,NA ,"Superintending Engineer,Jaraka Irrigation Division",No ,No,1.0,ICICI BANK,30-May-2025 11:00 AM,11-Jun-2025 11:00 AM,30-May-2025 11:00 AM,10-Jun-2025 05:00 PM,30-May-2025 11:00 AM ,05-Jun-2025 05:00 PM ,30-May-2025 11:00 AM,10-Jun-2025 05:00 PM,"SE, Jaraka Irrigation Division, Jaraka","SE, Jaraka Irrigation Division, Jaraka",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jaraka Irr Div Jaraka,JKID-01 OF 2025-26,2025_JIRR_113929_21,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN RC, No Relation Certificate, Affidavit regarding authenticity","18,900",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2955073,BASANTA KUMAR SAHOO,08-Jun-2025 11:11 AM,Rejected-Finance,Other than L1,03-Jul-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2953472,MAHESHWAR BEHERA,08-Jun-2025 10:35 PM,Rejected-Finance,Other than L1,03-Jul-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2955001,MANORANJAN MOHANTY,07-Jun-2025 11:40 AM,Rejected-Finance,Other than L1,03-Jul-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2958982,MATHURI BEHERA,10-Jun-2025 11:07 AM,Rejected-Finance,Other than L1,03-Jul-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2952547,NABAGHAN PARIDA,10-Jun-2025 12:00 PM,Rejected-Finance,Other than L1,03-Jul-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2954321,PARTHASARATHI MOHANTY,06-Jun-2025 01:15 PM,Rejected-Finance,Other than L1,03-Jul-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2957245,PRASANTA KUMAR YADAV,09-Jun-2025 11:33 AM,Rejected-Finance,Other than L1,03-Jul-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2955444,SUSANTA KUMAR MALLICK,09-Jun-2025 07:22 PM,Rejected-Finance,Other than L1,03-Jul-2025 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2954124,SWARNALATA BEURIA,07-Jun-2025 07:36 PM,Accepted-AOC,The work has been awarded to Swarnalata Beuria,22-Aug-2025 05:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
