S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2880543.0,SOUMYA RANJAN BEHERA,INR,"4,864,114",Superintending Engineer,Internal,EE SR DAO,Satyaban Patel,25-Aug-2025 04:12 PM,finsummary_534366.pdf (602.89 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-JHARSUGUDA,2025_EICCL_111931_2,Bid Identification No-SE-RandB-JSG-26- OF 2024-25,"Construction of Urban Primary Health Center First floor at Kukurikani, Brajrajnagar for the year 2024-25",Technical,accepted,Satyaban Patel,14-May-2025 08:11 AM,,Finance,cs,Satyaban Patel,15-May-2025 09:00 AM,,BOQ Comparative Chart,Superintending Engineer,Internal,EE SR DAO,Satyaban Patel,14-May-2025 08:21 AM,14-May-2025 09:00 AM,techsummary_534366.pdf (3196.06 KB),25-Aug-2025,"INR 4,864,114",180.0,Satyaban Patel,25-Aug-2025 04:18 PM,KUKRIKANI.pdf (603.00 KB),AOC,1,2873540,ARUN KUMAR DHAL,09-Apr-2025 03:17 PM,Rejected-AOC,Lottery not in favour,25-Aug-2025 04:18 PM,AOC,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,SE Jharsuguda R and B Division,O/O the SE Jharsuguda R and B Division,1.0,Fee/PreQual/Technical,.pdf,"RC BOOK, TENDER COST, AFFIDAVIT, EMD, PAN CARD, GSTN, LEASE AGREEMENT, MOU OF ELECTRICAL CONTRACTOR","57,218",Yes,percentage,1.0%,Nil,Nil,"Construction of Urban Primary Health Center First floor at Kukurikani, Brajrajnagar for the year 2024-25","Construction of Urban Primary Health Center First floor at Kukurikani, Brajrajnagar for the year 2024-25",Please refer Tender documents. ,NA ,"57,21,814",Civil Works - Buildings,NA ,Tender,90.0,180.0,Jharsuguda,768201.0,NA ,NA ,NA ,O/O the SE Jharsuguda R and B Division,No ,No,26-Mar-2025 03:00 PM,11-Apr-2025 11:00 AM,26-Mar-2025 03:00 PM,10-Apr-2025 05:00 PM,26-Mar-2025 03:00 PM ,10-Apr-2025 05:00 PM ,26-Mar-2025 03:00 PM,10-Apr-2025 05:00 PM,14-May-2025 09:00 AM,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EERNB-DIVN-JHARSUGUDA,Bid Identification No-SE-RandB-JSG-26- OF 2024-25,2025_EICCL_111931_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2880541,ASHOK RAM,10-Apr-2025 02:15 PM,Rejected-AOC,Lottery not in favour,25-Aug-2025 04:18 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2879223,JITENDRA NAIK,08-Apr-2025 06:45 PM,Rejected-AOC,Lottery not in favour,25-Aug-2025 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2880381,RAJESH KUMAR AGRAWAL,10-Apr-2025 01:27 PM,Rejected-AOC,Lottery not in favour,25-Aug-2025 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2880543,SOUMYA RANJAN BEHERA,10-Apr-2025 11:49 AM,Accepted-AOC,Lottery in favour,25-Aug-2025 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2879654,SWARNA SHARMA,09-Apr-2025 10:45 PM,Rejected-AOC,Lottery not in favour,25-Aug-2025 04:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
