Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
16-Aug-2025,"INR 4,156,602",180.0,Nalin Kumar Patnaik,18-Aug-2025 12:39 PM,AOC_14.pdf (499.00 KB),Award to the Lottery Winner.,1.0,2963393.0,RAKESH KUMAR PATRO,INR,"4,156,602","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Berhampur Irrigation Divn Berhampur",2025_CEBMB_114100_14,e-BEID-01/2025-26,Protection to Right bank of Ghaipadar Nalla RD 00 to 60.00 Km.,1,2964345,B.Kamal Kiran Rao,12-Jun-2025 04:49 PM,Rejected-AOC,Lottery Looser,18-Aug-2025 12:39 PM,Finance,Thirteen bids downloaded Successfully.,Sucharita Panda,13-Jun-2025 01:57 PM,,BOQ Comparative Chart,Nalin Pattanaik,Internal,,CHANDINI KUMARI BASANTY,27-Jun-2025 11:49 AM,finsummary_541841.pdf (60.83 KB),Nalin Pattanaik,Internal,,CHANDINI KUMARI BASANTY,26-Jun-2025 11:36 AM,techsummary_541841.pdf (60.83 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD, Registration Certificate, GSTIN, PAN, Other documents as per DTCN",03-Jun-2025 10:00 AM,13-Jun-2025 11:00 AM,03-Jun-2025 10:00 AM,12-Jun-2025 05:30 PM,03-Jun-2025 10:00 AM ,10-Jun-2025 05:30 PM ,03-Jun-2025 10:00 AM,12-Jun-2025 05:30 PM,"49,000",Yes,fixed,,Nil,Nil,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Berhampur Irrigation Divn Berhampur",e-BEID-01/2025-26,2025_CEBMB_114100_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"S.E., Berhampur Irr. Divn., Berhampur","S.E., Berhampur Irr. Divn., Courtpeta, Berhampur",Protection to Right bank of Ghaipadar Nalla RD 00 to 60.00 Km.,Protection to Bank,Please refer Tender documents. ,NA ,"48,90,000",Civil Works - Canal,NA ,Tender,90.0,180.0,Berhampur,760004.0,NA ,NA ,NA ,"O/o S.E., Berhampur Irr. Divn., Berhampur",No ,No,AOC
,,,,,,,,,,,,,,,,2,2957573,Chiranjibi Muni,09-Jun-2025 05:08 PM,Rejected-AOC,Lottery Looser,18-Aug-2025 12:39 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,2962419,DEBASIS DEVATA,11-Jun-2025 08:23 PM,Rejected-AOC,Lottery Looser,18-Aug-2025 12:39 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2961480,DIPTANANDA ROUTRAY,11-Jun-2025 05:16 PM,Rejected-AOC,Lottery Looser,18-Aug-2025 12:39 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2960600,MADAN GOUDA,12-Jun-2025 12:28 PM,Rejected-AOC,Lottery Looser,18-Aug-2025 12:39 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2963056,PRADYUMNA KUMAR MISHRA,12-Jun-2025 10:20 AM,Rejected-AOC,Lottery Looser,18-Aug-2025 12:39 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2962362,Pritam Nahak,11-Jun-2025 07:55 PM,Rejected-AOC,Lottery Looser,18-Aug-2025 12:39 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2961940,RAJESH KUMAR BARAL,11-Jun-2025 05:25 PM,Rejected-AOC,Lottery Looser,18-Aug-2025 12:39 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2964179,RAJ KUMAR NAYAK,12-Jun-2025 03:14 PM,Rejected-AOC,Lottery Looser,18-Aug-2025 12:39 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2963393,RAKESH KUMAR PATRO,12-Jun-2025 12:45 PM,Accepted-AOC,Lottery Winner,18-Aug-2025 12:39 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
