Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
16-Feb-2025 09:00 AM,25-Feb-2025 11:00 AM,16-Feb-2025 09:00 AM,24-Feb-2025 05:00 PM,16-Feb-2025 09:00 AM ,21-Feb-2025 05:00 PM ,16-Feb-2025 09:00 AM,24-Feb-2025 05:00 PM,"4,000",Nil,Nil,No,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,e-Procurement Notice No.KID-04 of 2024-25,2025_KIRRD_110670_63,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"O/o the SE, Kendrapara Irr. Division, Kendrapara",KID-153 of 2024-25 Repair to Kendrapara Irrigation Section office.,Repair of office building,Please refer Tender documents. ,NA ,"9,81,141",Civil Works - Buildings,NA ,Tender,90.0,120.0,Kendrapara,754211.0,NA ,NA ,NA ,"O/o the SE, Kendrapara Irr. Division, Kendrapara",No ,No,"9,900",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",AOC,"Superintending Engineer, Kendrapara Irrigation Division",Internal,"Estimator and DAO, Kendrapara Irrigation Division",Gorasasi Sahoo,13-May-2025 10:25 PM,finsummary_530541.pdf (418.40 KB),"Superintending Engineer, Kendrapara Irrigation Division",Internal,"Estimator and DAO, Kendrapara Irrigation Division",Gorasasi Sahoo,13-May-2025 10:20 PM,techsummary_530541.pdf (418.40 KB),31-Aug-2025,"INR 984,200",120.0,Gorasasi Sahoo,31-Aug-2025 04:54 PM,153.pdf (455.00 KB),Contract Awarded,1,2828855,BISWA PRAKASH BEHERA,21-Feb-2025 12:00 PM,Rejected-Finance,Did not win the lottery,13-May-2025 10:25 PM,1.0,2835008.0,SHIBANI BEHERA,INR,"984,200",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,2025_KIRRD_110670_63,e-Procurement Notice No.KID-04 of 2024-25,KID-153 of 2024-25 Repair to Kendrapara Irrigation Section office.,Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Gorasasi Sahoo,28-Feb-2025 04:46 PM,finance_530541.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other document as per SBD/DTCN",AOC,,,,,,,,,,,,,,,,,,,,2,2834669,GRAND EXPRESS LOGISTICS,24-Feb-2025 12:11 PM,Rejected-Finance,Did not win the lottery,13-May-2025 10:25 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,3,2830066,MIR IFTEKHAR AHAMAD,21-Feb-2025 11:27 PM,Rejected-Finance,Did not win the lottery,13-May-2025 10:25 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2833942,MURALIDHAR SAHOO,24-Feb-2025 02:24 AM,Rejected-Finance,Did not win the lottery,13-May-2025 10:25 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2830498,NIRANJAN SAHOO,22-Feb-2025 12:35 PM,Rejected-Finance,Did not win the lottery,13-May-2025 10:25 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2830763,ROYAL CONSTRUCTION SERVICES,22-Feb-2025 03:49 PM,Rejected-Finance,Did not win the lottery,13-May-2025 10:25 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2834303,SAMIR RANJAN BISWAL,24-Feb-2025 10:46 AM,Rejected-Finance,Did not win the lottery,13-May-2025 10:25 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2833567,SEKH MAMAREJA ALAM,24-Feb-2025 04:16 PM,Rejected-Finance,Did not win the lottery,13-May-2025 10:25 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2835008,SHIBANI BEHERA,24-Feb-2025 03:10 PM,Accepted-AOC,Won the lottery,31-Aug-2025 04:54 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2830450,SIRAJ KHAN,22-Feb-2025 12:33 PM,Rejected-Finance,Did not win the lottery,13-May-2025 10:25 PM,,,,,,,,,,,,,,,,AOC
