Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Ground Water Survey and Investigation,08/GWDBLGR/CHHATA/2025-26,2025_GWSI_113829_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Document,Construction of 02(Two) nos. of RRHS Structure on different Govt. Building under Padampur ULB of Bargarh district under CHHATA scheme,Construction of 02(Two) nos. of RRHS Structure on different Govt. Building under Padampur ULB of Bargarh district under CHHATA scheme,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,60.0,Padampur Block,768036.0,NA ,NA ,NA ,"Deputy Director Geology, GWD Division, Bolangir",No ,No,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Deputy Director Geology,"OFFICE OF THE DEPUTY DIRECTOR, GEOLOGY, GROUND WATER DEVELOPMENT DIVISION, BOLANGIR, Laltikra, P.O Rajendra College, Dist- Bolangir, PIN -767002",24-May-2025 01:30 PM,06-Jun-2025 11:30 AM,24-May-2025 01:30 PM,05-Jun-2025 05:00 PM,NA ,NA ,24-May-2025 01:30 PM,05-Jun-2025 05:00 PM,"7,203",Yes,fixed,,Nil,Nil,AOC,Abhijeet Kumar Behera,Internal,,Abinash Nayak,09-Jun-2025 12:59 PM,techsummary_541031.pdf (1501.78 KB),1.0,2946411.0,SHIBA PRASAD BEHERA,INR,"612,293",Ground Water Survey and Investigation,2025_GWSI_113829_1,08/GWDBLGR/CHHATA/2025-26,Construction of 02(Two) nos. of RRHS Structure on different Govt. Building under Padampur ULB of Bargarh district under CHHATA scheme,1,2953073,KAUSHIKA PANIGRAHI,05-Jun-2025 04:53 PM,Rejected-AOC,Not Selected in Transparent Lottery,05-Aug-2025 02:24 PM,22-Jul-2025,"INR 612,293",60.0,Abinash Nayak,05-Aug-2025 02:24 PM,08.pdf (505.00 KB),Abhijeet Kumar Behera,Internal,,Abinash Nayak,09-Jun-2025 01:03 PM,finsummary_541031.pdf (1501.78 KB),Finance,Bid Opening Summary,Abinash Nayak,07-Jun-2025 12:42 PM,finance_541031.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2948719,Kunjabana Sahu,03-Jun-2025 08:19 PM,Rejected-AOC,Not Selected in Transparent Lottery,05-Aug-2025 02:24 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2950336,MADHUSMITA PAIKARAY,03-Jun-2025 07:13 PM,Rejected-AOC,Not Selected in Transparent Lottery,05-Aug-2025 02:24 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2953008,M/s Alok Kumar Mishra,05-Jun-2025 04:43 PM,Rejected-AOC,Not Selected in Transparent Lottery,05-Aug-2025 02:24 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2949874,Narayan Dash,03-Jun-2025 01:50 PM,Rejected-AOC,Not Selected in Transparent Lottery,05-Aug-2025 02:24 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,2946211,NIKESH KUMBHAR,01-Jun-2025 05:59 PM,Rejected-AOC,Not Selected in Transparent Lottery,05-Aug-2025 02:24 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,2950092,PRATAP KUMAR PRADHAN,03-Jun-2025 04:42 PM,Rejected-AOC,Not Selected in Transparent Lottery,05-Aug-2025 02:24 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,2946242,RAGHUMMANI KUMBHAR,01-Jun-2025 05:55 PM,Rejected-AOC,Not Selected in Transparent Lottery,05-Aug-2025 02:24 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,2952663,Reshmarani Sahu,05-Jun-2025 02:21 PM,Rejected-AOC,Not Selected in Transparent Lottery,05-Aug-2025 02:24 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,2951354,S.D TRADE ENTERPRISES,05-Jun-2025 12:27 PM,Rejected-AOC,Not Selected in Transparent Lottery,05-Aug-2025 02:24 PM,,,,,,,,,,,,,,,,,,,AOC
