S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2595954.0,RAJKUMAR PRATIHARI,INR,"6,249,023",SUMIT SAURAV SAHU,Internal,SAMIRAN NANDDY AMARNATH SUBUDHI,S. AMARNATH SUBUDHI,31-Aug-2025 04:47 PM,finsummary_510074.pdf (1273.64 KB),Technical,SEVEN NOS BIDS OPENED FOR TECHNICAL EVALUATION,S. AMARNATH SUBUDHI,30-Oct-2024 01:34 PM,,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,2024_EICCL_105767_6,IFB SE 27 OF 2024-25,"Construction of Need Based infrastructure of Paddy Procurement Centre at Bhanjkia under Raruan LAMPS, Raruan Block in the District of Mayurbhanj, for the KMS 2024-25",Finance,FOUR NOS FINANCIAL BID OPENED FOR EVALUATION,S. AMARNATH SUBUDHI,21-Nov-2024 12:53 PM,,BOQ Comparative Chart,HEMANT NAIK,Internal,SAMIRAN NANDY AMARNATH SUBUDHI,S. AMARNATH SUBUDHI,14-Nov-2024 03:42 PM,18-Nov-2024 11:00 AM,techsummary_510074.pdf (6480.02 KB),1,2598306,BARENDRA KRISHNA MATAGAJSINGH,29-Oct-2024 03:09 PM,Rejected-AOC,L1,31-Aug-2025 04:51 PM,31-Aug-2025,"INR 6,249,023",120.0,S. AMARNATH SUBUDHI,31-Aug-2025 04:51 PM,WO.pdf (796.00 KB),WORK ORDER ISSUED TO SRI RAJKUMAR PRATIHARI,AOC,"73,600",Yes,fixed,,Nil,Nil,S.E RAIRANGPUR R AND B DIVISION,O/O THE S.E RAIRANGPUR R AND B DIVISION,1.0,Fee/PreQual/Technical,.pdf,ONLINE TRANSFER TOWARDS COST OF BID DOCUMENTS AND EMD,"Construction of Need Based infrastructure of Paddy Procurement Centre at Bhanjkia under Raruan LAMPS, Raruan Block in the District of Mayurbhanj, for the KMS 2024-25",BUILDING WORK,Please refer Tender documents. ,NA ,"73,50,900",Civil Works - Buildings,NA ,Tender,90.0,120.0,RAIRANGPUR,757043.0,NA ,NA ,NA ,O/O THE S.E RAIRANGPUR R AND B DIVISION,No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,21-Oct-2024 10:00 AM,30-Oct-2024 11:00 AM,21-Oct-2024 10:00 AM,29-Oct-2024 04:00 PM,21-Oct-2024 10:00 AM ,29-Oct-2024 04:00 PM ,21-Oct-2024 10:00 AM,29-Oct-2024 04:00 PM,18-Nov-2024 11:00 AM,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,IFB SE 27 OF 2024-25,2024_EICCL_105767_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2598632,BHAGYASHREE MOHANTA,29-Oct-2024 03:04 PM,Rejected-AOC,L1,31-Aug-2025 04:51 PM,,,,,,,,AOC,,,,,,,,,,,.pdf,"COPY OF LICENCE, GSTIN AND PAN CARD",,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2598523,DAITARI MOHANTA,29-Oct-2024 02:14 PM,Rejected-AOC,L2,31-Aug-2025 04:51 PM,,,,,,,,AOC,,,,,,,,,,,.pdf,MACHINERIES AND OTHER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2595954,RAJKUMAR PRATIHARI,28-Oct-2024 12:22 PM,Accepted-AOC,L1 LOTTERY WINNER,31-Aug-2025 04:51 PM,,,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2598675,RAMESH CHANDRA SAHOO,29-Oct-2024 03:00 PM,Rejected-Technical,DISQUALIFIED,14-Nov-2024 03:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2598262,SANJAY KUMAR SETHI,29-Oct-2024 01:08 PM,Rejected-Technical,DISQUALIFIED,14-Nov-2024 03:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2592312,SARAT NAIK,28-Oct-2024 11:23 AM,Rejected-Technical,DISQUALIFIED,14-Nov-2024 03:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
