S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1,ICICI BANK,"8,645",Yes,fixed,,Nil,Nil,"4,720",0.0,Nil,Nil,No,Renovation of Road and Drain at Bank Gali in ward no.15,CIVIL,Please refer Tender documents. ,NA ,"8,64,473",Civil Works - Others,NA ,Tender,120.0,45.0,PURI MUNICIPALITY,752001.0,NA ,NA ,NA ,OFFICE CHAMBER OF THE EXECUTIVE OFFICER,No ,No,"EXECUTIVE OFFICER, PURI MUNICIPALITY",VIP ROAD,04-Mar-2025 03:00 PM,25-Mar-2025 11:00 AM,04-Mar-2025 03:00 PM,24-Mar-2025 05:00 PM,NA ,NA ,04-Mar-2025 03:00 PM,24-Mar-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"REGISTRATION CERTIFICATE, GST, PAN, EPF OR UNDERTAKING FOR EPF AND AFFIDAVIT,ANY OTHER, AS PER DTCN",Municipal Bodies||Puri Municipality,P.M. 04/24-25,2025_ORULB_111180_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,14-Aug-2025 05:47 PM,techsummary_531752.pdf (7740.74 KB),ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,14-Aug-2025 05:50 PM,finsummary_531752.pdf (7740.74 KB),Finance,"02 nos of Bidders participated for the project and submitted Documents, Hence accepted for evaluation.",Jayanta Kumar Maitra,26-Mar-2025 06:26 PM,finance_531752.pdf,BOQ Comparative Chart,Municipal Bodies||Puri Municipality,2025_ORULB_111180_23,P.M. 04/24-25,Renovation of Road and Drain at Bank Gali in ward no.15,1.0,2861890.0,LAXMIDHARA BEHERA,INR,"734,888.23",1,2861890,LAXMIDHARA BEHERA,21-Mar-2025 01:16 AM,Accepted-AOC,WON BY LOTTERY PROCESS,14-Aug-2025 05:52 PM,14-Aug-2025,"INR 734,888.23",45.0,Jayanta Kumar Maitra,14-Aug-2025 05:52 PM,PM04.pdf (7741.00 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2863567,LOKNATH PANDA,24-Mar-2025 09:47 AM,Rejected-Finance,DECIDED THROUGH LOTTERY,14-Aug-2025 05:50 PM,,,,,,,AOC
