S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2922718.0,SILADITYA BEHERA,INR,"19,010,859",IDCO||IDCO||IDCO,2025_IDCO_113097_1,Civil/Est/03/2025-26,"Construction of 10ft height boundary wall around the premises of redeveloped kalinga studio, Bhubaneswar.",CGM CIVIL,Internal,SE CIVIL DH BCD II ACCOUNT OFFICER FINANCE,Kalpana Parida,05-Jun-2025 03:09 PM,09-Jun-2025 03:30 PM,techsummary_538352.pdf (600.36 KB),06-Aug-2025,"INR 19,010,859",120.0,Kalpana Parida,06-Aug-2025 06:08 PM,aoc.pdf (266.00 KB),After drawal of lottery held on dt.24.06.25 M/s Siladitya Behera has position 1st Winner.,CGM CIVIL,Internal,DH BCD II ACCOUNT OFFICER SE CIVIL,Kalpana Parida,06-Aug-2025 05:46 PM,finsummary_538352.pdf (1696.96 KB),Finance,Financial bid of 8 bidders have been opened,Chalcedony Ichahgutu,09-Jun-2025 06:29 PM,,BOQ Comparative Chart,1,2919217,Lalit Somani,17-May-2025 12:37 PM,Rejected-AOC,Not winner after drawal of lottery,06-Aug-2025 06:08 PM,Technical,Technical bid of 11 nos. participant is opened,Kalpana Parida,17-May-2025 05:36 PM,,AOC,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender fee, EMD, Valid License, PAN,GST,EPF Experience Certificate, list of machineries",IDCO||IDCO||IDCO,Civil/Est/03/2025-26,2025_IDCO_113097_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of 10ft height boundary wall around the premises of redeveloped kalinga studio, Bhubaneswar.","Construction of 10ft height boundary wall around the premises of redeveloped kalinga studio, Bhubaneswar.",As per DTCN ,NA ,,Civil Works - Others,Boundry Wall ,Rate Contract,90.0,120.0,"Kalinga Studio, Bhubaneswar",751003.0,NA ,NA ,NA ,"IDCO Towers, Janpath, Bhubaneswar",No ,No,CGM CIVIL,"OIIDC IDCO Towers, Janpath, Bhubaneswar",03-May-2025 06:55 PM,17-May-2025 04:00 PM,03-May-2025 06:55 PM,17-May-2025 03:00 PM,03-May-2025 06:55 PM ,15-May-2025 05:00 PM ,03-May-2025 06:55 PM,17-May-2025 03:00 PM,09-Jun-2025 03:30 PM,1.0,ICICI BANK,"2,24,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2911415,MITALIKA SWAIN,16-May-2025 08:22 PM,Rejected-AOC,Not winner after drawal of lottery,06-Aug-2025 06:08 PM,,,,,,AOC,,,,,,,,.pdf,Affidavit and other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2922340,NARAYAN PRADHAN,17-May-2025 02:06 PM,Rejected-Technical,As recomended by TEC,05-Jun-2025 03:09 PM,,,,,,AOC,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2922212,PABITRA ELECTRICAL WORKSHOP,17-May-2025 01:34 PM,Rejected-Technical,As recomended by TEC,05-Jun-2025 03:09 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2922740,RAMACHANDRA SAMANTA SINGHAR,17-May-2025 02:47 PM,Rejected-AOC,Not winner after drawal of lottery,06-Aug-2025 06:08 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2922308,Ravi Realcons Private Limited,17-May-2025 12:31 PM,Rejected-AOC,Not winner after drawal of lottery,06-Aug-2025 06:08 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2919645,SATYABRATA SWAIN,17-May-2025 02:53 PM,Rejected-AOC,Not winner after drawal of lottery,06-Aug-2025 06:08 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2922718,SILADITYA BEHERA,17-May-2025 02:29 PM,Accepted-AOC,1st winner after drawal of lottery,06-Aug-2025 06:08 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2920341,SMRUTI DHAR BEHERA,16-May-2025 12:11 PM,Rejected-AOC,2nd winner after drawal of lottery,06-Aug-2025 06:08 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2922737,Subash Chandra Mohanty,17-May-2025 02:41 PM,Rejected-Technical,As recomended by TEC,05-Jun-2025 03:09 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
