Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
CE RW I||RW-CIRCLE-SUNDARGARH,RWCCESNG-10 OF 2024-25,2024_CERWI_106457_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"C.C.E.,R.W. Circle ,Sundargarh","Office of the C.C.E.,R.W. Circle ,Sundargarh","10,000",0.0,Nil,Nil,No,08-Nov-2024 02:00 PM,22-Nov-2024 11:00 AM,08-Nov-2024 02:00 PM,21-Nov-2024 05:00 PM,08-Nov-2024 02:00 PM ,20-Nov-2024 05:00 PM ,08-Nov-2024 02:00 PM,21-Nov-2024 05:00 PM,10-Feb-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Registration certificate,GSTIN,PAN,Affidavits etc",Construction of PSH at Jadakudar UPS and Construction of PSH at Baddalki UPS under DMF in the district of Sundargarh for the year 2023-24.,Construction of PSH at Jadakudar UPS and Construction of PSH at Baddalki UPS under DMF in the district of Sundargarh for the year 2023-24.,Please refer Tender documents. ,NA ,"4,47,63,580",Civil Works - Buildings,NA ,Tender,90.0,360.0,Rourkela,769004.0,NA ,NA ,NA ,"Office of the C.C.E.,R.W. Circle ,Sundargarh",No ,No,"4,47,636",Yes,percentage,1.0%,Nil,Nil,AOC,05-Aug-2025,"INR 44,763,579.94",360.0,Binata Kishan,05-Aug-2025 01:23 PM,2717.pdf (6377.00 KB),1,2652550,AJAY TIWARI,18-Nov-2024 07:21 PM,Rejected-Technical,The affidavit between electrical contractor MOU and Electrical registration certificate not furnished.,07-Feb-2025 02:08 PM,Finance,Fourteen nos of bidder only.,Binata Kishan,10-Feb-2025 05:35 PM,finance_515005.pdf,BOQ Comparative Chart,K.C.Khatua,Internal,,Kishore Chandra Khatua,07-Feb-2025 02:08 PM,10-Feb-2025 11:00 AM,techsummary_515005.pdf (865.61 KB),K.C Khatua,Internal,,Kishore Chandra Khatua,19-Mar-2025 01:19 PM,finsummary_515005.pdf (394.79 KB),CE RW I||RW-CIRCLE-SUNDARGARH,2024_CERWI_106457_7,RWCCESNG-10 OF 2024-25,Construction of PSH at Jadakudar UPS and Construction of PSH at Baddalki UPS under DMF in the district of Sundargarh for the year 2023-24.,Technical,15 Nos. of Bidders,Haripriya Pradhan,25-Nov-2024 04:47 PM,,1.0,2655065.0,JEETAN JAIN,INR,"38,053,519.31",AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,"Annual turnover, work experience, machinaries and other documents as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2657535,AKSHAYA KUMAR MOHAPATRA,21-Nov-2024 01:56 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2655957,BIJAYA KUMARA JAISWAL,20-Nov-2024 01:56 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2654168,BIJAY KUMAR AGRAWAL,20-Nov-2024 06:03 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2655065,JEETAN JAIN,20-Nov-2024 08:36 PM,Accepted-AOC,Successful bidder by lottery,05-Aug-2025 01:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2657974,KANAK INFRASTRUCTURE,21-Nov-2024 02:19 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2658144,KIMAT KUMAR RATH,21-Nov-2024 03:20 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2656949,KISHANRAJ CHAKRA,21-Nov-2024 10:22 AM,Rejected-Finance,Not Qualified,19-Mar-2025 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2657590,MRUNMAYA KUMAR BEHURA,21-Nov-2024 12:28 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2655765,M/S GODAVARI BUILDERS,20-Nov-2024 01:31 PM,Rejected-Finance,Not Qualified,19-Mar-2025 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
