Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Construction of new drain with cover slab from Tulasi Lodge to Gagan Patri house in ward No-04,Construction of new drain with cover slab from Tulasi Lodge to Gagan Patri house in ward No-04,Please refer Tender documents. ,NA ,"11,82,353",Civil Works - Roads,NA ,Tender,120.0,60.0,kendrapara municipality,754211.0,NA ,NA ,NA ,kendrapara mpl,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,documents as per dtcn,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Kendrapara Municipality,01/KM 2024-25,2024_ORULB_105463_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,executive officer,KENDRAPARA MUNICIPALITY,15-Oct-2024 04:00 PM,28-Oct-2024 11:00 AM,15-Oct-2024 04:00 PM,26-Oct-2024 05:00 PM,15-Oct-2024 04:00 PM ,26-Oct-2024 05:00 PM ,15-Oct-2024 04:00 PM,26-Oct-2024 05:00 PM,1.0,ICICI BANK,"11,824",Yes,percentage,1.0%,Nil,Nil,AOC,Chairperson,Internal,JEMEEOCP,Suryakanta Nayak,11-Aug-2025 09:49 PM,techsummary_509673.pdf (353.80 KB),Chairperson,Internal,JEMEEOCP,Suryakanta Nayak,11-Aug-2025 09:52 PM,finsummary_509673.pdf (353.80 KB),Finance,All the bidders are accepted,Suryakanta Nayak,11-Aug-2025 10:16 AM,,BOQ Comparative Chart,11-Aug-2025,"INR 1,176,442.07",30.0,Suryakanta Nayak,11-Aug-2025 09:55 PM,sarada.pdf (354.00 KB),Sarada Prasad Sethi is the lowest bidder,1,2593514,ROSNA BEGUM,25-Oct-2024 09:25 PM,Rejected-Finance,Lowest Two,11-Aug-2025 09:52 PM,1.0,2594048.0,SARADA PRASAD SETHI,INR,"1,176,442.07",Municipal Bodies||Kendrapara Municipality,2024_ORULB_105463_10,01/KM 2024-25,Construction of new drain with cover slab from Tulasi Lodge to Gagan Patri house in ward No-04,AOC
,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,2594048,SARADA PRASAD SETHI,26-Oct-2024 04:45 PM,Accepted-AOC,Sarada Prasad Sethi is the lowest bidder,11-Aug-2025 09:55 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,2593505,SRIKANTA PALAI,25-Oct-2024 09:33 PM,Rejected-Finance,Lowest Three,11-Aug-2025 09:52 PM,,,,,,,,,,AOC
