S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1,2918766,AXIS THREE DEE STUDIOS PVT LTD.,15-May-2025 07:10 PM,Accepted-AOC,SUCESSFUL BIDDER,01-Aug-2025 05:00 PM,Technical,Proceeding,Sunil Kumar Behera,04-Jun-2025 01:50 PM,,Finance,Financial Evaluation,Sunil Kumar Behera,01-Aug-2025 04:50 PM,finance_538867.pdf,BOQ Comparative Chart,01-Aug-2025,"INR 55,342,000",120.0,Sunil Kumar Behera,01-Aug-2025 05:00 PM,AOC.pdf (615.00 KB),WORK ORDER,S.K. Behera,Internal,"L.SAHOO, S. NAIK, A.S. SWAIN, P. K. JENA",Sunil Kumar Behera,01-Aug-2025 04:55 PM,finsummary_538867.pdf (724.39 KB),S.K. BEHERA,Internal,S.SWAINL.SAHOOSNAIKA.S. SWAINP.K.JENA,Sunil Kumar Behera,04-Jun-2025 02:03 PM,04-Jun-2025 02:05 PM,techsummary_538867.pdf (778.61 KB),Odisha Tourism Devl. Corp.,2025_OTDC_113230_1,BP I/03/2025-26 dt. 15.04.2025,Upgradation of Light and Sound Show at Konark on Turnkey Basis at Konark Sun Temple Puri Odisha,1.0,2918766.0,AXIS THREE DEE STUDIOS PVT LTD.,INR,"55,342,000",AOC,08-May-2025 01:40 PM,17-May-2025 11:30 AM,08-May-2025 01:40 PM,16-May-2025 05:00 PM,NA ,NA ,08-May-2025 01:40 PM,16-May-2025 05:00 PM,04-Jun-2025 02:05 PM,Upgradation of Light and Sound Show at Konark on Turnkey Basis at Konark Sun Temple Puri Odisha,Upgradation of Light and Sound Show at Konark on Turnkey Basis at Konark Sun Temple Puri Odisha,As per RFP ,NA ,0.0,Miscellaneous Works,NA ,Tender,180.0,120.0,"Konark Sun Temple, Puri, Odisha",752111.0,"Conference Hall-1, OTDC Head office, BBSR ","Superintending Engineer, O.T.D.C Ltd Lewis road Bhubaneswar. ",13-May-2025 11:00 AM ,"Superintending Engineer, O.T.D.C Ltd Lewis road",No ,No,"1,00,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidative, GST work experience","10,000","1,800",Nil,Nil,No,"Superintending Engineer, O.T.D.C Ltd","Superintending Engineer, O.T.D.C Ltd Lewis road Bhubaneswar.",1.0,Upgradation of Light and Sound Show at Konark on Turnkey Basis at Konark Sun Temple Puri Odisha,Other,,Odisha Tourism Devl. Corp.,BP I/03/2025-26 dt. 15.04.2025,2025_OTDC_113230_1,Yes,National Competitive Bid,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
2,2911249,Canara Lighting Industries Pvt. Ltd,16-May-2025 03:35 PM,Rejected-Technical,Not Fulfilled eligibility criteria,04-Jun-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other documents as per RFP,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,2920478,E Factor Experiences Limited,16-May-2025 02:39 PM,Rejected-Technical,Not Fulfilled eligibility criteria,04-Jun-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,2919111,LUX AND DECIBELS,15-May-2025 04:19 PM,Rejected-Technical,Not Fulfilled eligibility criteria,04-Jun-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,2919642,Magical Theatre,16-May-2025 04:58 PM,Rejected-Technical,Not Fulfilled eligibility criteria,04-Jun-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,2912719,MODERN STAGE SERVICE PROJECTS,16-May-2025 03:43 PM,Rejected-AOC,UNSUCESSFUL BIDDER,01-Aug-2025 05:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,2920364,Pan INtellecom Ltd,16-May-2025 04:46 PM,Rejected-AOC,UNSUCESSFUL BIDDER,01-Aug-2025 05:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,2915111,softline studio services,13-May-2025 01:25 PM,Rejected-Technical,Not Fulfilled eligibility criteria,04-Jun-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,2909270,Temflo Systems Pvt. Ltd.,16-May-2025 12:02 PM,Rejected-Technical,Not Fulfilled eligibility criteria,04-Jun-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,2910219,Tricolor India Schauspiel Pvt. Ltd.,16-May-2025 10:38 AM,Rejected-Technical,Not Fulfilled eligibility criteria,04-Jun-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
