Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Municipal Bodies||Bhadrak Municipality,2024_ORULB_106934_77,BM-BDK-01-2024-25,Construction of paver road from Kazi Mohalla School towards Niyazi house in Ward No.27,1.0,2669882.0,IMROJ ALI KHAN,INR,"477,888",1,2669882,IMROJ ALI KHAN,27-Nov-2024 04:54 PM,Accepted-AOC,Quoted first lowest,14-Aug-2025 01:54 PM,14-Aug-2025,"INR 477,888",60.0,TAPASA KUMAR SAMAL,14-Aug-2025 01:54 PM,77.pdf (1197.00 KB),work order issued,Finance,ok,Samir Ranjan Dash,02-Dec-2024 01:09 PM,,BOQ Comparative Chart,Gulmaki Dalawzi,Internal,Details attached below,TAPASA KUMAR SAMAL,14-Aug-2025 01:52 PM,finsummary_516201.pdf (240.58 KB),Gulmaki Dalawzi,Internal,Details attached below,TAPASA KUMAR SAMAL,14-Aug-2025 01:50 PM,techsummary_516201.pdf (240.58 KB),AOC,Municipal Bodies||Bhadrak Municipality,BM-BDK-01-2024-25,2024_ORULB_106934_77,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,800",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTC",Construction of paver road from Kazi Mohalla School towards Niyazi house in Ward No.27,Construction of paver road from Kazi Mohalla School towards Niyazi house in Ward No.27,Please refer Tender documents. ,NA ,"4,77,888",Civil Works - Others,NA ,Tender,365.0,60.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,Bhadrak Municipality,No ,No,1,ICICI BANK,Executive Officer,"Executive Officer, Bhadrak Municipality",19-Nov-2024 10:00 AM,29-Nov-2024 11:00 AM,19-Nov-2024 10:00 AM,28-Nov-2024 05:00 PM,NA ,NA ,19-Nov-2024 10:00 AM,28-Nov-2024 05:00 PM,AOC
,,,,,,,,,2,2668999,MANSOOR KHAN,27-Nov-2024 12:50 PM,Rejected-AOC,Quoted second lowest,14-Aug-2025 01:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,AOC
