S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2750020.0,M/s GEETA LAXMI CONSTRUCTIONS,INR,"66,422,115",Technical,Documents to be verified,Lopamudra Dalai,18-Jan-2025 03:54 PM,technical_523541.pdf,CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_109012_5,Online Tender/18-2024-25/BPR,Construction of Saba to Badapur road in the district of Ganjam under MMSY-TRIP for the year 2024-25,"Er. N.K.Das, CCE, RWC, BAM",Internal,,Lopamudra Dalai,11-Apr-2025 01:02 PM,finsummary_523541.pdf (496.83 KB),"Er. N.K.Dash, CCE RWC BAM",Internal,"Junior Engineer,R.W.Circle,BAM P.A. to CCE,R.W.Circle, BAM SE,R.W.Divn-II,Gm,BAM",Lopamudra Dalai,10-Feb-2025 07:42 PM,17-Feb-2025 11:00 AM,techsummary_523541.pdf (959.15 KB),Finance,Documents to be verified,Lopamudra Dalai,18-Feb-2025 06:23 PM,finance_523541.pdf,BOQ Comparative Chart,1,2743336,Abani Kumar Dash,14-Jan-2025 07:54 PM,Rejected-AOC,1st Lowest,22-Aug-2025 05:00 PM,05-Aug-2025,"INR 66,422,115",300.0,Lopamudra Dalai,22-Aug-2025 05:00 PM,Saba.pdf (162.00 KB),AOC,Construction of Saba to Badapur road in the district of Ganjam under MMSY-TRIP for the year 2024-25,Construction of Saba to Badapur road in the district of Ganjam under MMSY-TRIP for the year 2024-25,Please refer Tender documents. ,NA ,"7,81,35,000",Civil Works - Roads,NA ,Tender,90.0,300.0,Bhanjanagar,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Annual Turnover,experience,machinery and other papers as per DTCN",CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/18-2024-25/BPR,2025_CERWI_109012_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"7,81,400",Yes,fixed,,Nil,Nil,"Chief Construction Engineer, R.W.Circle, BAM","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11",03-Jan-2025 06:55 PM,16-Jan-2025 11:00 AM,03-Jan-2025 06:55 PM,15-Jan-2025 05:30 PM,03-Jan-2025 06:55 PM ,13-Jan-2025 05:30 PM ,03-Jan-2025 06:55 PM,15-Jan-2025 05:30 PM,17-Feb-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2751960,Binod Kumar Sahu,15-Jan-2025 03:29 PM,Rejected-AOC,1st Lowest,22-Aug-2025 05:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2748228,Jyoti Prakash Misra,14-Jan-2025 07:47 PM,Rejected-AOC,1st Lowest,22-Aug-2025 05:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2751817,MANTU KUMAR PATTNAYAK,15-Jan-2025 02:42 PM,Rejected-AOC,1st Lowest,22-Aug-2025 05:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2750020,M/s GEETA LAXMI CONSTRUCTIONS,14-Jan-2025 07:46 PM,Accepted-AOC,Successful bidders after lottery system,22-Aug-2025 05:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2750926,Sachin Padhy,15-Jan-2025 11:52 AM,Rejected-AOC,3rd Lowest,22-Aug-2025 05:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2751723,Saroj Kumar Patro,15-Jan-2025 02:02 PM,Rejected-AOC,4th Lowest,22-Aug-2025 05:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2749737,SRI CHITTARANJAN PRADHAN,14-Jan-2025 07:04 PM,Rejected-AOC,2nd Lowest,22-Aug-2025 05:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2743627,Sunil Kumar Panigrahy,15-Jan-2025 12:16 PM,Rejected-AOC,1st Lowest,22-Aug-2025 05:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2750307,Surendranath Gouda,14-Jan-2025 10:54 PM,Rejected-AOC,1st Lowest,22-Aug-2025 05:00 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
