S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2895388.0,KULAMANI SAHANSIA,INR,"1,525,358.83",Finance,27 nos bid opened and to be evaluated,Sashikanta Jena,08-May-2025 10:59 AM,,BOQ Comparative Chart,Jagatjeet Behera SE,Internal,"S.k Jena AEE, A.k Mishra DAO",Jagatjit Behera,19-Aug-2025 12:54 PM,finsummary_536958.pdf (621.53 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,2025_EICCL_112597_7,SE / R and B / SBP II / 12 (online) / 2024-25,Construction of approach road to Hospital at CHC Kuntara in the district of Sambalpur,Jagatjeet Behera SE,Internal,"S.k Jena AEE ,A.k Mishra DAO",Jagatjit Behera,19-Aug-2025 12:41 PM,techsummary_536958.pdf (621.53 KB),1,2898110,AMIT KUMAR SHARMA,28-Apr-2025 02:06 PM,Rejected-AOC,Disqualified in lottery,19-Aug-2025 01:09 PM,19-Aug-2025,"INR 1,525,359",90.0,Jagatjit Behera,19-Aug-2025 01:09 PM,346P1.pdf (228.00 KB),Agtno346P1of2025-26,AOC,"18,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of approach road to Hospital at CHC Kuntara in the district of Sambalpur,Construction of approach road,Please refer Tender documents. ,NA ,"17,97,329",Civil Works - Roads,NA ,Tender,90.0,90.0,Kuchinda,768222.0,NA ,NA ,NA ,"O/O S E, Sambalpur (R and B) Division No.II",No ,No,EIC-CIVIL||SERNB-CIRCLE-NORTHERN||EE R and B Div-II Sambalpur,SE / R and B / SBP II / 12 (online) / 2024-25,2025_EICCL_112597_7,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"S E, Sambalpur (R and B) Division No.II","O/O S E, Sambalpur (R and B) Division No.II",1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid license, PAN, GST, Affidavit and other documents as per DTCN",18-Apr-2025 11:00 AM,29-Apr-2025 11:30 AM,18-Apr-2025 11:00 AM,28-Apr-2025 05:00 PM,18-Apr-2025 11:00 AM ,28-Apr-2025 01:00 PM ,18-Apr-2025 11:00 AM,28-Apr-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2897892,ANANDA KUMAR AGRAWAL,28-Apr-2025 01:23 PM,Rejected-AOC,Disqualified in lottery,19-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2894062,ATISH KUMAR AGARWAL,26-Apr-2025 09:39 PM,Rejected-AOC,Disqualified in lottery,19-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2894615,BHESAJA KUMAR PATTA,25-Apr-2025 11:55 PM,Rejected-AOC,Disqualified in lottery,19-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2896917,BINAPANI PATEL,27-Apr-2025 05:50 PM,Rejected-AOC,Disqualified in lottery,19-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2896489,BISHAL AGRAWAL,27-Apr-2025 12:29 PM,Rejected-AOC,Disqualified in lottery,19-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2894266,DEBENDRA KISAN,25-Apr-2025 01:57 PM,Rejected-AOC,Disqualified in lottery,19-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2894815,GANESH PRADHAN,26-Apr-2025 03:28 PM,Rejected-AOC,Disqualified in lottery,19-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2898316,HARIHAR BEHERA,28-Apr-2025 03:46 PM,Rejected-AOC,Disqualified in lottery,19-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2896990,JAGESWAR BANJARA,27-Apr-2025 07:14 PM,Rejected-AOC,Disqualified in lottery,19-Aug-2025 01:09 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
