Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Jagatsinghpur Irr Division,Jagatsinghpur",2021_CELBB_68408_4,JSD-01 of 2021-22,4. Construction of 3 Storeyed Building staff quarter 6Nos. of E type Qtr. for Jagatsinghpur Irrigation Division near S.P. Residence,1.0,1541835.0,PRAVAT KUMAR BEHERA,INR,"5,572,361","E.E, Jagatsinghpur Irrigation Division",Internal,DAO of JSD and Estimator of JSD,Pratap Kumar Satapathy,04-Jun-2021 11:11 AM,07-Jun-2021 10:30 AM,techsummary_353364.pdf (62.15 KB),01-Aug-2025,"INR 5,572,361",270.0,kamadev das,01-Aug-2025 11:25 AM,Building.pdf (275.00 KB),Superintending Engineer,Internal,,kamadev das,01-Aug-2025 11:19 AM,finsummary_353364.pdf (274.96 KB),Finance,11 nos. of bidder have participated in this Financial Bid,Pratap Kumar Satapathy,07-Jun-2021 11:23 AM,,BOQ Comparative Chart,1,1547102,ANIL KUMAR DASH,26-May-2021 02:16 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,01-Aug-2025 11:19 AM,Technical,11 nos. of bidder have participated,Pratap Kumar Satapathy,28-May-2021 12:03 PM,,AOC,0.0,No,fixed,,Nil,Nil,4. Construction of 3 Storeyed Building staff quarter 6Nos. of E type Qtr. for Jagatsinghpur Irrigation Division near S.P. Residence,Construction of 3 Storeyed Building staff quarter 6Nos. of E type Qtr. for Jagatsinghpur Irrigation Division near S.P. Residence,Please refer Tender documents. ,NA ,"65,54,947",Civil Works - Buildings,NA ,Tender,90.0,270.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/o the Executive Engineer, Jagatsinghpur Irrigati",No ,No,13-May-2021 10:00 AM,28-May-2021 11:00 AM,13-May-2021 10:00 AM,27-May-2021 05:00 PM,13-May-2021 10:00 AM ,21-May-2021 05:00 PM ,13-May-2021 10:00 AM,27-May-2021 05:00 PM,07-Jun-2021 10:30 AM,"Executive Engineer, Jagatsinghpur Irrigation Divis","O/o the Executive Engineer, Jagatsinghpur Irrigation Division","CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Jagatsinghpur Irr Division,Jagatsinghpur",JSD-01 of 2021-22,2021_CELBB_68408_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, R.C, PAN, Affidavit, undertaking, NRC and other documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1543519,ASHOK KUMAR MAHALA,24-May-2021 09:51 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,01-Aug-2025 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1546005,BISWAJIT NAYAK,25-May-2021 02:52 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,01-Aug-2025 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1539292,DIPTIREKHA BEHERA,17-May-2021 03:15 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,01-Aug-2025 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1547962,M/S.ANIL KUMAR PRUSTY,27-May-2021 01:48 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,01-Aug-2025 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1542346,M/S . VERACITY,22-May-2021 01:16 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,01-Aug-2025 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1547536,PRANAB KISHORE DASH,27-May-2021 09:30 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,01-Aug-2025 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1541835,PRAVAT KUMAR BEHERA,25-May-2021 09:26 AM,Accepted-AOC,Work completed,01-Aug-2025 11:25 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1547307,PRITESH KUMAR JENA,27-May-2021 11:26 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,01-Aug-2025 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1543799,PRIYADARSINI DAS,27-May-2021 09:04 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,01-Aug-2025 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1546089,TRUPTI RANJAN DASH,25-May-2021 03:39 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,01-Aug-2025 11:19 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
