Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Executive Officer Brajrajnagar Municipality,Brajrajnagar Municipality At-Lamtibahal PO-Brajrajnagar Dist-Jharsuguda,Const. of Drain near Brijesh Sharma House near Daniel School.,Drain,Please refer Tender documents ,NA ,"12,00,000",Civil Works - Others,NA ,Tender,90.0,90.0,Brajrajnagar Municipal Area,768216.0,NA ,NA ,NA ,Brajrajnagar Municipality,No ,No,Municipal Bodies||Brajrajnagar Municipality,BRJNRM -01/2025-26,2025_ORULB_113785_25,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,"Contractor License, T.P., E.M.D. copy, PAN, GST, Affidavit and other relevant documents of this DTCN",1,ICICI BANK,"6,000",0.0,Nil,Nil,No,"12,000",Yes,fixed,,Nil,Nil,26-May-2025 01:00 PM,05-Jun-2025 09:00 AM,26-May-2025 01:00 PM,04-Jun-2025 01:00 PM,NA ,NA ,26-May-2025 01:00 PM,04-Jun-2025 01:00 PM,21-Jun-2025 11:00 AM,AOC,Finance,ok,Chandramani Swain,21-Jun-2025 01:59 PM,finance_541027.pdf,BOQ Comparative Chart,"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,20-Jun-2025 12:23 PM,21-Jun-2025 11:00 AM,techsummary_541027.pdf (164.41 KB),Technical,ok,Chandramani Swain,19-Jun-2025 01:30 PM,technical_541027.pdf,"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,04-Aug-2025 01:00 PM,finsummary_541027.pdf (394.25 KB),04-Aug-2025,"INR 1,200,000",90.0,Chandramani Swain,04-Aug-2025 01:05 PM,25.pdf (224.00 KB),1,2950358,SOUBHAGYA SATPATHY,03-Jun-2025 08:02 PM,Accepted-AOC,Accepted,04-Aug-2025 01:05 PM,Municipal Bodies||Brajrajnagar Municipality,2025_ORULB_113785_25,BRJNRM -01/2025-26,Const. of Drain near Brijesh Sharma House near Daniel School.,1.0,2950358.0,SOUBHAGYA SATPATHY,INR,"1,016,276.2",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bills of Quantity,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2950371,SUMAN MANHAR,04-Jun-2025 11:17 AM,Rejected-AOC,Rejected,04-Aug-2025 01:05 PM,,,,,,,,,,AOC
