Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,15 nos of bidders are participated in this tender,Manas Kumar Dandapat,14-May-2025 10:41 AM,,BOQ Comparative Chart,1.0,2910133.0,GAGAN BIHARI SAHOO,INR,"2,049,533.65",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||PATNA Block,2025_PRBPN_112962_2,Online Bid ID No.01-Patna (KJR/2025-2026),Construction of GPLF Building with Market Complex at Baunsuli,BDO Patna,Internal,"AEE Patna,BFO Patna,SO Patna,SRA Patna",Manas Kumar Dandapat,01-Aug-2025 11:40 AM,finsummary_538051.pdf (383.82 KB),BDO Patna,Internal,"AEE Patna,BFO Patna,SO Patna,SRA Patna",Manas Kumar Dandapat,01-Aug-2025 11:27 AM,techsummary_538051.pdf (383.82 KB),01-Aug-2025,"INR 2,049,533.65",180.0,Manas Kumar Dandapat,01-Aug-2025 11:46 AM,AOCbaunsuli.pdf (495.00 KB),1,2915512,ASHOK KUMAR SAHOO,13-May-2025 12:46 PM,Rejected-Finance,Rejected in tender,01-Aug-2025 11:40 AM,AOC,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Pan,Adhar GST licence no relation Certificate afidavit other document as DTCN","24,109",Yes,fixed,,Nil,Nil,Block Development Officer Patna,at Panchayat Samiti Patna Block dist- Keonjhar,Construction of GPLF Building with Market Complex at Baunsuli,Construction of GPLF Building with Market Complex at Baunsuli,Please refer Tender documents. ,NA ,"24,10,932",Civil Works - Buildings,NA ,Tender,90.0,180.0,"panchayat Samiti Patna Block,office",758030.0,NA ,NA ,NA ,Confrence hall Block Office Patna,No ,No,1.0,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||PATNA Block,Online Bid ID No.01-Patna (KJR/2025-2026),2025_PRBPN_112962_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,02-May-2025 09:00 AM,14-May-2025 09:00 AM,02-May-2025 09:00 AM,13-May-2025 05:00 PM,NA ,NA ,02-May-2025 09:00 AM,13-May-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2910311,BIJAY KUMAR MAHAPATRA,11-May-2025 10:55 AM,Rejected-Finance,Rejected in tender,01-Aug-2025 11:40 AM,AOC,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2915191,DHARMAJEET SAHU,13-May-2025 11:30 AM,Rejected-Finance,Rejected in tender,01-Aug-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2910090,DILLIP KUMAR BRAHMA,12-May-2025 10:17 PM,Rejected-Finance,Rejected in tender,01-Aug-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2910133,GAGAN BIHARI SAHOO,09-May-2025 11:19 AM,Accepted-AOC,Accepted in lottery,01-Aug-2025 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2914426,HEMANTA KUMAR NAIK,12-May-2025 09:46 PM,Rejected-Finance,Rejected in tender,01-Aug-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2914372,JAGADISH CHANDRA SINGH,13-May-2025 12:59 PM,Rejected-Finance,Rejected in tender,01-Aug-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2916544,LATIKA DEHURY,13-May-2025 04:47 PM,Rejected-Finance,Rejected in tender,01-Aug-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2909698,NIHAR RANJAN MAHAKUD,08-May-2025 06:46 PM,Rejected-Finance,Rejected in tender,01-Aug-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2910274,Prahallada Chandra Sahu,11-May-2025 03:57 PM,Rejected-Finance,Rejected in tender,01-Aug-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
