S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2763531.0,Sanjay Agrawal,INR,"23,516,699.432",S Mahali,Internal,,Rajendra Majhi,01-Aug-2025 07:30 PM,finsummary_524724.pdf (102.05 KB),CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2025_CERWI_109197_4,BLGR-Online-07/2024-25,Improvement of Nanajhar to Tikrapada road in the district of Bolangir under MMSY-TRIP for the year 2024-25,Technical,open Tender,Anupama Bishi,24-Jan-2025 11:46 AM,technical_524724.pdf,Finance,FINANCIAL BIDS ARE OPE,Sukadev Mahali,23-May-2025 12:50 PM,,BOQ Comparative Chart,S Mahali,Internal,,Sukadev Mahali,16-May-2025 12:54 PM,23-May-2025 09:00 AM,techsummary_524724.pdf (478.68 KB),01-Aug-2025,"INR 27,663,450.69",270.0,Rajendra Majhi,01-Aug-2025 07:34 PM,boqcomparativechart.pdf (102.00 KB),Success in lottery system,1,2765075,GIRIDHARI LAL AGRAWAL,19-Jan-2025 08:55 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 07:30 PM,AOC,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,BLGR-Online-07/2024-25,2025_CERWI_109197_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Chief Construction Engineer, R.W.Circle, Bolangir","O/o the Chief Construction Engineer, R.W.Circle, Bolangir",1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",1.0,3rd Corrigendum,Other,,Improvement of Nanajhar to Tikrapada road in the district of Bolangir under MMSY-TRIP for the year 2024-25,Improvement of Nanajhar to Tikrapada road in the district of Bolangir under MMSY-TRIP for the year 2024-25,Please refer Tender documents. ,NA ,"2,76,64,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Titilagarh,767033.0,NA ,NA ,NA ,"O/o C.C.E, R.W.Circle, Bolangir",No ,No,"2,76,640",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,08-Jan-2025 06:55 PM,24-Jan-2025 11:00 AM,08-Jan-2025 06:55 PM,22-Jan-2025 05:00 PM,08-Jan-2025 06:55 PM ,21-Jan-2025 05:00 PM ,08-Jan-2025 06:55 PM,22-Jan-2025 05:00 PM,23-May-2025 09:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2771036,M/S RAMESH KUMAR AGRAWAL,22-Jan-2025 03:29 PM,Rejected-Finance,L3,01-Aug-2025 07:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn Over, Similar Nature of Work and others documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2770035,M/S SRI OMI INFRA,22-Jan-2025 09:20 AM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 07:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2750915,PRABIN KUMAR KUANR,20-Jan-2025 08:14 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 07:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2764621,Rekha Singhal,22-Jan-2025 03:55 PM,Rejected-Finance,L4,01-Aug-2025 07:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2760752,SAMEERKANTA PANDA,18-Jan-2025 01:32 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 07:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2763531,Sanjay Agrawal,18-Jan-2025 04:26 PM,Accepted-AOC,Success in lottery system,01-Aug-2025 07:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2768215,SUBASISH ACHARYA,21-Jan-2025 12:03 PM,Rejected-Finance,L2,01-Aug-2025 07:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
