Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
28-Jul-2025,"INR 15,558,044",120.0,Naran Murmu,16-Aug-2025 04:18 PM,KaradapalliAgmtDetails.pdf (1381.00 KB),"Work order letter No.2935 dtd.28.07.2025 and Agmt No.06 P1 of 2025-26 dtd.28.07.2025 of Superintending Engineer, Rural Works Division-II, Nayagarh",1,2778598,ANTARYAMI SAHOO,27-Jan-2025 01:18 PM,Rejected-AOC,Rejected,16-Aug-2025 04:18 PM,1.0,2782736.0,BABU BIRAJA PRASAD,INR,"15,558,044",CE RW I||RWCIRCLE-BHUBANESWAR,2025_CERWI_109057_16,Tender Online C.C-25 of 2024,Construction of road from Karadapalli to Kusubida under MMSY-TRIP in the Dist. of Nayagarh for the year 2024-25,Technical,12 nos bidder participated in the tender,Kumari Suvalaxmi,02-Feb-2025 12:07 PM,,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivision Puri SrDAORWDivisionII Nayagarh PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Mausumi Mishra,19-Jun-2025 01:03 PM,finsummary_523745.pdf (253.50 KB),Finance,11 nos bidder qualified in the tender,Mausumi Mishra,20-Mar-2025 08:40 PM,,BOQ Comparative Chart,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivision Puri SrDAORWDivisionII Nayagarh PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Mausumi Mishra,14-Mar-2025 12:32 PM,20-Mar-2025 05:00 PM,techsummary_523745.pdf (2413.02 KB),AOC,1.0,Other Corrigendum,Other,,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHUBANESWAR,Tender Online C.C-25 of 2024,2025_CERWI_109057_16,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate",1.0,ICICI BANK,Construction of road from Karadapalli to Kusubida under MMSY-TRIP in the Dist. of Nayagarh for the year 2024-25,Construction of road from Karadapalli to Kusubida under MMSY-TRIP in the Dist. of Nayagarh for the year 2024-25,Please refer Tender documents. ,NA ,"1,83,01,428",Civil Works - Roads,NA ,Tender,90.0,120.0,Nayagarh,752070.0,NA ,NA ,NA ,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",No ,No,ChiefConstructionEngineer,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR","1,83,014",Yes,percentage,1.0%,Nil,Nil,16-Jan-2025 06:55 PM,29-Jan-2025 11:00 AM,16-Jan-2025 06:55 PM,28-Jan-2025 05:00 PM,NA ,NA ,16-Jan-2025 06:55 PM,28-Jan-2025 05:00 PM,20-Mar-2025 05:00 PM,AOC
,,,,,,,2,2782736,BABU BIRAJA PRASAD,28-Jan-2025 12:18 PM,Accepted-AOC,Accepted,16-Aug-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,2782793,BIBHUTI BHUSAN TAREI,28-Jan-2025 10:48 AM,Rejected-Finance,Other than L1 and L2,19-Jun-2025 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, ATO, Work Experience and required documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4,2784095,DIBYASUNDAR SAHOO,28-Jan-2025 04:23 PM,Rejected-AOC,Rejected,16-Aug-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5,2784123,MANORANJAN RAUT,28-Jan-2025 04:31 PM,Rejected-Finance,Other than L1,19-Jun-2025 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6,2777652,MATRUDATTA DAS,28-Jan-2025 01:57 PM,Rejected-AOC,Rejected,16-Aug-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,7,2781711,MS SAI PRACHYA CONSTRUCTIONS,28-Jan-2025 12:43 PM,Rejected-Technical,As per Clause No.2.1(1) of the Eligibility Criteria of General Instructions To the Tenderers of the DTCN (Suppression of facts),14-Mar-2025 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,8,2782667,M/s ULLASH CHANDRA TARAI,28-Jan-2025 09:58 AM,Rejected-Finance,Other than L1 and L2,19-Jun-2025 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,9,2781773,PRASANTA KUMAR DASH,27-Jan-2025 08:32 PM,Rejected-AOC,Rejected,16-Aug-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,10,2783568,PRASANT KUMAR GURU,28-Jan-2025 02:02 PM,Rejected-AOC,Rejected,16-Aug-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
