S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
1.0,2914512.0,HEMANTA KUMAR NAIK,INR,"2,062,911.52",Finance,10 nos of bidders are participated in this tender,Manas Kumar Dandapat,14-May-2025 11:22 AM,,BOQ Comparative Chart,BDO Patna,Internal,"AEE Patna,BFO Patna,SO Patna,SRA Patna",Manas Kumar Dandapat,01-Aug-2025 12:56 PM,finsummary_538065.pdf (383.82 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||PATNA Block,2025_PRBPN_112962_4,Online Bid ID No.01-Patna (KJR/2025-2026),Construction of GPLF Building with Market Complex at Tangarpada,BDO Patna,Internal,"AEE Patna,BFO Patna,SO Patna,SRA Patna",Manas Kumar Dandapat,01-Aug-2025 12:47 PM,techsummary_538065.pdf (383.82 KB),01-Aug-2025,"INR 2,062,911.52",180.0,Manas Kumar Dandapat,01-Aug-2025 01:06 PM,AOCtangarpada.pdf (275.00 KB),1,2913863,ANIL KUMAR SAHOO,12-May-2025 05:52 PM,Rejected-Finance,Rejected in lottery,01-Aug-2025 12:56 PM,AOC,"24,266",Yes,fixed,,Nil,Nil,02-May-2025 09:00 AM,14-May-2025 09:00 AM,02-May-2025 09:00 AM,13-May-2025 05:00 PM,NA ,NA ,02-May-2025 09:00 AM,13-May-2025 05:00 PM,"6,000",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Pan,Adhar GST licence no relation Certificate afidavit other document as DTCN",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||PATNA Block,Online Bid ID No.01-Patna (KJR/2025-2026),2025_PRBPN_112962_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of GPLF Building with Market Complex at Tangarpada,Construction of GPLF Building with Market Complex at Tangarpada,Please refer Tender documents. ,NA ,"24,26,669",Civil Works - Buildings,NA ,Tender,90.0,180.0,"panchayat Samiti Patna Block,office",758030.0,NA ,NA ,NA ,Confrence hall Block Office Patna,No ,No,Block Development Officer Patna,at Panchayat Samiti Patna Block dist- Keonjhar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2915229,DHARMAJEET SAHU,13-May-2025 11:35 AM,Rejected-Finance,Rejected in lottery,01-Aug-2025 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2914512,HEMANTA KUMAR NAIK,12-May-2025 09:52 PM,Accepted-AOC,Tender accepted in lottery,01-Aug-2025 01:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2914108,MANARANJAN SAHU,13-May-2025 02:17 PM,Rejected-Finance,Rejected in lottery,01-Aug-2025 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2910303,Prahallada Chandra Sahu,11-May-2025 07:39 PM,Rejected-Finance,Rejected in lottery,01-Aug-2025 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2915787,RAKESH KUMAR SAHOO,13-May-2025 01:36 PM,Rejected-Finance,Rejected in lottery,01-Aug-2025 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2916109,RATNAKAR NAIK,13-May-2025 03:03 PM,Rejected-Finance,Rejected in lottery,01-Aug-2025 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2915150,SATYABRATA SAHU,13-May-2025 10:58 AM,Rejected-Finance,Rejected in lottery,01-Aug-2025 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2914119,SHAIKH JOBER PARWAYS,12-May-2025 07:06 PM,Rejected-Finance,Rejected in lottery,01-Aug-2025 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2916532,SOUMYA RANJAN BEHERA,13-May-2025 04:22 PM,Rejected-Finance,Rejected in lottery,01-Aug-2025 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
