Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
27-May-2025 12:00 PM,05-Jun-2025 10:00 AM,27-May-2025 12:00 PM,04-Jun-2025 05:00 PM,27-May-2025 12:00 PM ,03-Jun-2025 01:00 PM ,27-May-2025 12:00 PM,04-Jun-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD,Affidavit,PAN card, GSTIN, valid RC","6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,Online 02 of 2025-26,2025_CERWI_113843_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of F type qtr at R.W.Sub-Division Gaisilet _building,Construction of F type qtr at R.W.Sub-Division Gaisilet _building,NA ,NA ,"14,47,196",Civil Works - Buildings,NA ,Tender,90.0,180.0,Padampur,768036.0,NA ,NA ,NA ,"O/O THE E.E RURAL WORKS DIVISION, PADMAPUR",No ,No,"E.E R.W.DIVISION,PADAMPUR","AT/PO-PADAMPUR, RAJAPADA, RURAL WORKS DIVISION, PADMAPUR,DIST. BARGARH, ODISHA","14,470",Yes,fixed,,Nil,Nil,AOC,1,2950932,ALKA JOSHI,04-Jun-2025 12:22 PM,Rejected-Finance,Not successful in transparent lottery,16-Jun-2025 12:45 PM,15-Jul-2025,"INR 1,230,262",180.0,Tapas Ranjan Lenka,05-Aug-2025 04:18 PM,Ftypeqtrgaisilet_lokesh.pdf (735.00 KB),12/P1 of 2025-26,"Er. Tapas Ranjan Lenka, EE",Internal,Amar Ch. Kumar DA Lalit Ku. Naik JE Estr I/c,Lalit Kumar Naik,16-Jun-2025 12:23 PM,techsummary_541090.pdf (279.96 KB),"Er. Tapas Ranjan Lenka, EE",Internal,Amar Ch. Kumar DA Lalit Ku. Naik JE Estr. I/c,Lalit Kumar Naik,16-Jun-2025 12:45 PM,finsummary_541090.pdf (192.74 KB),CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,2025_CERWI_113843_1,Online 02 of 2025-26,Construction of F type qtr at R.W.Sub-Division Gaisilet _building,1.0,2951287.0,LOKESH PUROHIT,INR,"1,230,262",Finance,Eleven bidders have participated,Lalit Kumar Naik,05-Jun-2025 11:44 AM,finance_541090.pdf,BOQ Comparative Chart,AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2950133,AMLAN PANDA,03-Jun-2025 05:04 PM,Rejected-Finance,Not successful in transparent lottery,16-Jun-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2950308,DILESWAR SAHU,03-Jun-2025 07:14 PM,Rejected-Finance,Not successful in transparent lottery,16-Jun-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2949808,JALANDHAR DUDUKA,03-Jun-2025 01:21 PM,Rejected-Finance,Not successful in transparent lottery,16-Jun-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2951287,LOKESH PUROHIT,04-Jun-2025 03:08 PM,Accepted-AOC,Awarded,05-Aug-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2949743,MAKARANDA SAHU,03-Jun-2025 12:37 PM,Rejected-Finance,Not successful in transparent lottery,16-Jun-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2951016,MANORANJAN KALO,04-Jun-2025 12:48 PM,Rejected-AOC,Not Awarded,05-Aug-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2950330,MANORANJAN PUROHIT,03-Jun-2025 07:13 PM,Rejected-Finance,Not successful in transparent lottery,16-Jun-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2949757,Narayan Dash,03-Jun-2025 12:49 PM,Rejected-Finance,Not successful in transparent lottery,16-Jun-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2949668,SANTOSHINI SAHU,03-Jun-2025 12:07 PM,Rejected-Finance,Not successful in transparent lottery,16-Jun-2025 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
