Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
21-Mar-2025 05:00 PM,02-Apr-2025 11:30 AM,21-Mar-2025 05:00 PM,31-Mar-2025 05:00 PM,21-Mar-2025 05:00 PM ,26-Mar-2025 05:00 PM ,21-Mar-2025 05:00 PM,31-Mar-2025 05:00 PM,09-May-2025 12:00 PM,1.0,ICICI BANK,"1,96,452",No,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, PAN, GSTIN, Electrical License, Affidavit and Other Documents as per DTCN.","10,000",0.0,Nil,Nil,No,S.E. Electrical Circle (RandB) Bhubaneswar,"S.E. Electrical Circle (RandB) Bhubaneswar, Nirman Soudha, Near Power House Square, Unit-V, 751001.","Supply, Installation, Testing and Commissioning of 40W LED Solar Street Light (All in one) in Different Location under Laikera Block of Jharsuguda District for the year 2024-25.","Supply, Installation, Testing and Commissioning of 40W LED Solar Street Light (All in one) in Different Location under Laikera Block of Jharsuguda District for the year 2024-25.",Please refer Tender documents. ,NA ,"1,96,45,200",Electrical Works,NA ,Tender,90.0,180.0,"Laikera, Jharsuguda",768215.0,NA ,NA ,NA ,S.E. Electrical Circle (RandB) Bhubaneswar,No ,No,1.0,Corrigendum to DTCN,Technical Bid,,EIC-CIVIL||SE R and B Electrical,Bid Identification No.S.E.E.C (RandB) 20/2024-25,2025_EICCL_111824_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,01-Aug-2025,"INR 19,645,200",180.0,Nihar Chandra Naik,01-Aug-2025 03:10 PM,34p12526.pdf (1742.00 KB),AOC,1,2868873,Bajaj Electricals Ltd,31-Mar-2025 11:35 AM,Rejected-AOC,OK,01-Aug-2025 03:10 PM,Finance,Opened,Nihar Chandra Naik,09-May-2025 05:56 PM,,BOQ Comparative Chart,"S.E. Electrical (RandB) Odisha, Bhubaneswar",Internal,"SE Jharsuguda (RandB) Division, DAO Jharsuguda (RandB) Division, AEE GE Sub-Division Jharsuguda, PA to SEEC (RandB) Odisha, BBSR, AEE SEEC (RandB) Odisha, BBSR.",Nihar Chandra Naik,06-May-2025 11:47 AM,09-May-2025 12:00 PM,techsummary_533909.pdf (361.49 KB),"S.E. Electrical (RandB) Odisha, Bhubaneswar",Internal,"AEE SEEC (RandB) ODISHA, BHUBANESWAR, PA to SEEC (RandB) ODISHA, BHUBANESWAR, AEE GE Sub Division, Jharsuguda, DAO, Jharsuguda (RandB) Division and SE, Jharsuguda (RandB) Division.",Nihar Chandra Naik,01-Aug-2025 02:37 PM,finsummary_533909.pdf (1742.00 KB),Technical,Opened,Nihar Chandra Naik,02-Apr-2025 12:40 PM,,EIC-CIVIL||SE R and B Electrical,2025_EICCL_111824_3,Bid Identification No.S.E.E.C (RandB) 20/2024-25,"Supply, Installation, Testing and Commissioning of 40W LED Solar Street Light (All in one) in Different Location under Laikera Block of Jharsuguda District for the year 2024-25.",1.0,2873887.0,MESSERS BIRAJA ELECTRICAL AND CONSTRUCTION,INR,"16,700,385",AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2873878,BHARAT KUMAR SAHOO,31-Mar-2025 01:09 PM,Rejected-AOC,OK,01-Aug-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2873901,DIVINE ENTERPRISES,31-Mar-2025 03:19 PM,Rejected-AOC,OK,01-Aug-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2873954,GREEN INNOVATIVE POWER PRIVATE LIMITED,31-Mar-2025 02:33 PM,Rejected-AOC,OK,01-Aug-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2868855,Hindusthan Electric Company,30-Mar-2025 01:47 PM,Rejected-AOC,OK,01-Aug-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2873906,ICON BUILDERS,31-Mar-2025 01:29 PM,Rejected-AOC,OK,01-Aug-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2873977,JUPITER ENGINEERS,31-Mar-2025 03:28 PM,Rejected-AOC,OK,01-Aug-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2873747,MARUTI CONSTRUCTIONS,31-Mar-2025 10:38 AM,Rejected-Technical,Not fulfilled the criteria as per DTCN Clause No. 11(a),06-May-2025 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2873887,MESSERS BIRAJA ELECTRICAL AND CONSTRUCTION,31-Mar-2025 01:17 PM,Accepted-AOC,OK,01-Aug-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2873539,MESSERS OMM SAI ELECTRICALS,29-Mar-2025 09:26 PM,Rejected-AOC,OK,01-Aug-2025 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
