Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Municipal Bodies||Brahmapur Municipal Corporation,2024_ORULB_105443_44,BeMC (BAM)/ 298/ 2024-2025,Const of Canal type drain from Ganapati Nagar 5th line towards Dandakali temple Part -2 in W.N-5,1.0,2585963.0,Mamata Rani Sahu,INR,"4,362,262",1,2585963,Mamata Rani Sahu,22-Oct-2024 08:24 PM,Accepted-AOC,Accepted,21-Aug-2025 01:09 PM,21-Aug-2025,"INR 4,235,205.84",120.0,Susanta Dung Dung,21-Aug-2025 01:09 PM,298_44_1.pdf (437.00 KB),As per estimated rate,Finance,Admitted,Sanjukta Kumari Raipatro,28-Oct-2024 07:18 PM,finance_508618.pdf,BOQ Comparative Chart,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Susanta Dung Dung,21-Aug-2025 01:06 PM,finsummary_508618.pdf (444.00 KB),Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Susanta Dung Dung,21-Aug-2025 01:03 PM,techsummary_508618.pdf (465.72 KB),AOC,"Commissioner,","Berhampur Municipal Corporation, Berhampur",1,ICICI BANK,Municipal Bodies||Brahmapur Municipal Corporation,BeMC (BAM)/ 298/ 2024-2025,2024_ORULB_105443_44,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, AFFIDAVIT, BID COST, EMD AND REGISTRATION ETC AS PER DTCN",09-Oct-2024 03:00 PM,25-Oct-2024 11:30 AM,09-Oct-2024 03:00 PM,24-Oct-2024 05:00 PM,09-Oct-2024 03:00 PM ,15-Oct-2024 02:00 PM ,09-Oct-2024 03:00 PM,24-Oct-2024 05:00 PM,"7,080",0.0,Nil,Nil,No,"42,352",Yes,fixed,,Nil,Nil,Const of Canal type drain from Ganapati Nagar 5th line towards Dandakali temple Part -2 in W.N-5,Const of Canal type drain from Ganapati Nagar 5th line towards Dandakali temple Part -2 in W.N-5,Please refer tender documents ,NA ,"42,35,205",Civil Works - Others,NA ,Tender,120.0,120.0,"Berhampur Municipal Corporation, Berhampur",760002.0,NA ,NA ,NA ,Berhampur Municipal Corporation,No ,No,AOC
,,,,,,,,,2,2586680,Subhendu Sekhar Sahu,21-Oct-2024 12:28 PM,Rejected-Finance,Rejected,21-Aug-2025 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
