S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Stage
1.0,2890536.0,R.B.S Constructions,INR,"57,662,841",Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Anup Kumar Behera,11-Aug-2025 02:03 PM,finsummary_535262.pdf (740.77 KB),Technical,Twelve Bidders found,Mamatamayee Biswal,22-Apr-2025 11:50 AM,technical_535262.pdf,CE RW I||RWCIRCLE-ANGUL,2025_CERWI_112169_4,Road Online-AGL-28/2024-25,Narayanaprasad-Nouru-via- Landanpada Road,Finance,Twelve Bidders found,Baikuntha Nath Sarangi,21-May-2025 09:41 AM,finance_535262.pdf,BOQ Comparative Chart,Chief Construction Engineer,Internal,E.E DO ESTIMATOR,Baikuntha Nath Sarangi,17-May-2025 05:59 PM,21-May-2025 09:00 AM,techsummary_535262.pdf (190.53 KB),1,2887045,BALAMAKUNDA PUROHIT,20-Apr-2025 12:11 PM,Rejected-AOC,0,11-Aug-2025 02:07 PM,11-Aug-2025,"INR 57,662,841",360.0,Anup Kumar Behera,11-Aug-2025 02:07 PM,Scan1.PDF (741.00 KB),REFUND OF E.M.D,AOC,03-Apr-2025 06:55 PM,22-Apr-2025 09:00 AM,03-Apr-2025 06:55 PM,21-Apr-2025 05:00 PM,03-Apr-2025 06:55 PM ,19-Apr-2025 01:00 PM ,03-Apr-2025 06:55 PM,21-Apr-2025 05:00 PM,21-May-2025 09:00 AM,CE RW I||RWCIRCLE-ANGUL,Road Online-AGL-28/2024-25,2025_CERWI_112169_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Narayanaprasad-Nouru-via- Landanpada Road,Narayanaprasad-Nouru-via- Landanpada Road,. ,NA ,"6,78,31,000",Civil Works - Roads,NA ,Tender,90.0,360.0,BOUDH,762014.0,NA ,NA ,NA ,"Office of the Chief Construction Engineer,RWC,Angu",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD One percentage of the estimated cost,GST,PAN,RC,Affidavit regarding correctness","10,000",0.0,Nil,Nil,No,"6,78,310",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"Chief Construction Engineer,RWC,Angul",At-Hakimpada Po-Hakimpada District- Angul,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2890276,GIRIDHARI LAL AGRAWAL,21-Apr-2025 02:34 PM,Rejected-AOC,0,11-Aug-2025 02:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour licence,Similar nature of work,Annual Turn Over,Work in hand,No relation,No Litigation certif",,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2887050,JAY PRAKASH SHARMA,18-Apr-2025 12:31 PM,Rejected-AOC,0,11-Aug-2025 02:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hire, Balance sheet Bidder Contact address and other documents as per DTCN",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2888619,KHIROD KUMAR SETHI,20-Apr-2025 10:05 PM,Rejected-AOC,0,11-Aug-2025 02:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities in xls sheet,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2889486,MISHRA INFRA PROJECTS,21-Apr-2025 10:33 AM,Rejected-AOC,0,11-Aug-2025 02:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2889012,MUKTESWAR NAIK,21-Apr-2025 10:41 AM,Rejected-AOC,0,11-Aug-2025 02:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2889041,Orient Constructions Pvt. Ltd.,21-Apr-2025 04:29 PM,Rejected-AOC,0,11-Aug-2025 02:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2890536,R.B.S Constructions,21-Apr-2025 04:38 PM,Accepted-AOC,Winner of lottery among the 1st lowest bidders,11-Aug-2025 02:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2890148,R S Infrastructure,21-Apr-2025 03:13 PM,Rejected-AOC,0,11-Aug-2025 02:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2890058,Sachin Agarwal,21-Apr-2025 01:04 PM,Rejected-AOC,0,11-Aug-2025 02:07 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
