Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
24-Dec-2024 05:00 PM,07-Jan-2025 11:00 AM,24-Dec-2024 05:00 PM,06-Jan-2025 05:00 PM,24-Dec-2024 05:00 PM ,04-Jan-2025 05:00 PM ,24-Dec-2024 05:00 PM,06-Jan-2025 05:00 PM,12-Feb-2025 11:00 AM,CE RW I||RWCIRCLE-BARIPADA,Road Online N.C.B. No-360,2024_CERWI_108727_13,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CCE RWC Baripada,CCE RWC Baripada,1.0,ICICI BANK,"2,58,830",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN","10,000",0.0,Nil,Nil,No,Construction of Road from Kujidihi to Gopiabandh to Mukhisahi road under MMSY-TRIP in the District of Mayurbhanj for the year 2024-25.,Construction of Road from Kujidihi to Gopiabandh to Mukhisahi road under MMSY-TRIP in the District of Mayurbhanj for the year 2024-25.,Please refer Tender documents. ,NA ,"2,58,83,000",Civil Works - Roads,NA ,Tender,90.0,270.0,"SERW Division, Baripada",757002.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,AOC,Technical,17 Nos of bidder participated,Ashwani Pradhan,06-Feb-2025 11:42 AM,,"CCERWCIRCLE, BARIPADA",Internal,,Ashwani Pradhan,15-Feb-2025 01:28 PM,finsummary_521794.pdf (1499.46 KB),Finance,17 Nos of bidders Admitted,Ashwani Pradhan,15-Feb-2025 11:59 AM,,BOQ Comparative Chart,"CCERWCIRCLE, BARIPADA",Internal,,Ashwani Pradhan,06-Feb-2025 12:58 PM,12-Feb-2025 11:00 AM,techsummary_521794.pdf (826.92 KB),21-May-2025,"INR 22,002,790",270.0,Akshaya Kumar Naik,16-Aug-2025 04:55 PM,kuji.pdf (733.00 KB),1,2730347,AJAY KUMAR ROUT,06-Jan-2025 01:55 PM,Rejected-AOC,L1,16-Aug-2025 04:55 PM,1.0,2731133.0,JASHOBANTA SAHU,INR,"22,002,790",CE RW I||RWCIRCLE-BARIPADA,2024_CERWI_108727_13,Road Online N.C.B. No-360,Construction of Road from Kujidihi to Gopiabandh to Mukhisahi road under MMSY-TRIP in the District of Mayurbhanj for the year 2024-25.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2731153,ARUN KUMAR SARGHARIA,06-Jan-2025 12:17 AM,Rejected-AOC,L1,16-Aug-2025 04:55 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2731649,ASIM KUMAR MOULIK,06-Jan-2025 12:12 PM,Rejected-AOC,L1,16-Aug-2025 04:55 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2731133,JASHOBANTA SAHU,05-Jan-2025 10:39 PM,Accepted-AOC,L1,16-Aug-2025 04:55 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2731202,JEETESH RANJAN BEHERA,06-Jan-2025 12:32 PM,Rejected-AOC,L1,16-Aug-2025 04:55 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2732421,KIRAN KUMAR DAS,06-Jan-2025 03:09 PM,Rejected-AOC,L1,16-Aug-2025 04:55 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2729029,KRUSHNA KUMAR KHANDELWAL,06-Jan-2025 03:14 PM,Rejected-AOC,L1,16-Aug-2025 04:55 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2729126,LAXMI KANTA MOHAKUD,06-Jan-2025 02:44 PM,Rejected-AOC,L1,16-Aug-2025 04:55 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2727848,MAYADHAR RATH,06-Jan-2025 01:01 PM,Rejected-AOC,L1,16-Aug-2025 04:55 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2731226,MS SHAKTIMAN BUILDERS,06-Jan-2025 03:48 PM,Rejected-AOC,L1,16-Aug-2025 04:55 PM,,,,,,,,,,AOC
