Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
11-Jun-2025 06:55 PM,30-Jun-2025 10:30 AM,11-Jun-2025 06:55 PM,26-Jun-2025 05:00 PM,NA ,NA ,11-Jun-2025 06:55 PM,26-Jun-2025 05:00 PM,24-Jul-2025 10:30 AM,Orissa State Police Housing and Welfare Corporation Ltd,05/OPHWC/2025-26,2025_OSPHW_114352_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","11,800",0.0,Nil,Nil,No,"10,13,300",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CHIEF ENGINEER OPHWC,CHIEF ENGINEER OPHWC,"Cluster of 1. Constn. Of 120 Men Barrack at RO Kalahandi, 2. 120 Men Barrack at RO Bhawanipatna, Kalahandi",Building Work,Please refer Tender documents ,NA ,"10,13,29,546",Civil Works - Buildings,NA ,Tender,90.0,450.0,Kalahandi,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,AOC,AS PER AS AACCEPTANCE LETTER,Internal,AS PER AS AACCEPTANCE LETTER,Srikanta Samal,25-Aug-2025 11:37 AM,finsummary_542863.pdf (391.46 KB),Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_114352_4,05/OPHWC/2025-26,"Cluster of 1. Constn. Of 120 Men Barrack at RO Kalahandi, 2. 120 Men Barrack at RO Bhawanipatna, Kalahandi",Technical,11 Nos. of bidders have been participated,Bikram Keshari Malla,30-Jun-2025 01:45 PM,,1.0,2978894.0,BKM CONSTRUCTION PVT.LTD,INR,"91,206,724",25-Aug-2025,"INR 91,206,724.22",450.0,Srikanta Samal,25-Aug-2025 11:41 AM,WORKORDERT.pdf (650.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 21.08.2025,1,2975709,ARYA PRAKASH CHAMPATIRAY,25-Jun-2025 05:37 PM,Rejected-Finance,L1 BIDDER BUT LOWEST TURNOVER,25-Aug-2025 11:37 AM,Finance,financial bid opened,Bikram Keshari Malla,24-Jul-2025 12:08 PM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,Srikanta Samal,23-Jul-2025 07:03 PM,24-Jul-2025 10:30 AM,techsummary_542863.pdf (295.86 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2978894,BKM CONSTRUCTION PVT.LTD,25-Jun-2025 05:55 PM,Accepted-AOC,QUALIFIED BIDDER,25-Aug-2025 11:41 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2980648,Dhiraj Kumar Agrawal,26-Jun-2025 04:27 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110(j),23-Jul-2025 07:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2978451,JAI BAJRANGBALI INFRA,26-Jun-2025 04:38 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m),23-Jul-2025 07:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2980834,M/S BRILLIANT DEVELOPERS,26-Jun-2025 04:55 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m),23-Jul-2025 07:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2970735,MS JAYARAM PRADHAN,25-Jun-2025 03:36 PM,Rejected-Finance,DUE TO L2 BIDDER,25-Aug-2025 11:37 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2978788,PRAKASH KUMAR NAHAK,25-Jun-2025 12:12 AM,Rejected-Finance,L1 BIDDER BUT LOWEST TURNOVER,25-Aug-2025 11:37 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2980542,RAPS INFRATECH PRIVATE LIMITED,26-Jun-2025 12:26 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m),23-Jul-2025 07:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2980308,SHAMBHU PRASAD GOEL,26-Jun-2025 04:59 PM,Rejected-Technical,Non submission of valid adequate documents to secure qualifying marks in Sch-C as per DTCN Cl. No. 13 and 110(f). 2. Non submission of valid certificate towards Sch-G of DTCN Cl. No. 12 and 110(i).,23-Jul-2025 07:03 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2979457,Varsha Construction,26-Jun-2025 04:08 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m),23-Jul-2025 07:03 PM,,,,,,,,,,,,,,AOC
