Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Protection to U/S and D/S of Falls of Handiamunda Nalla near village Sukunda.,Protection to U/S and D/S,Please refer Tender documents. ,NA ,"21,02,000",Civil Works - Others,NA ,Tender,90.0,180.0,Berhampur,760004.0,NA ,NA ,NA ,"O/o S.E., Berhampur Irr. Divn., Berhampur",No ,No,03-Jun-2025 10:00 AM,13-Jun-2025 11:00 AM,03-Jun-2025 10:00 AM,12-Jun-2025 05:30 PM,03-Jun-2025 10:00 AM ,10-Jun-2025 05:30 PM ,03-Jun-2025 10:00 AM,12-Jun-2025 05:30 PM,1.0,ICICI BANK,"21,500",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Berhampur Irrigation Divn Berhampur",e-BEID-01/2025-26,2025_CEBMB_114100_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD, Registration Certificate, GSTIN, PAN, Other documents as per DTCN","S.E., Berhampur Irr. Divn., Berhampur","S.E., Berhampur Irr. Divn., Courtpeta, Berhampur",AOC,Nalin Pattanaik,Internal,,CHANDINI KUMARI BASANTY,25-Jun-2025 01:29 PM,techsummary_541940.pdf (61.79 KB),Nalin Pattanaik,Internal,,CHANDINI KUMARI BASANTY,27-Jun-2025 01:13 PM,finsummary_541940.pdf (61.79 KB),Finance,Eighteen bids downloaded Successfully.,Sucharita Panda,13-Jun-2025 03:30 PM,,BOQ Comparative Chart,15-Aug-2025,"INR 1,787,171",180.0,Nalin Kumar Patnaik,17-Aug-2025 11:28 AM,AOC_35.pdf (494.00 KB),Award to the Lottery Winner.,1.0,2963805.0,RAJANI KANTA SAHU,INR,"1,787,171","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Berhampur Irrigation Divn Berhampur",2025_CEBMB_114100_35,e-BEID-01/2025-26,Protection to U/S and D/S of Falls of Handiamunda Nalla near village Sukunda.,1,2959706,ANKITA KUMAR JENA,11-Jun-2025 03:07 PM,Rejected-AOC,Lottery Looser,17-Aug-2025 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2963494,Ansuman Gouda,12-Jun-2025 12:29 PM,Rejected-AOC,Lottery Looser,17-Aug-2025 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2962654,BIKASH PATRO,11-Jun-2025 09:46 PM,Rejected-AOC,Lottery Looser,17-Aug-2025 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2962066,DEBASIS KUMAR SAHU,12-Jun-2025 04:13 AM,Rejected-AOC,Lottery Looser,17-Aug-2025 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2959786,DILLIP KUMAR PANIGRAHY,10-Jun-2025 03:15 PM,Rejected-AOC,Lottery Looser,17-Aug-2025 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2962552,K. ANIL KUMAR DAS,11-Jun-2025 09:03 PM,Rejected-AOC,Lottery Looser,17-Aug-2025 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2959219,LABA GOUDA,10-Jun-2025 01:17 PM,Rejected-AOC,Lottery Looser,17-Aug-2025 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2962799,MAA KUTHARI ASSOCIATES,12-Jun-2025 09:58 AM,Rejected-AOC,Lottery Looser,17-Aug-2025 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2962916,Pabitra Mohan Bisoyi,12-Jun-2025 07:34 AM,Rejected-AOC,Lottery Looser,17-Aug-2025 11:28 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2960454,PRASANNA KUMAR PADHI,11-Jun-2025 11:06 PM,Rejected-AOC,Lottery Looser,17-Aug-2025 11:28 AM,AOC
