Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Constn. of CC Road and drain from Rajendra panda house to Tikili House in W.N-22,Constn. of CC Road and drain from Rajendra panda house to Tikili House in W.N-22,Please refer Tender documents. ,NA ,"11,44,068",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,REVISED DTCN,Technical Bid,,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"Executive Officer, Balasore Municipality",Balasore Municipality Office,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,"11,441",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_102,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Municipal Bodies||Balasore Municipality,2025_ORULB_111643_102,BM_06_2024_25,Constn. of CC Road and drain from Rajendra panda house to Tikili House in W.N-22,1,2868670,JITENDRA PARMANIK,26-Mar-2025 12:38 AM,Accepted-AOC,WO,18-Aug-2025 06:12 PM,1.0,2868670.0,JITENDRA PARMANIK,INR,"972,572.26",EO ME CP AE AEE,Internal,,Pranabananda Sahu,18-Aug-2025 06:11 PM,finsummary_533240.pdf (457.90 KB),Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 05:10 PM,,BOQ Comparative Chart,EO ME CP AE AEE,Internal,,Pranabananda Sahu,18-Aug-2025 06:09 PM,techsummary_533240.pdf (457.90 KB),18-Aug-2025,"INR 1,144,068",60.0,Pranabananda Sahu,18-Aug-2025 06:12 PM,WO06102.pdf (523.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,2868739,Sarat Chandra Moharana,26-Mar-2025 10:38 AM,Rejected-Technical,L2,18-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,2868744,Sumitra Maharana,26-Mar-2025 10:41 AM,Rejected-Technical,L3,18-Aug-2025 06:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
