S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,941540.0,CREATION & CREATIONS LLP,INR,"35,122,713",EIC-CIVIL,2018_EICCL_48963_1,CE (B) - 28 / 2018-19,"Construction of Composite Block-II (PG) of M.P.C. (Auto) College at Takatpur, Baripada",Sri S R Sethi CE Buildings Odisha,Internal,Sri B Patra SE Buildings Sri M R Pattanaik SE Balasore Sri M R Mohapatra Financial Adviser,Satya Ranjan Sethi,04-Dec-2018 01:35 PM,04-Dec-2018 03:00 PM,techsummary_268196.pdf (1404.77 KB),Sri S R Sethi CE Buildings Odisha,Internal,Sri P K Mohanty SE Building Sri M R Mohapatra Pattnaik SE Balasore Sri M R Mohapatra Financial Adviser,Satya Ranjan Sethi,17-Dec-2018 12:52 PM,finsummary_268196.pdf (1532.36 KB),06-Aug-2025,"INR 35,122,713",455.0,Managobinda Biswal,06-Aug-2025 12:25 PM,AOC_Takatpur.pdf (329.00 KB),AOC,Finance,Opened,Satya Ranjan Sethi,17-Dec-2018 12:45 PM,,BOQ Comparative Chart,1,946339,ARYA PRAKASH CHAMPATIRAY,12-Sep-2018 06:08 PM,Rejected-Finance,L4,17-Dec-2018 12:52 PM,Technical,Opened,Satya Ranjan Sethi,18-Sep-2018 06:40 PM,,AOC,"4,14,000",Yes,fixed,,Nil,Nil,EIC-CIVIL,CE (B) - 28 / 2018-19,2018_EICCL_48963_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,27-Aug-2018 04:45 PM,18-Sep-2018 11:30 AM,27-Aug-2018 04:45 PM,17-Sep-2018 05:00 PM,NA ,NA ,27-Aug-2018 04:45 PM,17-Sep-2018 05:00 PM,04-Dec-2018 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost and EMD Online, PAN, GSTIN, Affidavit, Regd. Certificate and other Documents as per DTCN.","Chief Engineer (Buildings), Odisha, Bhubaneswar","O/o. the E.I.C. (Civil), Odisha, Unit-V, Nirman Soudha, Bhubaneswar",1.0,ICICI BANK,1.0,1st Corrigendum,Other,,"10,000",0.0,Nil,Nil,No,"Construction of Composite Block-II (PG) of M.P.C. (Auto) College at Takatpur, Baripada",Building Work,Please refer Tender documents. ,NA ,"4,13,15,978",Civil Works - Buildings,NA ,Tender,90.0,455.0,"Takatpur, Baripada, Mayurbhanj",757003.0,NA ,NA ,NA ,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,941540,CREATION & CREATIONS LLP,04-Sep-2018 02:13 PM,Accepted-AOC,L1,06-Aug-2025 12:25 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,950778,LALIT KUMAR MOHANTY,14-Sep-2018 06:34 PM,Rejected-AOC,L2,06-Aug-2025 12:25 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,949893,PRANAB KUMAR DANDAPAT,15-Sep-2018 01:57 PM,Rejected-Technical,Disqualified,04-Dec-2018 01:35 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,944029,Shreerose Wealth Ventures Limited,17-Sep-2018 03:53 PM,Rejected-Finance,L3,17-Dec-2018 12:52 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
