Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_114167_13,04/OPHWC/2025-26,"Constn. of 6 nos. E type Qtrs. at inside BTI, Burla Campus, BTI Burla, Sambalpur",1.0,2972622.0,SURESH CHANDRA DASH,INR,"15,672,414",1,2972816,PRIYARANJAN SAHOO,19-Jun-2025 04:17 PM,Rejected-Finance,DUE TO L2 BIDDER,18-Aug-2025 01:25 PM,18-Aug-2025,"INR 15,672,414",365.0,Bikram Keshari Malla,18-Aug-2025 01:28 PM,WORKORDERTT.pdf (523.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 14.08.2025,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,16-Jul-2025 07:16 PM,17-Jul-2025 10:30 AM,techsummary_542157.pdf (331.53 KB),Finance,financial bid opened,Bikram Keshari Malla,17-Jul-2025 12:19 PM,,BOQ Comparative Chart,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,18-Aug-2025 01:25 PM,finsummary_542157.pdf (357.52 KB),Technical,THREE BIDDER HAVE PARTCIPATED,Bikram Keshari Malla,20-Jun-2025 01:15 PM,,AOC,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","Constn. of 6 nos. E type Qtrs. at inside BTI, Burla Campus, BTI Burla, Sambalpur",Building Work,Please refer Tender documents. ,NA ,"1,82,21,618",Civil Works - Buildings,NA ,Tender,90.0,365.0,Sambalpur,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"1,82,200",Yes,fixed,,Nil,Nil,04-Jun-2025 04:00 PM,20-Jun-2025 10:30 AM,04-Jun-2025 04:00 PM,19-Jun-2025 05:00 PM,NA ,NA ,04-Jun-2025 04:00 PM,19-Jun-2025 05:00 PM,17-Jul-2025 10:30 AM,1.0,ICICI BANK,Orissa State Police Housing and Welfare Corporation Ltd,04/OPHWC/2025-26,2025_OSPHW_114167_13,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,AOC
,,,,,,,,,2,2967886,Rajesh Kumar Panda,18-Jun-2025 11:51 AM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,16-Jul-2025 07:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,2972622,SURESH CHANDRA DASH,18-Jun-2025 11:30 PM,Accepted-AOC,QUALIFIED BIDDER,18-Aug-2025 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
