Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Additional Chief Engineer P.H,"Additional Chief Engineer, P.H.Circle Berhampur functioning at Chatrapur",1.0,ICICI BANK,01-May-2025 11:00 AM,20-May-2025 12:30 PM,01-May-2025 11:00 AM,16-May-2025 05:30 PM,01-May-2025 11:00 AM ,06-May-2025 05:30 PM ,01-May-2025 11:00 AM,16-May-2025 05:30 PM,29-Jul-2025 12:00 PM,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Paper, EMD, PAN, GSTIN, Affidavits as per DTCN","Construction of intake well, laying of RWRM and ancillary works for improvement of water supply to Kodala NAC under AMRUT 2.0 (SWAP-III)","Construction of intake well, laying of RWRM and ancillary works for improvement of water supply to Kodala NAC under AMRUT 2.0 (SWAP-III)",Please refer Tender documents. ,NA ,"4,56,56,481",Civil Works - Water Works,NA ,Tender,120.0,360.0,Kodala,761032.0,Chatrapur ,"Additional Chief Engineer, P.H.Circle Berhampur functioning at Chatrapur ",07-May-2025 04:00 PM ,Chatrapur,No ,No,PHEO||SEPH-CIRCLE-BERHAMPUR,ACEPHCBAM-03/2025-26 Dt.22.04.2025,2025_PHEO_112984_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"4,57,000",Yes,fixed,,Nil,Nil,AOC,Technical,6(Six) Nos of bid have been opened online. Technically Evaluation taken shortly,DEBADUTTA SAHU,29-May-2025 01:50 PM,technical_538071.pdf,1,2919284,BAIKUNTHA SWAIN,15-May-2025 05:47 PM,Rejected-AOC,2nd lowest,30-Aug-2025 12:11 PM,Finance,"5) five nos bidder are qualified BAIKUNTHA SWAIN , SATYAJIT PATRA ,RAMAKANTA PANDA,SUVENDU DAS,KESHAB PRADHAN,",DEBADUTTA SAHU,05-Aug-2025 01:16 PM,finance_538071.pdf,BOQ Comparative Chart,Chief Engineer P.H,Internal,"Chief Engineer P.H , Additional Chief Engineer P.H , PA to ACE , DAO, Estimator P.H",DEBADUTTA SAHU,30-Aug-2025 12:03 PM,finsummary_538071.pdf (479.54 KB),30-Aug-2025,"INR 38,812,574",360.0,DEBADUTTA SAHU,30-Aug-2025 12:11 PM,Order.pdf (5587.00 KB),Ramakanta Panda 1st lowest,Additiional Chief Engineer P.H,Internal,"Chief Engineer P.H , Additiional Chief Engineer P.H ,Superintending Engineer P.H , PA to ACE , DAO , Estimator P.H Div Bhanjanagar at Chatrapur",DEBADUTTA SAHU,25-Jul-2025 06:09 PM,29-Jul-2025 12:00 PM,techsummary_538071.pdf (1798.05 KB),PHEO||SEPH-CIRCLE-BERHAMPUR,2025_PHEO_112984_1,ACEPHCBAM-03/2025-26 Dt.22.04.2025,"Construction of intake well, laying of RWRM and ancillary works for improvement of water supply to Kodala NAC under AMRUT 2.0 (SWAP-III)",1.0,2920836.0,RAMAKANTA PANDA,INR,"38,812,574",AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2,2921014,KESHAB PRADHAN,16-May-2025 03:28 PM,Rejected-AOC,1st lowest,30-Aug-2025 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,3,2920836,RAMAKANTA PANDA,16-May-2025 05:26 PM,Accepted-AOC,1st lowest,30-Aug-2025 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,4,2920800,SATYAJIT PATRA,16-May-2025 04:01 PM,Rejected-AOC,2nd lowest,30-Aug-2025 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,5,2921191,SUSHIL KUMAR SAHOO,16-May-2025 04:17 PM,Not Admitted-Finance,Not qualified for AOC,05-Aug-2025 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,6,2920839,SUVENDU DAS,16-May-2025 02:29 PM,Rejected-AOC,2nd lowest,30-Aug-2025 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
