Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"7,080",0.0,Nil,Nil,Yes,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",BID NO-740/2024-25 DT.02.04.2025,2025_OLIC_112212_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"23,588",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,Executive Engineer,EE LI DIVISION BHUBANESWAR,07-Apr-2025 10:00 AM,17-Apr-2025 11:00 AM,07-Apr-2025 10:00 AM,16-Apr-2025 05:00 PM,07-Apr-2025 10:00 AM ,15-Apr-2025 05:00 PM ,07-Apr-2025 10:00 AM,16-Apr-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD AND ALL OTHER DOCUMENTS AS PER DTCN,REVIVAL AND RE-ENERGISATION OF JAYDEV-I AND II KENDUBILO-II LUNA-I AND SARAKANA-III LIP UNDER BALIANTA BLOCK OF KHORDHA DISTRICT UNDER PLAN FUND 2024-25,REVIVAL AND RE-ENERGISATION OF JAYDEV-I AND II KENDUBILO-II LUNA-I AND SARAKANA-III LIP UNDER BALIANTA BLOCK OF KHORDHA DISTRICT UNDER PLAN FUND 2024-25,Please refer Tender Documents ,NA ,"23,58,790",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,BALIANTA,752020.0,NA ,NA ,NA ,EE LI DIVISION BHUBANESWAR,No ,No,AOC,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,19-Aug-2025 01:28 PM,finsummary_535404.pdf (988.49 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",2025_OLIC_112212_15,BID NO-740/2024-25 DT.02.04.2025,REVIVAL AND RE-ENERGISATION OF JAYDEV-I AND II KENDUBILO-II LUNA-I AND SARAKANA-III LIP UNDER BALIANTA BLOCK OF KHORDHA DISTRICT UNDER PLAN FUND 2024-25,1.0,2882867.0,M/S. M.C.C. ASSOCIATES,INR,"2,241,087",Finance,TENDER OPENED,SUJIT KUMAR MOHANTY,17-Apr-2025 04:16 PM,finance_535404.pdf,BOQ Comparative Chart,19-Aug-2025,"INR 2,241,087",90.0,SUJIT KUMAR MOHANTY,19-Aug-2025 01:30 PM,Jayadev.pdf (988.00 KB),WORK ORDER AND AGREEMENT COMPLETED,1,2884205,AGRAWALLA POWER INFRASTRUCTURE,16-Apr-2025 09:45 AM,Rejected-Technical,Rejected,19-May-2025 02:23 PM,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,19-May-2025 02:23 PM,techsummary_535404.pdf (988.49 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2885444,GITANJALI SARANGI PROPRIETOR- GITANJALI ENTERPRISES,16-Apr-2025 12:42 PM,Rejected-Technical,Rejected,19-May-2025 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2885262,MADAN MOHAN BASTIA,15-Apr-2025 07:53 PM,Rejected-Finance,REJECTED,19-Aug-2025 01:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2885263,MODERN WINDING AND ELECTRICALS,15-Apr-2025 07:40 PM,Rejected-Finance,REJECTED,19-Aug-2025 01:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2885954,M/S DILIP KUMAR SAHOO,16-Apr-2025 01:18 PM,Rejected-Technical,Rejected,19-May-2025 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2882867,M/S. M.C.C. ASSOCIATES,12-Apr-2025 06:31 PM,Accepted-AOC,WORK ORDER AND AGREEMENT COMPLETED,19-Aug-2025 01:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2886052,M/S-SANTOSH KUMAR MOHANTY,16-Apr-2025 03:30 PM,Rejected-Technical,Rejected,19-May-2025 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2885924,M/S SHREELAXMI ENTERPRISERS,16-Apr-2025 01:09 PM,Rejected-Finance,REJECTED,19-Aug-2025 01:28 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2884230,PRADEEP KUMAR AGRAWALLA,16-Apr-2025 01:39 PM,Rejected-Technical,Rejected,19-May-2025 02:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2885068,PRAKASH CHANDRA DASH,15-Apr-2025 04:30 PM,Rejected-Technical,Rejected,19-May-2025 02:23 PM,,,,,,,AOC
