S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,ICICI BANK,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Kendrapara Municipality,07/KM 2022-23,2022_ORULB_84786_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive officer,kendrapara municipality,0.0,No,fixed,,Nil,Nil,31-Dec-2022 11:00 AM,12-Jan-2023 11:00 AM,31-Dec-2022 11:00 AM,11-Jan-2023 05:00 PM,31-Dec-2022 11:00 AM ,11-Jan-2023 05:00 PM ,31-Dec-2022 11:00 AM,11-Jan-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per DTCN,Repair and Renovation of CC road including construction of RCC Box culverts and RCC drain from Mehboob Chhak to Oji Chhak in ward No-14 and 15,Repair and Renovation of CC road including construction of RCC Box culverts and RCC drain from Mehboob Chhak to Oji Chhak in ward No-14 and 15,Please refer Tender documents. ,NA ,"17,37,869",Civil Works - Roads,NA ,Tender,120.0,30.0,kendrapara Municipality,754211.0,NA ,NA ,NA ,kendrapara Municipality,No ,No,AOC,1,2048410,RIYASAT KHAN,10-Jan-2023 09:22 PM,Rejected-Finance,Lowest Two,13-Aug-2025 10:16 PM,Chairperson,Internal,JEMEEOCP,Suryakanta Nayak,13-Aug-2025 10:16 PM,finsummary_423196.pdf (485.46 KB),Finance,The bids of SAYED JAKIR ALI and Riyasat khan are admitted,Dilip Kumar Sethy,12-Jan-2023 11:53 AM,finance_423196.pdf,BOQ Comparative Chart,13-Aug-2025,"INR 1,737,868.84",30.0,Suryakanta Nayak,13-Aug-2025 10:19 PM,Jak.pdf (485.00 KB),Sayed Jakir Ali is the lowest bidder,Chairperson,Internal,JEMEEOCP,Suryakanta Nayak,13-Aug-2025 10:14 PM,techsummary_423196.pdf (485.46 KB),1.0,2048475.0,SAYED JAKIR ALI,INR,"1,737,868.84",Municipal Bodies||Kendrapara Municipality,2022_ORULB_84786_8,07/KM 2022-23,Repair and Renovation of CC road including construction of RCC Box culverts and RCC drain from Mehboob Chhak to Oji Chhak in ward No-14 and 15,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,2,2048475,SAYED JAKIR ALI,10-Jan-2023 11:47 PM,Accepted-AOC,Sayed Jakir Ali is the lowest bidder,13-Aug-2025 10:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
