Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, JV, RC,PAN, GST, Affidavit regarding correctness, No relation certificate","Construction of 6 Nos F type quarter of Rural Works Division, Nabarangpur for the year 2024-25 in the District of Nabarangpur","Construction of 6 Nos F type quarter of Rural Works Division, Nabarangpur for the year 2024-25 in the District of Nabarangpur",N.A. ,NA ,"1,98,81,000",Civil Works - Buildings,NA ,Tender,90.0,NA ,NABARANGPUR,764059.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput","1,99,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,CORRIGENDUM,Date,,26-Mar-2025 06:55 PM,19-Apr-2025 11:00 AM,26-Mar-2025 06:55 PM,17-Apr-2025 05:00 PM,26-Mar-2025 06:55 PM ,16-Apr-2025 02:00 PM ,26-Mar-2025 06:55 PM,17-Apr-2025 05:00 PM,05-May-2025 11:00 AM,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 24/2024-25,2025_CERWI_111955_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,20-Aug-2025,"INR 19,881,563.575",270.0,Prabhakara Behera,20-Aug-2025 12:21 PM,AOCFTYPEQUARTER.pdf (1185.00 KB),Award of contract to Likhit Construction and Sales through transparency lottery system,1,2877221,AMRIT KUMAR JAIN,06-Apr-2025 12:51 PM,Rejected-Finance,REJECT,02-Aug-2025 04:23 PM,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-I, Nabarangpur , Estimator R.W. Circle, Sunabeda",Prabhakara Behera,30-Apr-2025 07:47 PM,05-May-2025 11:00 AM,techsummary_534518.pdf (933.42 KB),Finance,cs,Prabhakara Behera,02-Aug-2025 04:16 PM,finance_534518.pdf,BOQ Comparative Chart,Technical,bidders name,Prabhakara Behera,30-Apr-2025 07:33 PM,technical_534518.pdf,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_111955_1,CCERWCSBD Online - 24/2024-25,"Construction of 6 Nos F type quarter of Rural Works Division, Nabarangpur for the year 2024-25 in the District of Nabarangpur","Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-I, Nabarangpur , Estimator R.W. Circle, Sunabeda",Prabhakara Behera,02-Aug-2025 04:23 PM,finsummary_534518.pdf (812.27 KB),1.0,2877377.0,LIKHIT CONSTRUCTION AND SALES,INR,"16,901,317.2",AOC
,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2886700,BISHNU CHARAN NAYAK,16-Apr-2025 08:50 PM,Rejected-Finance,REJECT,02-Aug-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2879025,B OMKAR,08-Apr-2025 02:22 PM,Rejected-Finance,REJECT,02-Aug-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2878407,GANARAM MAHALA,08-Apr-2025 12:13 PM,Rejected-Technical,DISQUALFIED,30-Apr-2025 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2878213,KHIRASINDHU HARIJAN,07-Apr-2025 04:23 PM,Rejected-Finance,REJECT,02-Aug-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2877377,LIKHIT CONSTRUCTION AND SALES,06-Apr-2025 05:12 PM,Accepted-AOC,Award of contract to LIKHIT CONSTRUCTION AND SALES through transparency lottery system,20-Aug-2025 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2879368,MANOJ KUMAR AGRAWAL,09-Apr-2025 02:54 PM,Rejected-Finance,REJECT,02-Aug-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2881475,M/s Rameswar Mohapatra,10-Apr-2025 10:20 PM,Rejected-Finance,REJECT,02-Aug-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2885159,NABIN NAYAK,15-Apr-2025 06:07 PM,Rejected-Finance,REJECT,02-Aug-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2886798,Rajesh Ranjan Dash,17-Apr-2025 09:29 AM,Rejected-Finance,REJECT,02-Aug-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
