Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"Lika Sahu,Chairperson, Balangir Municipality",Internal,"Chairperson , Executive Officer, Municipal Engineer,Asst. Engineer, Junior Engineer, Balangir Municipality",Biswambhar Mishra,19-Oct-2023 08:22 AM,techsummary_459198.pdf (90.69 KB),1,2266049,SHIBA PRASAD BEHERA,22-Sep-2023 11:42 AM,Accepted-AOC,L1,04-Aug-2025 08:24 PM,04-Aug-2025,"INR 637,403.7",60.0,Rojalisa Rout,04-Aug-2025 08:24 PM,wo39.pdf (553.00 KB),"Sri Shiba Prasad Behera Selected as L1 for the Work Improvement of Paver Road from Duryodhan Bagarty Res. to Prasanta Negi Res.,W.No.6",Finance,2 Nos. of bidders have participated.,Biswambhar Mishra,03-Oct-2023 08:35 AM,,BOQ Comparative Chart,1.0,2266049.0,SHIBA PRASAD BEHERA,INR,"637,403.7",Municipal Bodies||Balangir Municipality,2023_ORULB_93864_39,BLGR MPTY/07(01-125)/2023-24,"Improvement of Paver Road from DuryodhanBagarty Res. to Prasanta Negi Res.,W.No.6","Lika Sahu,Chairperson",Internal,"Chairperson, Executive Officer, Municipal Engineer, Junior Engineer",Rojalisa Rout,04-Aug-2025 08:21 PM,finsummary_459198.pdf (524.72 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,"4,000",0.0,Nil,Nil,No,1,ICICI BANK,14-Sep-2023 06:00 PM,25-Sep-2023 11:00 AM,14-Sep-2023 06:00 PM,22-Sep-2023 05:00 PM,NA ,NA ,14-Sep-2023 06:00 PM,22-Sep-2023 05:00 PM,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",Municipal Bodies||Balangir Municipality,BLGR MPTY/07(01-125)/2023-24,2023_ORULB_93864_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,700",Yes,percentage,1.0%,Nil,Nil,"Improvement of Paver Road from DuryodhanBagarty Res. to Prasanta Negi Res.,W.No.6",Paver Road work,Please refer Tender Documents  ,NA ,"7,70,000",Civil Works - Roads,NA ,Tender,180.0,60.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,AOC
,,,,,,2,2265960,SRI KAMBU NAG,22-Sep-2023 09:58 AM,Rejected-AOC,L2,04-Aug-2025 08:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
